,EIF3M (10480)
ACH-000004,-0.8115732825458771
ACH-000005,-0.8026200436330067
ACH-000007,-1.1894858486819309
ACH-000009,-1.0291995132542724
ACH-000011,-1.1981286796597883
ACH-000012,-0.9512017463762232
ACH-000013,-0.7756517332506481
ACH-000014,-0.9498536067250668
ACH-000015,-1.0114378743576644
ACH-000017,-0.8218412626850617
ACH-000018,-0.8016047224115243
ACH-000019,-0.8285294369518297
ACH-000021,-0.7455070094268903
ACH-000022,-0.7725911154034614
ACH-000025,-1.002091357978573
ACH-000028,-0.8342578787620003
ACH-000030,-0.7454766956014722
ACH-000035,-0.9457642639692286
ACH-000036,-0.9735685693665428
ACH-000037,-0.5078624754920196
ACH-000039,-0.7657511744420293
ACH-000040,-1.0200021353549449
ACH-000041,-1.050891370788833
ACH-000042,-0.659693547172301
ACH-000045,-0.7632392104115919
ACH-000047,-0.6814483586005571
ACH-000052,-0.6990976842562168
ACH-000053,-0.9547959595940341
ACH-000054,-0.7751780882154717
ACH-000055,-0.9795199619847126
ACH-000060,-0.7822873325611278
ACH-000067,-1.114702123485208
ACH-000070,-0.8605185009219816
ACH-000075,-0.7471288377202524
ACH-000078,-0.8639500426226094
ACH-000082,-0.7921457573252109
ACH-000085,-0.7316199991956033
ACH-000086,-0.7679856223656385
ACH-000087,-1.1342398992499227
ACH-000092,-0.8816640477352617
ACH-000095,-0.8731852435448677
ACH-000097,-1.076424994161486
ACH-000098,-0.9585965765708536
ACH-000099,-1.1519785014984976
ACH-000108,-0.5163471380263844
ACH-000113,-0.8332066311892584
ACH-000116,-1.0140110449396704
ACH-000118,-0.9650371364884354
ACH-000120,-1.2044147560853755
ACH-000123,-1.0401972724441946
ACH-000127,-0.7132594268885927
ACH-000128,-1.1111811542445682
ACH-000132,-0.8492034634422938
ACH-000133,-0.5811206891259065
ACH-000137,-0.8461060592415537
ACH-000138,-1.1212800132376912
ACH-000142,-0.9767708550533492
ACH-000143,-0.8798557111671464
ACH-000146,-0.849617442895775
ACH-000148,-1.0122515590836798
ACH-000150,-0.6098542075081058
ACH-000152,-0.739904938845623
ACH-000153,-0.8964517355329863
ACH-000159,-1.049542266333678
ACH-000160,-0.7127089028122403
ACH-000163,-1.1430021840848608
ACH-000167,-1.1699864822387986
ACH-000168,-0.6311698985593439
ACH-000169,-0.9776055109336228
ACH-000178,-0.8072136015898059
ACH-000183,-0.9537570983245504
ACH-000188,-0.33333735999393604
ACH-000189,-0.7532669230403702
ACH-000190,-0.896789305846699
ACH-000198,-0.6829782757838971
ACH-000203,-0.5663384607294693
ACH-000204,-0.8430537961366538
ACH-000206,-0.8589444581124855
ACH-000207,-0.6912799565622274
ACH-000208,-0.7819886571115278
ACH-000210,-0.8833319277535483
ACH-000211,-0.8024091525637661
ACH-000215,-0.9963272491456769
ACH-000221,-0.9152151997832372
ACH-000222,-0.9116479192347366
ACH-000223,-0.7842189035028881
ACH-000226,-0.8183007939276009
ACH-000227,-0.9970788019056712
ACH-000228,-0.4396072017770529
ACH-000231,-0.7567064484434276
ACH-000232,-1.0315929191202058
ACH-000233,-1.0436654394728444
ACH-000234,-1.2436021316017942
ACH-000235,-0.7708678522439862
ACH-000237,-1.1189027763767685
ACH-000238,-0.4267668465370517
ACH-000242,-0.6275368212521717
ACH-000243,-0.6400230419827571
ACH-000244,-1.0059188592884971
ACH-000246,-1.058788653689419
ACH-000248,-0.8561576815835283
ACH-000250,-0.8233995786038177
ACH-000251,-0.76666472317846
ACH-000252,-0.871452580499434
ACH-000253,-0.8194371016234575
ACH-000255,-0.8633955298665725
ACH-000256,-0.9941904751830806
ACH-000257,-0.5932933674816729
ACH-000258,-1.1080966169845905
ACH-000259,-0.8433341890024112
ACH-000260,-0.8339793153328969
ACH-000261,-0.9648169347303004
ACH-000262,-0.8052985943693809
ACH-000263,-0.8577687998853912
ACH-000264,-0.8065769338293828
ACH-000265,-0.8517112824324297
ACH-000266,-0.6880513143170287
ACH-000272,-0.8021988498427884
ACH-000274,-1.0231014316855305
ACH-000277,-1.012627554470794
ACH-000278,-0.6738588714817824
ACH-000279,-1.1122156936704564
ACH-000280,-0.5991101980905621
ACH-000281,-1.066263063545964
ACH-000288,-0.8796364476391467
ACH-000291,-0.8694567311919936
ACH-000293,-0.9402505095063048
ACH-000294,-0.8052478141863857
ACH-000295,-0.8279502203484987
ACH-000296,-0.66007420254548
ACH-000302,-0.7761446823514555
ACH-000304,-0.6826551047183527
ACH-000307,-0.8176415272834707
ACH-000308,-1.0084052104105223
ACH-000310,-0.8506992341036181
ACH-000311,-0.8198061108421507
ACH-000312,-0.9724142919881078
ACH-000315,-0.8132690063255392
ACH-000316,-0.9438360229146682
ACH-000317,-0.8088994089260744
ACH-000318,-0.9505196467706648
ACH-000319,-1.021976222662482
ACH-000320,-0.6452151756247614
ACH-000322,-0.8332668067642927
ACH-000323,-1.075093028375378
ACH-000324,-0.939134001376142
ACH-000329,-1.0326025235088954
ACH-000330,-1.2602740609369223
ACH-000331,-0.9128345964942032
ACH-000332,-0.9196052513612104
ACH-000334,-0.8260156384121383
ACH-000335,-0.96533599386306
ACH-000336,-0.7553342661382136
ACH-000337,-0.9155638439427648
ACH-000338,-1.1406989099542704
ACH-000339,-0.6804672141752873
ACH-000341,-0.9986235080263092
ACH-000348,-0.9326500066450022
ACH-000350,-1.1033440032589144
ACH-000352,-0.6175506327196293
ACH-000356,-0.9138937287162096
ACH-000361,-0.7902121108102682
ACH-000362,-0.6772171029503387
ACH-000363,-0.954638775497804
ACH-000364,-1.144332084047367
ACH-000365,-0.9459805321204776
ACH-000366,-1.0687044117991489
ACH-000368,-1.0381697967432275
ACH-000374,-0.7713230958214597
ACH-000375,-0.5820143405668121
ACH-000376,-1.0888732331943172
ACH-000381,-0.5950952989249408
ACH-000383,-0.6142631452026125
ACH-000387,-0.8592056795590886
ACH-000389,-1.2038783337228622
ACH-000390,-0.9760796682537356
ACH-000393,-0.7765540606077851
ACH-000395,-0.8671842488724544
ACH-000396,-0.6794662662704857
ACH-000397,-1.0183419656597013
ACH-000401,-1.0153725950950625
ACH-000402,-1.0021300178592314
ACH-000403,-0.6529688992800774
ACH-000404,-0.8349193950538036
ACH-000406,-0.8035394207540559
ACH-000407,-1.1174956165286287
ACH-000408,-0.9926753194683562
ACH-000410,-1.0744933819758522
ACH-000411,-0.8400333593213731
ACH-000414,-0.970168536947745
ACH-000415,-0.8064823038827894
ACH-000416,-0.9891425878163976
ACH-000420,-1.164466427416606
ACH-000421,-0.8266016848127427
ACH-000424,-1.0805596530317938
ACH-000425,-0.9610138971000219
ACH-000426,-0.7784154830489342
ACH-000427,-0.8005203161712694
ACH-000433,-0.8063630492913342
ACH-000435,-0.7231440742711849
ACH-000436,-1.0034507823791887
ACH-000444,-0.9334600123683942
ACH-000445,-0.94477359367393
ACH-000448,-0.6778583390462457
ACH-000450,-0.8211611329382563
ACH-000452,-0.9909586632913538
ACH-000454,-0.9525382267243852
ACH-000458,-0.7404638585238682
ACH-000459,-0.6442800771592643
ACH-000460,-0.9680732604478928
ACH-000461,-1.0060643865195218
ACH-000463,-0.9218170681314536
ACH-000464,-1.1108852086440286
ACH-000466,-0.6551545883933623
ACH-000467,-0.601407866098177
ACH-000468,-0.6322340227098606
ACH-000469,-0.8716090101543879
ACH-000470,-0.5727319628679062
ACH-000471,-0.9803836135278232
ACH-000472,-0.6507860655406459
ACH-000473,-0.8233451470743922
ACH-000475,-0.7510073460748903
ACH-000476,-0.7752658355050681
ACH-000477,-1.2592578077738128
ACH-000479,-1.1325555874343918
ACH-000480,-0.9891762491466444
ACH-000481,-0.846982254373485
ACH-000483,-0.9586494793090996
ACH-000484,-0.9402148289394051
ACH-000485,-0.7194146256039372
