,GMPPB (29925)
ACH-000004,-0.5201844922263787
ACH-000005,-0.4311486606848477
ACH-000007,-0.9521975080080708
ACH-000009,-0.8401733519238579
ACH-000011,-0.9619544169708864
ACH-000012,-0.7388801501015124
ACH-000013,-0.4066298926921126
ACH-000014,-0.763089915386854
ACH-000015,-0.7114541617400105
ACH-000017,-0.5230534718444809
ACH-000018,-0.7456256607548595
ACH-000019,-0.6132972962378991
ACH-000021,-0.6691076516463932
ACH-000022,-0.7704431064468434
ACH-000025,-0.7609367406039218
ACH-000028,-0.6774113581111729
ACH-000030,-0.8850085149978534
ACH-000035,-0.6001089838999343
ACH-000036,-0.7641624112650981
ACH-000037,-0.44794771393184496
ACH-000039,-0.8002057248938073
ACH-000040,-0.4127044162591224
ACH-000041,-0.4057009914555543
ACH-000042,-0.7988303773883988
ACH-000045,-0.5741154144272547
ACH-000047,-0.9642603757150836
ACH-000052,-0.3286943529023357
ACH-000053,-0.908425153238405
ACH-000054,-0.692918351251612
ACH-000055,-0.4054224404115158
ACH-000060,-1.013502146188561
ACH-000067,-0.7720770281947241
ACH-000070,-1.0311254633951188
ACH-000075,-0.5166799465482971
ACH-000078,-0.5271903759638632
ACH-000082,-0.2534436069556412
ACH-000085,-0.8715590989753614
ACH-000086,-0.4615505533556328
ACH-000087,-0.8329934137646277
ACH-000092,-0.8619941494836806
ACH-000095,-0.4343253305819276
ACH-000097,-0.6294485192258873
ACH-000098,-0.3547324952001813
ACH-000099,-0.5704435124374939
ACH-000108,-0.7955215223145725
ACH-000113,-0.7482402078264434
ACH-000116,-0.6441448432088902
ACH-000118,-0.6578448762179157
ACH-000120,-0.4669935529150291
ACH-000123,-0.9281075701828252
ACH-000127,-0.7272757741564447
ACH-000128,-0.6476480016817928
ACH-000132,-0.7680699014098036
ACH-000133,-0.7303921874305157
ACH-000137,-0.502202138851709
ACH-000138,-0.8914574213136489
ACH-000142,-0.9224598857128724
ACH-000143,-0.5139109775361937
ACH-000146,-0.6036615294792279
ACH-000148,-0.4079338339397788
ACH-000150,-0.6140259873411933
ACH-000152,-0.9600569944076879
ACH-000153,-0.6383658103374131
ACH-000159,-0.6645439380171866
ACH-000160,-0.8449731509114073
ACH-000163,-0.5483305444344332
ACH-000167,-1.0153396690715415
ACH-000168,-0.6064962137583303
ACH-000169,-0.8097087134423653
ACH-000178,-0.7603338966093008
ACH-000183,-0.965132456606805
ACH-000188,-0.8019887466998031
ACH-000189,-0.8046540716412137
ACH-000190,-0.752300902524189
ACH-000198,-0.581206892370885
ACH-000203,-0.7932419452468037
ACH-000204,-0.725529308948977
ACH-000206,-0.8191870425964219
ACH-000207,-0.7482798945798832
ACH-000208,-0.33599037383328845
ACH-000210,-0.96538600835998
ACH-000211,-0.7305661527872204
ACH-000215,-0.7371069318846446
ACH-000221,-0.3332378167027373
ACH-000222,-0.5036947767308613
ACH-000223,-0.7696034973337741
ACH-000226,-0.7833456244798845
ACH-000227,-0.2762245282474687
ACH-000228,-1.0681038485239347
ACH-000231,-0.8977596748196383
ACH-000232,-0.531392314753657
ACH-000233,-0.7285724910880956
ACH-000234,-0.8704925621022146
ACH-000235,-0.7337979721587881
ACH-000237,-0.4524459908160594
ACH-000238,-0.6467549765175995
ACH-000242,-0.9984383581507964
ACH-000243,-0.6656850060194835
ACH-000244,-0.4849461835794868
ACH-000246,-0.9471791009131584
ACH-000248,-0.5932350789235397
ACH-000250,-0.9048581217766288
ACH-000251,-0.8892621971118452
ACH-000252,-1.1344020953578176
ACH-000253,-0.7963520470554214
ACH-000255,-0.8195798605755183
ACH-000256,-0.7868954279568022
ACH-000257,-0.8992089972554708
ACH-000258,-0.8133029223836883
ACH-000259,-0.7097872112392546
ACH-000260,-0.8913892726772159
ACH-000261,-0.7387476270805737
ACH-000262,-0.9222269111437952
ACH-000263,-0.7112826916298005
ACH-000264,-0.5614746186796672
ACH-000265,-0.6766967837634544
ACH-000266,-0.7803456855281536
ACH-000272,-0.8209561109986568
ACH-000274,-0.8122433761056269
ACH-000277,-0.7759363004066248
ACH-000278,-0.6918730555427185
ACH-000279,-0.4799706445851821
ACH-000280,-0.5135895550390992
ACH-000281,-0.7500861403033893
ACH-000288,-0.6717684430078534
ACH-000291,-0.5367140074215544
ACH-000293,-0.6037923147295581
ACH-000294,-0.7018986864545939
ACH-000295,-0.3947664679594392
ACH-000296,-0.8143154186176269
ACH-000302,-0.5816213917771271
ACH-000304,-0.9132308180131701
ACH-000307,-0.7967530650903843
ACH-000308,-0.8636749141914429
ACH-000310,-0.4768748284599749
ACH-000311,-0.6391385193729959
ACH-000312,-0.8251307621911355
ACH-000315,-0.8116470395658073
ACH-000316,-0.6961414224380688
ACH-000317,-1.0604227178008911
ACH-000318,-0.7938053031735385
ACH-000319,-0.6274046979294371
ACH-000320,-0.5806196194528765
ACH-000322,-0.7995989727590991
ACH-000323,-0.71533317760712
ACH-000324,-0.8254568899249981
ACH-000329,-0.9662868692278714
ACH-000330,-0.6151600422023871
ACH-000331,-0.8275376142632742
ACH-000332,-0.7881833429170192
ACH-000334,-1.0429331422829131
ACH-000335,-0.8106457817453135
ACH-000336,-0.4943674521651402
ACH-000337,-0.8352199447648005
ACH-000338,-0.4407598538578861
ACH-000339,-0.6096107089784489
ACH-000341,-0.6692433568103116
ACH-000348,-0.8326520810987197
ACH-000350,-0.4885587137382988
ACH-000352,-0.633158442013403
ACH-000356,-0.7601937245883293
ACH-000361,-0.6857000957415726
ACH-000362,-0.642315502909939
ACH-000363,-0.5420731318269919
ACH-000364,-0.6337632515583423
ACH-000365,-0.7432081251854245
ACH-000366,-0.7807526139660703
ACH-000368,-0.3516516834172232
ACH-000374,-0.7520606969551291
ACH-000375,-0.6953584590263289
ACH-000376,-0.6789374198271035
ACH-000381,-0.7467602155385594
ACH-000383,-0.8743971007719954
ACH-000387,-0.6772772703939532
ACH-000389,-0.5374359883448386
ACH-000390,-1.0124824079962906
ACH-000393,-0.4463271993167601
ACH-000395,-0.911810538782471
ACH-000396,-0.8380416126196876
ACH-000397,-0.7618214347462563
ACH-000401,-0.7587757386106144
ACH-000402,-0.9619449804180134
ACH-000403,-1.0513147925859558
ACH-000404,-0.6574844391575068
ACH-000406,-0.8180509342054031
ACH-000407,-0.6389005059725631
ACH-000408,-1.0904529165439554
ACH-000410,-0.4898847515052444
ACH-000411,-1.0752079375200223
ACH-000414,-0.4471405182758152
ACH-000415,-0.8168703558356191
ACH-000416,-0.8145754579691219
ACH-000420,-0.7280411639037785
ACH-000421,-0.8711594055200427
ACH-000424,-0.8593078534217897
ACH-000425,-0.8972709591812927
ACH-000426,-1.0294515086451497
ACH-000427,-0.5430546933734692
ACH-000433,-0.8380960052609431
ACH-000435,-0.8663388630844691
ACH-000436,-0.8221979643523565
ACH-000444,-0.6999328512098669
ACH-000445,-0.7769992706733918
ACH-000448,-0.8122438284592067
ACH-000450,-0.5739553606635356
ACH-000452,-0.7683354359710176
ACH-000454,-0.958485903588308
ACH-000458,-0.9155902470565158
ACH-000459,-0.9824656945192318
ACH-000460,-0.9569399853557168
ACH-000461,-0.6568441049565327
ACH-000463,-0.4109746305863076
ACH-000464,-0.469399318425312
ACH-000466,-0.9044523131874124
ACH-000467,-0.6698433250502944
ACH-000468,-0.8587635461727893
ACH-000469,-0.32576396973507205
ACH-000470,-0.8396156501755165
ACH-000471,-0.9513934011622796
ACH-000472,-0.4666388711951034
ACH-000473,-0.6820576110775854
ACH-000475,-0.4849103954919386
ACH-000476,-0.8779966531272421
ACH-000477,-0.8981774601681528
ACH-000479,-0.477983177903552
ACH-000480,-0.6417718632021927
ACH-000481,-0.5121759807663984
ACH-000483,-0.7188696236164858
ACH-000484,-0.481866463361863
ACH-000485,-0.7342875873715747
ACH-000486,-0.6909400404481665
ACH-000487,-0.7502719554535987
ACH-000488,-0.7556106949241143
ACH-000490,-0.7765079789897169
ACH-000491,-0.5334853384327163
ACH-000495,-0.8966796993373531
ACH-000496,-0.9115409039842168
ACH-000499,-0.783762323070076
ACH-000500,-0.3946639225787955
ACH-000502,-0.681383874543179
ACH-000503,-0.7783008103993779
ACH-000505,-0.6718573537223107
ACH-000507,-0.84213888871915
ACH-000510,-0.8717574442369048
ACH-000511,-0.773486484708519
ACH-000512,-0.647900903590466
ACH-000516,-0.6099679542857798
