,CHAD (1101)
ACH-000004,-0.00512398013927728
ACH-000005,-0.12131006707190425
ACH-000007,-0.24416184629697746
ACH-000009,-0.18006960304172698
ACH-000011,-0.14071395998822744
ACH-000012,-0.28776771087757785
ACH-000013,-0.09524501822244934
ACH-000014,0.05338846881256208
ACH-000015,-0.10310721843412296
ACH-000017,-0.0679263099513428
ACH-000018,-0.21326179314440705
ACH-000019,-0.1876267357318753
ACH-000021,0.001016142320249507
ACH-000022,-0.05701360077801657
ACH-000025,-0.12274026732515216
ACH-000028,-0.13077965225748134
ACH-000030,-0.07152344298636253
ACH-000035,-0.272659180549171
ACH-000036,-0.5042346590077276
ACH-000037,-0.020554870821868142
ACH-000039,0.07879276888743124
ACH-000040,0.039070213607616235
ACH-000041,-0.2112518316029108
ACH-000042,-0.053327973420081165
ACH-000045,-0.015624297858962482
ACH-000047,-0.17087475159203186
ACH-000052,-0.31292191451169604
ACH-000053,-0.079610305258638
ACH-000054,-0.08677009942423848
ACH-000055,-0.04366089631474067
ACH-000060,-0.02700168125000637
ACH-000067,-0.1608541253308334
ACH-000070,-0.1543124574417012
ACH-000075,-0.13187154596398198
ACH-000078,-0.20816936862565089
ACH-000082,0.02129348148115089
ACH-000085,-0.17285572769139107
ACH-000086,-0.09162047606661837
ACH-000087,-0.14694251818343995
ACH-000092,-0.1318493406292454
ACH-000095,-0.04440385024661415
ACH-000097,0.04022496224322328
ACH-000098,-0.06928890119500701
ACH-000099,-0.08049945498991888
ACH-000108,-0.12422998933579102
ACH-000113,-0.10901883061905898
ACH-000116,-0.02785976323642816
ACH-000118,-0.01516039255705193
ACH-000120,-0.08069110545982562
ACH-000123,-0.1288958856704314
ACH-000127,-0.034997841659288306
ACH-000128,0.12317454478395146
ACH-000132,0.04415279005733931
ACH-000133,-0.058951456703434164
ACH-000137,0.07660732761821504
ACH-000138,-0.1044206202532001
ACH-000142,-0.2505080916786623
ACH-000143,-0.20742227212938666
ACH-000146,-0.09106246702374478
ACH-000148,-0.19741085611951945
ACH-000150,-0.10436572351971386
ACH-000152,-0.1435789414095705
ACH-000153,-0.06472873879765119
ACH-000159,-0.11156587761498947
ACH-000160,0.03155240286339465
ACH-000163,-0.2612231657797317
ACH-000167,0.14616370272251628
ACH-000168,-0.1604287866523261
ACH-000169,-0.09139113876042948
ACH-000178,0.003560701373861761
ACH-000183,0.13260385189133733
ACH-000188,-0.08053769896808692
ACH-000189,-0.4216222040382254
ACH-000190,-0.12575859297731973
ACH-000198,0.039068638863124616
ACH-000203,-0.31564587494614144
ACH-000204,-0.030495976635391383
ACH-000206,0.18482027002204585
ACH-000207,0.05346451765612853
ACH-000208,-0.14813953828980758
ACH-000210,-0.1502620594152783
ACH-000211,-0.17166535227489002
ACH-000215,-0.08724658148109447
ACH-000221,-0.23578510078014805
ACH-000222,0.05993275084352526
ACH-000223,0.06608744484065765
ACH-000226,-0.18222315052148308
ACH-000227,-0.09064179272017578
ACH-000228,-0.15075960084432788
ACH-000231,-0.22042696057169944
ACH-000232,0.0991251098026874
ACH-000233,0.016509292119735113
ACH-000234,-0.0258576174149533
ACH-000235,-0.13753082456714186
ACH-000237,0.017765598729986114
ACH-000238,-0.18538138492827355
ACH-000242,-0.15889602464467786
ACH-000243,-0.13805925012119394
ACH-000244,-0.3844166370023137
ACH-000246,-0.11381829074620305
ACH-000248,-0.07502148916135502
ACH-000250,-0.14433975456922848
ACH-000251,-0.15764964302577025
ACH-000252,0.02035968490142262
ACH-000253,-0.1219141944355429
ACH-000255,-0.12945042747057597
ACH-000256,0.07459004565061653
ACH-000257,0.037870223623434056
ACH-000258,-0.06868033210437398
ACH-000259,0.04200854505138184
ACH-000260,-0.14114315852930873
ACH-000261,-0.0017966131292401575
ACH-000262,-0.2617920211768408
ACH-000263,-0.015649693521303392
ACH-000264,-0.056535623636456575
ACH-000265,-0.1458803897403224
ACH-000266,0.025817751492734256
ACH-000272,-0.08114669562687317
ACH-000274,-0.10906833040412774
ACH-000277,-0.031783886731008563
ACH-000278,0.09056798460665448
ACH-000279,-0.00563431886233443
ACH-000280,-0.2352241050722164
ACH-000281,-0.10446886181083737
ACH-000288,-0.19851703043248986
ACH-000291,-0.02016704244578843
ACH-000293,-0.09781136955144604
ACH-000294,-0.009340958856864048
ACH-000295,-0.09429337546665892
ACH-000296,0.09361103532917872
ACH-000302,0.044040021832818105
ACH-000304,-0.022421604408709432
ACH-000307,-0.08603803945851707
ACH-000308,-0.11578978631967488
ACH-000310,-0.03483256445001146
ACH-000311,0.08808349746495216
ACH-000312,-0.06446036362391702
ACH-000315,-0.17780906647742925
ACH-000316,-0.2357723298846752
ACH-000317,-0.11436395198310505
ACH-000318,0.09992089938729648
ACH-000319,-0.15758667025074868
ACH-000320,-0.176234674986559
ACH-000322,-0.0947602144412661
ACH-000323,-0.2865359484837535
ACH-000324,-0.11619382320213675
ACH-000329,-0.054951813465419636
ACH-000330,-0.0735181431656975
ACH-000331,-0.026108254166230537
ACH-000332,0.03417060415494133
ACH-000334,-0.0735764233435124
ACH-000335,-0.15903451161652113
ACH-000336,-0.18277087008055434
ACH-000337,0.05615188052343479
ACH-000338,0.2645607923637137
ACH-000339,-0.10004077175620743
ACH-000341,-0.1532019757662529
ACH-000348,-0.07359303750531161
ACH-000350,-0.006962946619117173
ACH-000352,-0.035286026324089705
ACH-000356,-0.2311682170726652
ACH-000361,-0.2466030664434569
ACH-000362,0.029130130986222514
ACH-000363,0.03974613235274282
ACH-000364,0.04482184948215018
ACH-000365,-0.09664918131151344
ACH-000366,-0.09834602449857924
ACH-000368,-0.06819819774089299
ACH-000374,-0.0729857650149234
ACH-000375,-0.15016455857840702
ACH-000376,-0.042761958816979036
ACH-000381,-0.1387782709928078
ACH-000383,-0.15347966900830487
ACH-000387,0.008761698404189989
ACH-000389,-0.1470291954548379
ACH-000390,-0.1562046951807219
ACH-000393,-0.01387847914702184
ACH-000395,-0.2683005386114753
ACH-000396,0.005317821875876287
ACH-000397,-0.06845663684063895
ACH-000401,0.11989053232083585
ACH-000402,0.2407837269913215
ACH-000403,-0.08344001924838285
ACH-000404,-0.12450241606698073
ACH-000406,-0.05231004606294767
ACH-000407,0.05376408956966942
ACH-000408,-0.04240793634298837
ACH-000410,-0.07432907400590777
ACH-000411,-0.17649393901222174
ACH-000414,0.02473895794905549
ACH-000415,-0.3519993402359951
ACH-000416,-0.088487103680898
ACH-000420,-0.10572172870111224
ACH-000421,0.02912118967645292
ACH-000424,0.3427890019052398
ACH-000425,-0.01232729753481366
ACH-000426,0.050252422578453235
ACH-000427,-0.09769875130572273
ACH-000433,-0.1443309653741753
ACH-000435,0.10458450028623144
ACH-000436,-0.17510321839732146
ACH-000444,-0.15925843124173414
ACH-000445,-0.12554052001883456
ACH-000448,-0.07577655807079517
ACH-000450,-0.0171566991711159
ACH-000452,-0.055266903851718376
