,TFAP4 (7023)
ACH-000004,-0.2943577815311661
ACH-000005,-0.75979734194592
ACH-000007,-0.5132788469610033
ACH-000009,-0.1378941309528098
ACH-000011,-0.5042613145415857
ACH-000012,-0.3707405502133032
ACH-000013,-0.3730293584712961
ACH-000014,-0.5855622757900368
ACH-000015,-0.07236332917878961
ACH-000017,-0.4804640306008929
ACH-000018,-0.341329960893354
ACH-000019,-0.4280022332717647
ACH-000021,-0.3420544721174943
ACH-000022,-0.4947323012037003
ACH-000025,-0.2259649441561897
ACH-000028,-0.1719161264106341
ACH-000030,0.015954446568512175
ACH-000035,-0.2617438104247533
ACH-000036,-0.8594092640134015
ACH-000037,-0.29821474156733624
ACH-000039,-0.24030278849067835
ACH-000040,-0.5258969501790256
ACH-000041,0.1253752762291687
ACH-000042,-0.4897844691980342
ACH-000045,-0.7955648129025671
ACH-000047,-0.520137647822123
ACH-000052,-0.14814889577350712
ACH-000053,-0.553056910815932
ACH-000054,-0.15576556393340246
ACH-000055,-0.3767992696458158
ACH-000060,-0.4425711873114119
ACH-000067,-0.21254642329409792
ACH-000070,-0.5774868443033782
ACH-000075,-0.3785850512270714
ACH-000078,-0.24081389986229115
ACH-000082,-0.4720701853090583
ACH-000085,-0.3549001837617868
ACH-000086,-0.2253297382186261
ACH-000087,-0.10939563679278938
ACH-000092,-0.21647000559842489
ACH-000095,-0.6505846817162573
ACH-000097,-0.29713311490268945
ACH-000098,-0.3140641744432944
ACH-000099,-0.5105662264003151
ACH-000108,-0.4809221939022261
ACH-000113,-0.6789187208180638
ACH-000116,-0.3655063225140161
ACH-000118,-0.31959377143296924
ACH-000120,-0.2441629747193216
ACH-000123,-0.25644887620045353
ACH-000127,-0.3211488282515087
ACH-000128,0.03772836891817582
ACH-000132,-0.17919864975156058
ACH-000133,-0.3211986885976154
ACH-000137,-0.4082367295673982
ACH-000138,-0.2213539584863066
ACH-000142,-0.4097976461851151
ACH-000143,-0.3002716594329711
ACH-000146,-0.2163348361820991
ACH-000148,-0.2527807783320044
ACH-000150,-0.4641131120782026
ACH-000152,-0.3497978376132144
ACH-000153,-0.1347873834753337
ACH-000159,-0.2349541481959676
ACH-000160,-0.3706461864015668
ACH-000163,-0.719066630719437
ACH-000167,-0.3863728768160331
ACH-000168,-0.22544225917491706
