,HERC2 (8924)
ACH-000004,-0.6346309142747389
ACH-000005,-0.1680330068717532
ACH-000007,-0.29934749067199234
ACH-000009,-0.6385807618087994
ACH-000011,-0.427318452396436
ACH-000012,-0.4778066662880949
ACH-000013,-0.15467572945977096
ACH-000014,-0.2764759718648867
ACH-000015,-0.21275119855001529
ACH-000017,-0.2828593316296341
ACH-000018,-0.2867029911849427
ACH-000019,-0.06083620923243696
ACH-000021,-0.068238052023488
ACH-000022,-0.35818053649559833
ACH-000025,-0.4607579467122005
ACH-000028,-0.10617493090480566
ACH-000030,-0.3113830390218589
ACH-000035,-0.4374107192553586
ACH-000036,-0.3414311503536469
ACH-000037,-0.2445135400124616
ACH-000039,-0.18280749178491384
ACH-000040,-0.2540305917515974
ACH-000041,-0.1831099866598975
ACH-000042,-0.028969815474306108
ACH-000045,-0.21851544265509035
ACH-000047,-0.3941692426724346
ACH-000052,-0.4065111315288743
ACH-000053,-0.1888838864010972
ACH-000054,-0.21979091882998375
ACH-000055,-0.340394979486669
ACH-000060,-0.10873853544669662
ACH-000067,-0.4456508895290861
ACH-000070,-0.3457887101883221
ACH-000075,-0.3254845843516357
ACH-000078,-0.21787397289684965
ACH-000082,-0.21276104232340431
ACH-000085,-0.17255645320387175
ACH-000086,-0.19737290226642826
ACH-000087,-0.3672849912632149
ACH-000092,-0.3361235361032404
ACH-000095,-0.23914205691632465
ACH-000097,-0.08416551375483497
ACH-000098,-0.23803740273172355
ACH-000099,-0.1881604598036623
ACH-000108,-0.1899475212817706
ACH-000113,-0.26374357983516106
ACH-000116,-0.0903207884586014
ACH-000118,-0.19290964104203787
ACH-000120,-0.28511906275161675
ACH-000123,-0.28479435700816785
ACH-000127,-0.334376504967806
ACH-000128,-0.2824124243504611
ACH-000132,-0.5857123607524172
ACH-000133,-0.3215432395854037
ACH-000137,-0.3190793460445282
ACH-000138,-0.16725863225743154
ACH-000142,-0.36007561723019504
ACH-000143,-0.5554551265680568
ACH-000146,-0.3287679144460472
ACH-000148,-0.31871859997280205
ACH-000150,-0.029193020668303975
ACH-000152,-0.1783561635411628
ACH-000153,-0.5115517124512924
ACH-000159,-0.2465052138263361
ACH-000160,-0.3121935740433817
ACH-000163,-0.19489459465100936
ACH-000167,-0.5115224950220929
ACH-000168,-0.4185132593817808
ACH-000169,-0.2873326472585444
ACH-000178,-0.17930840065492445
ACH-000183,-0.28445713718178034
ACH-000188,-0.32814197276256035
ACH-000189,-0.1388269086807377
ACH-000190,-0.23880972024520716
ACH-000198,-0.3429323466663464
ACH-000203,-0.3371457294241474
ACH-000204,-0.00282442857393882
ACH-000206,-0.3653712657945648
ACH-000207,-0.17383120345503875
ACH-000208,-0.44479168128734603
ACH-000210,-0.5422977759207166
ACH-000211,-0.34585780989438075
ACH-000215,-0.141763449103301
ACH-000221,-0.5073731831900862
ACH-000222,-0.4665267964463433
ACH-000223,-0.26334195155102896
ACH-000226,-0.4197858018242047
ACH-000227,-0.2454643353090106
ACH-000228,-0.2381675764676653
ACH-000231,-0.4541597188213826
ACH-000232,-0.2413744466222701
ACH-000233,-0.2486516804751713
ACH-000234,-0.37630999221642863
ACH-000235,-0.24573611325861455
ACH-000237,-0.3739297085074183
ACH-000238,-0.29276220699212124
ACH-000242,-0.2444651451431756
ACH-000243,-0.3041455017839982
ACH-000244,-0.5072141764246604
ACH-000246,-0.19501781532444729
ACH-000248,-0.36483897543644256
ACH-000250,-0.3483735756843686
ACH-000251,-0.4387958086788151
ACH-000252,-0.24437590452283126
ACH-000253,-0.334137243348022
ACH-000255,-0.4738590471815962
ACH-000256,-0.2714807009270924
ACH-000257,-0.06956755531756115
ACH-000258,-0.17327080632116768
ACH-000259,-0.18921612629185025
ACH-000260,-0.2867039859883678
ACH-000261,-0.4667162723578683
ACH-000262,-0.2840590454570365
ACH-000263,0.3354656325713093
ACH-000264,-0.13434393566007066
ACH-000265,-0.3625394968302714
ACH-000266,-0.3462647259804511
ACH-000272,-0.20168043185279694
ACH-000274,-0.3541577954482002
ACH-000277,-0.0878407770413763
ACH-000278,-0.24141244304035786
ACH-000279,-0.3968881183027918
ACH-000280,-0.34469445147442795
ACH-000281,-0.28572761112108297
ACH-000288,-0.4717423495241403
ACH-000291,-0.0766257190664573
ACH-000293,-0.3009468377834354
ACH-000294,-0.6331084705801507
ACH-000295,-0.15153830881830951
ACH-000296,-0.1844935179015557
ACH-000302,-0.27997551084148925
ACH-000304,0.009659533199460064
ACH-000307,-0.16147675352896676
ACH-000308,-0.12100060398677172
ACH-000310,-0.25540986492961393
ACH-000311,-0.2133533081683258
ACH-000312,-0.0778841857429019
ACH-000315,-0.15726365687682142
ACH-000316,-0.4143352779227769
