,DUT (1854)
ACH-000004,-1.6131103467536876
ACH-000005,-1.4185832547911543
ACH-000007,-1.4593068610245958
ACH-000009,-1.2778294292309729
ACH-000011,-1.1903413989635692
ACH-000012,-1.1599707489644109
ACH-000013,-1.2588764886726995
ACH-000014,-1.307908724627327
ACH-000015,-1.2434936559533691
ACH-000017,-1.3516555114285371
ACH-000018,-1.028803350027705
ACH-000019,-1.1737650425232309
ACH-000021,-1.2419690790860918
ACH-000022,-1.3819008617408393
ACH-000025,-1.2068265915620728
ACH-000028,-1.2146391368520668
ACH-000030,-1.2422460077116941
ACH-000035,-1.3088593231171166
ACH-000036,-0.948147519002262
ACH-000037,-0.4552581327003035
ACH-000039,-1.4303950580730302
ACH-000040,-1.0780213843556674
ACH-000041,-1.5049274421031569
ACH-000042,-1.3621385508642898
ACH-000045,-1.173936303758622
ACH-000047,-1.246374338223311
ACH-000052,-1.1693688497025083
ACH-000053,-1.1729556963872418
ACH-000054,-0.9830477115040126
ACH-000055,-1.111034513654342
ACH-000060,-1.2379568942163963
ACH-000067,-1.3064431862545025
ACH-000070,-1.1820814220325897
ACH-000075,-1.0156026961439593
ACH-000078,-1.0321929600669222
ACH-000082,-0.9003141083235
ACH-000085,-1.1510652785909758
ACH-000086,-0.8046897517307413
ACH-000087,-1.3799400894335796
ACH-000092,-1.0892018032800777
ACH-000095,-1.2571519866100322
ACH-000097,-1.2789856798900496
ACH-000098,-1.0445572807562975
ACH-000099,-1.0428409952827142
ACH-000108,-1.2981585630332333
ACH-000113,-1.0137029603111818
ACH-000116,-1.0578643002600696
ACH-000118,-1.2772578995042494
ACH-000120,-1.129420573771575
ACH-000123,-1.0900144256565187
ACH-000127,-1.1568393061076063
ACH-000128,-1.36237678360791
ACH-000132,-1.221039727871896
ACH-000133,-1.1087800435926685
ACH-000137,-1.1927927146995685
ACH-000138,-1.1437828852208278
ACH-000142,-1.0904134966049592
ACH-000143,-1.2356980329891023
ACH-000146,-1.6016738924861276
ACH-000148,-1.0455371604521813
ACH-000150,-1.1445631198021016
ACH-000152,-1.276270737127303
ACH-000153,-1.371429270341112
ACH-000159,-1.1806508977525414
ACH-000160,-1.4586210725718725
ACH-000163,-1.1503990240907096
ACH-000167,-1.8283787364202868
ACH-000168,-1.3135232961545775
ACH-000169,-1.5009640039889058
ACH-000178,-1.1892485873471117
ACH-000183,-1.3821034585644387
ACH-000188,-1.1141912957188853
ACH-000189,-1.1679026298743205
ACH-000190,-1.3638734738857774
ACH-000198,-1.179448645553927
ACH-000203,-1.6052818390160013
ACH-000204,-1.2073326909826854
ACH-000206,-1.3402564395993295
ACH-000207,-0.9877569605400529
ACH-000208,-1.2091092853835887
ACH-000210,-1.0831098335042064
ACH-000211,-1.234794062497395
ACH-000215,-1.1866637511462064
ACH-000221,-1.2784988319414827
ACH-000222,-1.1341519730753231
ACH-000223,-1.3165732742655678
ACH-000226,-1.0073362431678643
ACH-000227,-1.045444883124305
ACH-000228,-0.9996682765929624
ACH-000231,-1.128224604636781
ACH-000232,-1.218244774941421
ACH-000233,-1.1146847796824608
ACH-000234,-0.9978012654175828
ACH-000235,-1.242764544396678
ACH-000237,-1.014238545940213
ACH-000238,-1.2241352468562026
ACH-000242,-1.4249492099928365
ACH-000243,-1.2922399828919868
ACH-000244,-1.1788755865154072
ACH-000246,-1.186888882190778
ACH-000248,-1.2034985159402245
ACH-000250,-1.0624265851343966
ACH-000251,-0.9788059507841596
ACH-000252,-1.1584969024364555
ACH-000253,-1.2568979424412399
ACH-000255,-1.2162800985825548
ACH-000256,-1.1953865412242708
ACH-000257,-1.2819574858554532
