,PRKCSH (5589)
ACH-000004,-0.5994940660887809
ACH-000005,-0.4753548016215943
ACH-000007,-0.3190124176645853
ACH-000009,-0.32638259490796995
ACH-000011,-0.14398641069097012
ACH-000012,-0.2326363576495199
ACH-000013,-0.3717652287783072
ACH-000014,-0.12641299305159745
ACH-000015,-0.28168386037563176
ACH-000017,-0.15919643467534714
ACH-000018,-0.2640453889367357
ACH-000019,-0.2798412778336203
ACH-000021,-0.3061527988354055
ACH-000022,-0.41433806433815
ACH-000025,-0.2751029574486918
ACH-000028,-0.2734418190778621
ACH-000030,-0.24088817564957274
ACH-000035,-0.3436297586744569
ACH-000036,-0.06707082277385443
ACH-000037,-0.13562891908482666
ACH-000039,-0.06537993628166681
ACH-000040,-0.2116037282452826
ACH-000041,-0.1840759873844411
ACH-000042,-0.11735849492108535
ACH-000045,-0.031779541408340384
ACH-000047,-0.24568438562910286
ACH-000052,-0.21412705903590848
ACH-000053,-0.1905949308451727
ACH-000054,-0.13094506710914067
ACH-000055,-0.2882052075682128
ACH-000060,-0.2012505294905116
ACH-000067,-0.11343473954673272
ACH-000070,-0.2287433793162788
ACH-000075,-0.02511134039159911
ACH-000078,-0.4012205991893461
ACH-000082,-0.3847032756172346
ACH-000085,-0.15300440348660702
ACH-000086,-0.35485521189719044
ACH-000087,-0.029872982029067026
ACH-000092,-0.3490978464139372
ACH-000095,-0.2264398942115869
ACH-000097,-0.27011471982683954
ACH-000098,-0.2785830641805332
ACH-000099,-0.36414398850923096
ACH-000108,-0.3380053876972185
ACH-000113,-0.35867179574622043
ACH-000116,-0.2489124425267422
ACH-000118,-0.3065540711334222
ACH-000120,-0.2346759550391088
ACH-000123,-0.3429760779435934
ACH-000127,-0.35017707131780484
ACH-000128,-0.3651481307177283
ACH-000132,-0.4725010846110664
ACH-000133,-0.3288944941303316
ACH-000137,-0.3760690829543527
ACH-000138,-0.20085120970565076
ACH-000142,-0.20094262327345894
ACH-000143,-0.1934668839049595
ACH-000146,-0.2200005165650004
ACH-000148,-0.1590665875069277
ACH-000150,-0.3667688608324841
ACH-000152,-0.21804174384999744
ACH-000153,-0.061118670186704735
ACH-000159,-0.21216443615442804
ACH-000160,-0.1583057701123488
ACH-000163,-0.3485849455107209
ACH-000167,-0.13391152479821675
ACH-000168,-0.3224244844583494
ACH-000169,-0.14340120930198666
ACH-000178,-0.4301604218849843
ACH-000183,-0.299469649448567
ACH-000188,-0.39269902933530826
ACH-000189,-0.5530275293818221
ACH-000190,-0.12115975582792653
ACH-000198,-0.1813754867928281
ACH-000203,-0.6693127227331818
ACH-000204,-0.03759418318832124
ACH-000206,-0.3610198393126085
ACH-000207,-0.12674043881362898
ACH-000208,-0.3585279746226413
ACH-000210,0.1640175565748653
ACH-000211,-0.18788778377443446
ACH-000215,-0.1956570703808065
ACH-000221,-0.1479300351744416
ACH-000222,-0.2924357172595792
ACH-000223,-0.2484780594776548
ACH-000226,-0.2001191941527052
ACH-000227,-0.2586154940810156
ACH-000228,-0.27163324499437075
ACH-000231,-0.15211625865047074
ACH-000232,-0.3336572144276456
ACH-000233,-0.19896184789725896
ACH-000234,-0.3522305906161521
ACH-000235,-0.2496915426879403
ACH-000237,-0.3431103818705077
ACH-000238,-0.17387097945183178
ACH-000242,-0.2192310519442397
ACH-000243,-0.2591299463172128
ACH-000244,-0.3025613520241372
ACH-000246,-0.1671631546199015
ACH-000248,-0.018963504206303817
ACH-000250,-0.2286183360865625
ACH-000251,-0.7197402236168444
ACH-000252,-0.03674650422346568
ACH-000253,-0.14729031036942342
ACH-000255,-0.3781268835853681
ACH-000256,-0.4598013526377272
ACH-000257,-0.4919093808386408
ACH-000258,-0.14761789092680164
ACH-000259,-0.6347882141300827
ACH-000260,-0.2699665149666684
ACH-000261,-0.2445848392089877
ACH-000262,-0.3906386694939232
ACH-000263,-0.036172897957528274
ACH-000264,-0.2261008003486577
ACH-000265,-0.21253562548867733
ACH-000266,-0.16143472628316113
ACH-000272,-0.21530353385578807
ACH-000274,-0.3124057253444876
ACH-000277,-0.10431775908051767
ACH-000278,-0.35764278606306915
ACH-000279,-0.21153843970838454
ACH-000280,-0.006890385042338021
ACH-000281,-0.3937391892985024
ACH-000288,-0.2531208872453024
ACH-000291,-0.2579666151315905
ACH-000293,-0.3702063269761781
ACH-000294,-0.272159608106562
ACH-000295,-0.8369846473615784
ACH-000296,-0.29927479741131113
ACH-000302,-0.3585465701703396
ACH-000304,-0.04470514858420813
ACH-000307,-0.3062417610327116
ACH-000308,-0.10651273552936068
ACH-000310,-0.2916073686011746
ACH-000311,-0.17895610972097634
ACH-000312,-0.4273475587901263
ACH-000315,-0.1523172021077932
ACH-000316,-0.2911465569017301
ACH-000317,-0.3986687247407394
ACH-000318,-0.4098213777328455
ACH-000319,-0.3650162765850184
ACH-000320,-0.201415313238778
ACH-000322,-0.05192948134777106
ACH-000323,-0.16489418917415755
ACH-000324,-0.3432438895181053
ACH-000329,-0.24039728236883925
ACH-000330,-0.21975586483771686
ACH-000331,-0.5034601623928817
ACH-000332,-0.30660479012798303
ACH-000334,-0.37705714695832143
ACH-000335,-0.07586734114458778
ACH-000336,0.01583760579552143
ACH-000337,-0.032861287749920615
ACH-000338,-0.16344736469900348
ACH-000339,-0.3542561753602297
ACH-000341,-0.4221562025623345
ACH-000348,-0.3207787084422586
ACH-000350,-0.3071516510844384
ACH-000352,-0.2503422031336158
ACH-000356,-0.5124214072111483
ACH-000361,-0.06948144259039547
ACH-000362,-0.3172315827888801
ACH-000363,-0.04030172115312832
ACH-000364,-0.4080240835206893
ACH-000365,-0.4261919785103976
ACH-000366,-0.3246040725130421
ACH-000368,-0.1871385735970761
ACH-000374,-0.3949304517244567
ACH-000375,-0.21377698490061967
ACH-000376,-0.032386055011720094
ACH-000381,-0.12932541747103302
ACH-000383,-0.1675005207175858
ACH-000387,-0.4712652973464208
ACH-000389,-0.13696025572618373
ACH-000390,-0.2663439977800992
ACH-000393,-0.33368682007942313
ACH-000395,-0.2651112162063812
ACH-000396,-0.4756760101841484
ACH-000397,-0.293754534982378
ACH-000401,-0.2599549611431818
ACH-000402,-0.23113579447963836
ACH-000403,-0.24016938219143
ACH-000404,-0.016243479431697273
ACH-000406,-0.3419239073863227
ACH-000407,-0.23064967479166906
ACH-000408,-0.4083538663972874
ACH-000410,-0.2773294686161203
ACH-000411,-0.2569615230311799
ACH-000414,-0.3537280535037321
ACH-000415,-0.3884790013798027
ACH-000416,-0.2882813434684485
ACH-000420,-0.20464903876867088
ACH-000421,-0.20685494839256086
ACH-000424,-0.11208292846996096
ACH-000425,-0.07710096425147735
ACH-000426,-0.028384089291643624
ACH-000427,-0.2528913438867295
ACH-000433,-0.2911454625498087
ACH-000435,-0.15565259079514018
ACH-000436,-0.24970210758477415
ACH-000444,-0.15094463465052366
ACH-000445,-0.5648643685903412
ACH-000448,-0.2299914326934317
ACH-000450,-0.2570763937117193
ACH-000452,-0.2866887885720896
ACH-000454,-0.11161733558375264
ACH-000458,-0.3727842538607316
ACH-000459,-0.2734640946364885
ACH-000460,-0.05756529018765465
ACH-000461,-0.20765572957342995
ACH-000463,-0.07606000571297361
ACH-000464,-0.14701311066652814
ACH-000466,-0.16552264748389214
ACH-000467,-0.2365931430696901
ACH-000468,-0.2560473135100273
ACH-000469,-0.27861418737503
ACH-000470,-0.18115874219520472
ACH-000471,-0.21123860549772547
ACH-000472,-0.23846553478939114
ACH-000473,-0.15989168934429654
ACH-000475,-0.455035045414311
ACH-000476,-0.13938220131723553
ACH-000477,-0.08305363583428439
ACH-000479,-0.08653217034361838
ACH-000480,-0.3589515023377452
ACH-000481,-0.24787935921829166
ACH-000483,-0.3628028117165825
ACH-000484,-0.1035036272798735
ACH-000485,-0.2436095950367015
ACH-000486,-0.17950851335408305
ACH-000487,-0.2089934334041238
