,FCGBP (8857)
ACH-000004,-0.1841463601492493
ACH-000005,-0.16063664615602846
ACH-000007,-0.10618583852297338
ACH-000009,-0.1678404722701166
ACH-000011,0.056032637192768055
ACH-000012,-0.02935942932809084
ACH-000013,-0.5641119909967836
ACH-000014,-0.1197314878991914
ACH-000015,-0.2943019071573037
ACH-000017,-0.09156313312355027
ACH-000018,-0.18826929776681176
ACH-000019,-0.28574914274741325
ACH-000021,-0.1846136455018718
ACH-000022,-0.02688590420925121
ACH-000025,-0.09457642119962732
ACH-000028,-0.09569821506356883
ACH-000030,-0.23687182758567865
ACH-000035,-0.22662765316613226
ACH-000036,-0.08277557848379749
ACH-000037,-0.23384654508645586
ACH-000039,-0.2333006633711565
ACH-000040,-0.207834661668428
ACH-000041,-0.14874993468506092
ACH-000042,-0.09389445160101392
ACH-000045,-0.044988365571953313
ACH-000047,-0.16325852662740475
ACH-000052,-0.12236457629068473
ACH-000053,-0.18047488354085486
ACH-000054,-0.048614793517538564
ACH-000055,-0.13391713221615514
ACH-000060,-0.03254681613233135
ACH-000067,-0.1377138997013891
ACH-000070,-0.10892106926803652
ACH-000075,-0.3415988863809613
ACH-000078,-0.3432346213356247
ACH-000082,-0.09034166800308906
ACH-000085,-0.19890496576253835
ACH-000086,-0.06968475863216791
ACH-000087,0.14344326654035774
ACH-000092,-0.12570733767045364
ACH-000095,-0.18286426316483936
ACH-000097,-0.12430887076402256
ACH-000098,-0.13746278488034758
ACH-000099,-0.07994389758076398
ACH-000108,-0.03942209825659022
ACH-000113,-0.11286852554223074
ACH-000116,-0.1278104939554575
ACH-000118,-0.17166446758737886
ACH-000120,-0.11408333077352435
ACH-000123,0.0037082398943218994
ACH-000127,-0.033450956562827525
ACH-000128,-0.21642307088911875
ACH-000132,-0.1298638052152664
ACH-000133,-0.04255968384301671
ACH-000137,-0.06388158103068614
ACH-000138,-0.1148403635557003
ACH-000142,-0.1210128963568194
ACH-000143,-0.14690879092073195
ACH-000146,-0.08588517135746425
ACH-000148,-0.05550584334729086
ACH-000150,0.07940847595797805
ACH-000152,-0.16517703976473652
ACH-000153,-0.32284712203207866
ACH-000159,-0.08896666032282442
ACH-000160,-0.07781846588553126
ACH-000163,-0.2397697893391057
ACH-000167,-0.2989281280421667
ACH-000168,-0.15248450555641324
ACH-000169,0.011689103781054177
ACH-000178,-0.013360358300135893
ACH-000183,-0.03828262131378469
ACH-000188,-0.2110511822495406
ACH-000189,0.09390953022663086
ACH-000190,-0.3004907082892135
ACH-000198,-0.02738733639066471
ACH-000203,-0.3014432923656261
ACH-000204,-0.07024184435905075
ACH-000206,-0.09955329964616999
ACH-000207,-0.1816216971523905
ACH-000208,0.03657745704160777
ACH-000210,-0.18604459536473586
ACH-000211,-0.11865228652736487
ACH-000215,-0.11705952949673964
ACH-000221,-0.20011501305617585
ACH-000222,-0.2252261949298806
ACH-000223,0.002668199057481726
ACH-000226,-0.233374547546628
ACH-000227,-0.21710203137795536
ACH-000228,-0.19688126105736828
ACH-000231,0.0006433683189334043
ACH-000232,-0.2074241831473389
ACH-000233,-0.17519285954761335
ACH-000234,-0.08422123556880907
ACH-000235,-0.16568395375645048
ACH-000237,-0.1269955960087505
