,HID1 (283987)
ACH-000004,-0.10988297976907656
ACH-000005,-0.016036039308662868
ACH-000007,-0.06741832857940615
ACH-000009,-0.34732013285528346
ACH-000011,-0.18678240584289166
ACH-000012,-0.20272672906282685
ACH-000013,-0.02263507209690372
ACH-000014,-0.09416185768337892
ACH-000015,0.02950297893530588
ACH-000017,-0.1330301437832495
ACH-000018,-0.12925637340790638
ACH-000019,-0.2729495444493005
ACH-000021,-0.10666623695900693
ACH-000022,-0.15951159380759633
ACH-000025,0.00964691553580311
ACH-000028,0.03422563267431698
ACH-000030,-0.07479931057829523
ACH-000035,-0.22119530754255248
ACH-000036,-0.028212167729517675
ACH-000037,-0.04892941348135375
ACH-000039,-0.400765297881997
ACH-000040,-0.057715739782598724
ACH-000041,-0.2276237127417957
ACH-000042,-0.19548461780915716
ACH-000045,-0.28014681197853336
ACH-000047,0.0006422000542073591
ACH-000052,-0.015044996241500509
ACH-000053,-0.16207415191002403
ACH-000054,-0.10480571822373028
ACH-000055,-0.064872740420382
ACH-000060,-0.2580246099545848
ACH-000067,-0.20597121235237248
ACH-000070,-0.06147706081407694
ACH-000075,0.047859285168484096
ACH-000078,-0.3440133071732302
ACH-000082,-0.07074065160915638
ACH-000085,-0.17753143210866087
ACH-000086,-0.18571369464426754
ACH-000087,-0.16095489305392902
ACH-000092,-0.065826094996258
ACH-000095,-0.1380184115549774
ACH-000097,-0.01749159440860341
ACH-000098,-0.13421974338089915
ACH-000099,-0.1098577791234948
ACH-000108,-0.09433255797770282
ACH-000113,-0.11970111609520667
ACH-000116,-0.03298479554800015
ACH-000118,-0.036793572359516726
ACH-000120,-0.3063440925828405
ACH-000123,0.008475430435279657
ACH-000127,-0.20109197825069286
ACH-000128,-0.17013984942380164
ACH-000132,-0.1766750391947747
ACH-000133,-0.12904285713888014
ACH-000137,-0.044062822748263786
ACH-000138,-0.2496126829864917
ACH-000142,-0.207567907575737
ACH-000143,0.0802769829328005
ACH-000146,-0.10029075146784946
ACH-000148,-0.1814063645563489
ACH-000150,-0.31844314841636
ACH-000152,-0.17713782677572198
ACH-000153,-0.15056885085293287
ACH-000159,-0.1666122887088524
