,CALR (811)
ACH-000004,-0.0873250197833112
ACH-000005,-0.11943964985318956
ACH-000007,-0.2277689473777568
ACH-000009,-0.2406961698590429
ACH-000011,-0.27246515769082685
ACH-000012,-0.14141361884499132
ACH-000013,-0.1830880082944275
ACH-000014,0.01796420349774095
ACH-000015,-0.21345977093360885
ACH-000017,-0.14683981637206767
ACH-000018,-0.07130888223081723
ACH-000019,-0.2538410124062916
ACH-000021,-0.2792302157257901
ACH-000022,-0.21463178717083445
ACH-000025,-0.2747423635074284
ACH-000028,-0.18390967472471184
ACH-000030,-0.20717586990720144
ACH-000035,-0.2505654480256277
ACH-000036,-0.09981125953253372
ACH-000037,-0.2855484939772567
ACH-000039,-0.05462438690496895
ACH-000040,-0.11826330103110785
ACH-000041,-0.15810463804308442
ACH-000042,-0.12398249267909865
ACH-000045,-0.11650830915615228
ACH-000047,-0.14884175878524308
ACH-000052,-0.1413962872138116
ACH-000053,-0.15963467100220996
ACH-000054,-0.055782633752212825
ACH-000055,-0.17694068763591175
ACH-000060,-0.09088802039100012
ACH-000067,0.001681309533440411
ACH-000070,-0.0771111209021068
ACH-000075,-0.17776595822934774
ACH-000078,-0.23698526362661015
ACH-000082,-0.13960112876318134
ACH-000085,-0.2145658050497524
ACH-000086,-0.20955643635263474
ACH-000087,-0.2983048719239441
ACH-000092,-0.1433213872241268
ACH-000095,-0.1252976500521814
ACH-000097,-0.004810054052414628
ACH-000098,-0.1912238059841723
ACH-000099,-0.1894235390942166
ACH-000108,-0.11300678447469795
ACH-000113,-0.27423403616909986
ACH-000116,-0.2872339694530763
ACH-000118,-0.1426244331214437
ACH-000120,-0.2101691685970536
ACH-000123,-0.18448096243391976
ACH-000127,-0.18319769346989176
ACH-000128,-0.33381517037097713
ACH-000132,-0.24078265165268106
ACH-000133,-0.18265398879947126
ACH-000137,-0.3004867367135353
ACH-000138,-0.2081862568306912
ACH-000142,-0.1289807663866347
ACH-000143,-0.30993696462406994
ACH-000146,-0.17886598166312828
ACH-000148,-0.14458966059268347
ACH-000150,-0.34183766117051845
ACH-000152,-0.12810965311540715
ACH-000153,0.0066335981691481635
ACH-000159,-0.18242177488969505
ACH-000160,-0.09180990521047903
ACH-000163,-0.4785269402181555
ACH-000167,-0.3130280704695882
ACH-000168,-0.24184528062559746
ACH-000169,-0.18684106920198848
ACH-000178,-0.15826499747859682
ACH-000183,-0.20453969972952785
ACH-000188,-0.3811426234075129
ACH-000189,0.032550615399620314
ACH-000190,-0.15699201982318353
ACH-000198,-0.35540593465880843
