,RPL26 (6154)
ACH-000396,-1.1527901246817238
ACH-000397,-0.7288723750370709
ACH-000401,-0.9915053418688508
ACH-000402,-1.0896807657184508
ACH-000403,-0.6789024951276119
ACH-000404,-1.0336937139922155
ACH-000406,-0.7572502387667142
ACH-000407,-0.9895212972279148
ACH-000408,-0.9618790658989046
ACH-000410,-1.0235376666890383
ACH-000411,-1.08553527551373
ACH-000414,-0.8114480235461627
ACH-000415,-0.8614473859501187
ACH-000416,-0.8416110547783502
ACH-000420,-1.0170006071793984
ACH-000421,-0.8341186831332004
ACH-000424,-0.8448278423297031
ACH-000425,-0.5795724430904453
ACH-000426,-1.1599980795935183
ACH-000427,-0.909920211092486
ACH-000433,-1.0350564030075906
ACH-000435,-1.1024543855330473
ACH-000436,-1.011684531800766
ACH-000444,-0.9874412073865956
ACH-000445,-0.7620001179287789
ACH-000448,-0.927598873266426
ACH-000450,-1.1105848876777136
ACH-000452,-0.8789569703177961
ACH-000454,-1.313423409935078
ACH-000458,-1.0356544435902024
ACH-000459,-0.6334971355095059
ACH-000460,-1.1130585148565015
ACH-000461,-1.0075198668187255
ACH-000463,-0.7714898387484589
ACH-000464,-0.9282203639026376
ACH-000466,-0.7355375639680447
ACH-000467,-1.00607602608865
ACH-000468,-0.989133609624804
ACH-000469,-1.0810597301260592
ACH-000470,-0.8743784402696567
ACH-000471,-0.8955466594494578
ACH-000472,-0.7890575403407473
ACH-000473,-1.1468308472068178
ACH-000475,-0.8050764070172635
ACH-000476,-0.8998152429064127
ACH-000477,-1.2738377219293109
ACH-000479,-1.0010644759224179
ACH-000480,-0.8140528167750257
ACH-000481,-0.9673540943433868
ACH-000483,-0.9672920875049223
ACH-000484,-0.7421408584615447
ACH-000485,-0.8116063303774903
ACH-000486,-1.0451783025629031
ACH-000487,-0.9924232348612306
ACH-000488,-0.9602661100510712
ACH-000490,-1.1291674185814404
ACH-000491,-1.2675758755345476
ACH-000495,-0.41698565630913303
ACH-000496,-1.1812225441481696
ACH-000499,-0.7294476274543056
ACH-000500,-0.5576093262520595
ACH-000502,-1.0499504351763829
ACH-000503,-1.251038195756415
ACH-000505,-0.7947797938967163
ACH-000507,-1.0237169219525326
ACH-000510,-0.9281117778448638
ACH-000511,-0.8430395238932031
ACH-000512,-0.9262702892246891
ACH-000516,-0.9678839311098054
ACH-000517,-1.0458322261291906
ACH-000518,-0.8342584234137499
ACH-000520,-1.0333831098808324
ACH-000521,-0.9644930663421776
ACH-000522,-0.9003667825372292
ACH-000524,-0.8629252141950005
ACH-000527,-0.8821395903649594
ACH-000528,-0.8421830045287847
ACH-000537,-1.0284170020027157
ACH-000541,-0.9440536565715438
ACH-000542,-0.9245877972488068
ACH-000544,-0.8443913603393302
ACH-000545,-0.9960404963285986
ACH-000547,-0.6889740207918335
ACH-000548,-0.8375212321133813
ACH-000549,-1.0584583536480254
ACH-000550,-0.8917483210398717
ACH-000552,-1.0952576679010544
ACH-000556,-0.9305300163150542
ACH-000557,-1.1587636562507675
ACH-000569,-0.8681923604507698
ACH-000570,-0.7921558876384046
ACH-000571,-0.8722148441526696
ACH-000573,-0.8509505087521239
ACH-000576,-0.7528600140968486
ACH-000579,-0.5850720542040896
ACH-000580,-0.9838585983604614
ACH-000584,-0.8071660997709357
ACH-000585,-0.7497585980149437
ACH-000588,-0.6526052380586391
ACH-000589,-0.8258848836089686
ACH-000591,-0.8382314045692579
ACH-000593,-1.1855457506460243
ACH-000600,-1.0113706959867048
ACH-000601,-0.903583674433474
ACH-000605,-0.7553514372745662
ACH-000606,-1.0308113359852098
ACH-000608,-0.8877027641696041
ACH-000614,-0.7207271937717575
ACH-000616,-0.7871010742131472
ACH-000618,-0.9735248113334772
ACH-000619,-0.8047377663539313
ACH-000620,-0.8708791346758321
ACH-000621,-0.8473051784378568
ACH-000622,-0.8316244570047926
ACH-000623,-0.8924087079862673
ACH-000624,-0.9495145919512036
ACH-000627,-0.8831889806955358
ACH-000630,-0.8699088447202042
ACH-000631,-1.093781150137748
ACH-000632,-1.0006480705493028
ACH-000633,-0.8040409102666926
ACH-000637,-0.6557672263530798
ACH-000638,-0.9450837731888128
ACH-000646,-0.8940252815803293
ACH-000647,-0.9863594097300912
ACH-000648,-0.958381557275712
ACH-000649,-0.9201545126987526
ACH-000651,-0.8912621111735362
ACH-000652,-1.2136859975705359
ACH-000653,-0.7632360576240707
ACH-000657,-0.875330159599023
ACH-000658,-1.0112093393397312
ACH-000661,-0.8329340926533936
ACH-000662,-0.6492301253472141
ACH-000663,-0.9181372664082366
ACH-000665,-1.1162220598583328
ACH-000671,-1.0094118612677734
ACH-000672,-0.4522921181725262
ACH-000673,-1.0204641897529585
ACH-000676,-1.0196141362598572
ACH-000677,-0.8320095896264958
ACH-000681,-0.9564376520358012
ACH-000683,-0.9046323746325748
ACH-000684,-1.1112439140890251
ACH-000688,-0.5630587319127374
ACH-000693,-0.8335030393838108
ACH-000694,-0.7180854788429858
ACH-000695,-0.8889410507787195
ACH-000696,-0.8721052481540461
ACH-000697,-0.8250486015857554
ACH-000699,-0.8301282372169135
ACH-000701,-1.0282967323878858
ACH-000706,-0.7813888318755713
ACH-000711,-0.9119265284133324
ACH-000713,-0.9314131133964672
ACH-000714,-0.8500843796232984
ACH-000718,-1.0250658824394578
ACH-000720,-0.9073878732480448
ACH-000721,-1.0326808858669945
ACH-000724,-0.8657438236573433
ACH-000725,-0.7031836693003207
ACH-000732,-0.7967852974334912
ACH-000734,-0.8603895761620275
ACH-000735,-0.9091851735317438
ACH-000736,-1.1065862916802292
ACH-000738,-0.9793489550427592
ACH-000746,-0.8263025298330676
ACH-000747,-0.7197607210545001
ACH-000748,-1.13908229541621
ACH-000753,-1.0107996593716333
ACH-000756,-0.954299385995376
ACH-000757,-1.0773255073563155
ACH-000758,-1.1144810343729643
ACH-000760,-1.0060248770902709
ACH-000762,-0.9823363975751368
ACH-000763,-0.9507088173869196
ACH-000764,-1.0871354316618624
ACH-000765,-0.72904890614638
ACH-000766,-0.9996109560911836
ACH-000767,-1.0531765543512588
ACH-000768,-0.9363450180331104
ACH-000769,-0.5947859072817077
ACH-000770,-0.7963256749410346
ACH-000771,-1.044072866003447
ACH-000773,-0.9203408399376112
ACH-000776,-1.0626192780977661
ACH-000777,-0.8382939066152063
ACH-000778,-0.937359215811136
ACH-000781,-0.9767566587950648
ACH-000782,-0.8668430879266292
ACH-000783,-0.8744463717880443
ACH-000784,-0.9626891868498196
ACH-000785,-1.2240294424528386
ACH-000787,-1.0115543161039395
ACH-000788,-0.8663751412337122
ACH-000791,-0.979599303530176
ACH-000792,-1.0163901056304117
ACH-000794,-0.9707736322364716
ACH-000796,-1.0032429130082188
ACH-000798,-1.3824112096239942
ACH-000799,-0.9899745946748582
ACH-000800,-0.6710832579202202
ACH-000802,-0.8663535864130382
ACH-000804,-0.7702678975614288
ACH-000805,-0.8970095980324546
ACH-000809,-0.7226743819112704
ACH-000810,-0.940258012929646
ACH-000811,-1.0094863111701478
ACH-000817,-1.0546449986153281
ACH-000819,-0.8390374066498371
