,SYNPO2L (79933)
ACH-000004,-0.2343821884146948
ACH-000005,-0.2326449617892848
ACH-000007,-0.007754725611724997
ACH-000009,-0.3345881203155383
ACH-000011,-0.1770617587863587
ACH-000012,-0.4727853955951485
ACH-000013,-0.3352686211421997
ACH-000014,-0.2951748242644331
ACH-000015,-0.3037360401526525
ACH-000017,-0.3880173329015566
ACH-000018,-0.3953849719542963
ACH-000019,-0.1696425285607217
ACH-000021,-0.2410146609582134
ACH-000022,-0.3092259933240624
ACH-000025,-0.4923919127917513
ACH-000028,-0.2011466087264074
ACH-000030,-0.5536862744335783
ACH-000035,-0.3806769076102701
ACH-000036,-0.2778901421248364
ACH-000037,-0.18476734955773813
ACH-000039,-0.24762442429692436
ACH-000040,-0.3652696812475341
ACH-000041,-0.12004733414345355
ACH-000042,-0.3374938380224772
ACH-000045,-0.2267586408258753
ACH-000047,-0.3202698146156193
ACH-000052,-0.4213797839720288
ACH-000053,-0.2539540539073145
ACH-000054,-0.2153667064634417
ACH-000055,-0.3548370100558684
ACH-000060,-0.2537264822518009
ACH-000067,-0.2979320628455705
ACH-000070,-0.3300576768835228
ACH-000075,-0.3020561191265461
ACH-000078,-0.15026993893415522
ACH-000082,-0.2990568769434703
ACH-000085,-0.2969244636875045
ACH-000086,-0.2962577076990778
ACH-000087,-0.3687458112898298
ACH-000092,-0.27290112782578113
ACH-000095,-0.27034192346020425
ACH-000097,-0.2302362443407105
ACH-000098,-0.23846187321553586
ACH-000099,-0.2099770406396728
ACH-000108,-0.2853283249055895
ACH-000113,-0.2302243983033782
ACH-000116,-0.1906876197026787
ACH-000118,-0.4371740132061997
ACH-000120,-0.228959653063916
ACH-000123,-0.3232143512728736
ACH-000127,-0.3431412988790588
ACH-000128,-0.250700353062748
ACH-000132,-0.2742965065380595
ACH-000133,-0.3655466879253029
ACH-000137,-0.23013898325297105
ACH-000138,-0.15410090195697915
ACH-000142,-0.3581923162941799
ACH-000143,-0.4456803880982457
ACH-000146,-0.3563699385859089
ACH-000148,-0.3824354743600812
ACH-000150,-0.2452911344951267
ACH-000152,-0.2731195013916066
ACH-000153,-0.08113977099313299
ACH-000159,-0.2325649502783187
ACH-000160,-0.2717875350189867
ACH-000163,-0.2805950626404717
