,GNAI3 (2773)
ACH-000004,-0.1808572320638137
ACH-000005,-0.02411834720788274
ACH-000007,0.05184599120750728
ACH-000009,-0.07622710633405318
ACH-000011,0.050170127958986704
ACH-000012,-0.11291981045007406
ACH-000013,-0.070867548891316
ACH-000014,0.05424404301067843
ACH-000015,-0.17150958865841348
ACH-000017,-0.0809299166371261
ACH-000018,0.07750204815298006
ACH-000019,-0.2166030668369698
ACH-000021,0.017382524236638826
ACH-000022,0.03151075043194338
ACH-000025,-0.13641767233093688
ACH-000028,-0.23075666778687925
ACH-000030,0.05531007266477336
ACH-000035,-0.16330105386931526
ACH-000036,-0.09797113041477204
ACH-000037,-0.15307611832598753
ACH-000039,-0.1370877017239904
ACH-000040,-0.0688683994269706
ACH-000041,-0.046147693737299406
ACH-000042,-0.03376833251009783
ACH-000045,-0.13190118985363056
ACH-000047,-0.08004882421111181
ACH-000052,-0.3905057095043551
ACH-000053,-0.12758575491507093
ACH-000054,0.20125522243009092
ACH-000055,-0.0954796082429394
ACH-000060,-0.21774124529927805
ACH-000067,-0.2216921147778356
ACH-000070,-0.133520009743409
ACH-000075,-0.2863443331328788
ACH-000078,-0.11307967701091293
ACH-000082,-0.2844309112663164
ACH-000085,-0.19507803493306655
ACH-000086,-0.2682309349061533
ACH-000087,-0.0365114126222616
ACH-000092,-0.11807993139848312
ACH-000095,-0.04812028268456995
ACH-000097,-0.03532396832767614
ACH-000098,-0.05055964415736555
ACH-000099,-0.1161281941268288
ACH-000108,-0.06911560465394713
ACH-000113,-0.0940474045015648
ACH-000116,0.002272113158063543
ACH-000118,-0.06706035720864133
ACH-000120,-5.9306679469770776e-05
ACH-000123,-0.11026377289664173
ACH-000127,-0.07810087632655897
ACH-000128,-0.2853337432514547
ACH-000132,-0.2825190737864341
ACH-000133,-0.1728782961383329
ACH-000137,-0.08012348646367494
ACH-000138,0.0482598624842896
ACH-000142,-0.09209375739954397
ACH-000143,-0.06887208357165311
ACH-000146,0.06138576857977865
ACH-000148,-0.11238671287348248
ACH-000150,-0.13512851711349025
ACH-000152,-0.18394194375771686
ACH-000153,-0.15312452181811206
ACH-000159,-0.1568638465322324
ACH-000160,0.0010532390846002568
ACH-000163,-0.25037435412198344
ACH-000167,0.3195841575431065
ACH-000168,0.08444829973372008
ACH-000169,-0.06614518580623803
ACH-000178,-0.04590280368799693
ACH-000183,-0.13240197030470385
ACH-000188,-0.09037382465069746
ACH-000189,-0.2100777763798262
ACH-000190,-0.0398850349727323
ACH-000198,-0.2258387737180645
ACH-000203,0.44805673460115375
ACH-000204,-0.3931189981153269
ACH-000206,-0.22728607345869925
ACH-000207,-0.33944214952783697
ACH-000208,-0.15304626448756112
ACH-000210,-0.13005739624386134
ACH-000211,-0.22783580125505734
ACH-000215,-0.12533413828481066
ACH-000221,-0.2419968679150549
ACH-000222,0.1215539673391742
ACH-000223,-0.1723364170255409
ACH-000226,-0.27069560078276844
