,METTL7A (25840)
ACH-000004,-0.37770507963580985
ACH-000005,-0.3794151928883359
ACH-000007,-0.2072963204037193
ACH-000009,-0.3367663034705914
ACH-000011,-0.5370555003300062
ACH-000012,-0.3244359760815965
ACH-000013,-0.40123615590683137
ACH-000014,-0.18031761978978605
ACH-000015,-0.326058827256248
ACH-000017,-0.2168354938419708
ACH-000018,-0.34528118511542244
ACH-000019,-0.4197214000080327
ACH-000021,-0.384203635118611
ACH-000022,-0.2634130295378859
ACH-000025,-0.5009209914165791
ACH-000028,-0.5037596881024272
ACH-000030,-0.2665708425172724
ACH-000035,-0.17345985399414232
ACH-000036,-0.3525152317892274
ACH-000037,-0.21919477334954213
ACH-000039,-0.3992984786221589
ACH-000040,-0.5841062337218008
ACH-000041,-0.3620678953536787
ACH-000042,-0.2321231968507592
ACH-000045,-0.2970595801655298
ACH-000047,-0.207096472085172
ACH-000052,-0.4595007242152456
ACH-000053,-0.20836020731621896
ACH-000054,-0.3858631416223468
ACH-000055,-0.3674618606638449
ACH-000060,-0.2545261577827725
ACH-000067,-0.3603385390195293
ACH-000070,-0.3346545007503953
ACH-000075,-0.2824369079725714
ACH-000078,-0.3815194702654954
ACH-000082,-0.3241259857394269
ACH-000085,-0.2467407132045437
ACH-000086,-0.3942477806757268
ACH-000087,-0.5001260299462109
ACH-000092,-0.2937620909159584
ACH-000095,-0.2345827788375084
ACH-000097,-0.2982990927543374
ACH-000098,-0.3623773577473304
ACH-000099,-0.3924526497825455
ACH-000108,-0.2757721785877827
ACH-000113,-0.2423112308342159
ACH-000116,-0.2629135542928394
ACH-000118,-0.3116135988109345
ACH-000120,-0.25604488543785703
ACH-000123,-0.23956713696813384
ACH-000127,-0.3450863225468183
ACH-000128,-0.2934122279142566
ACH-000132,-0.15570379420952146
ACH-000133,-0.39663619388658017
ACH-000137,-0.4500399429970853
ACH-000138,-0.23909057952969426
ACH-000142,-0.3453840139174084
ACH-000143,-0.24814212102608826
ACH-000146,-0.271771884505817
ACH-000148,-0.2573617412439344
ACH-000150,-0.4574674764215368
ACH-000152,-0.4639249079837416
ACH-000153,-0.09777530809974694
ACH-000159,-0.2852358693852669
ACH-000160,-0.3200114010601033
ACH-000163,-0.3592098125457304
ACH-000167,-0.11875661043468083
ACH-000168,-0.1581264830616667
ACH-000169,-0.30522454710055397
ACH-000178,-0.2529437883008448
ACH-000183,-0.20159689757665325
ACH-000188,-0.18863154811027813
ACH-000189,-0.4800490891212496
ACH-000190,-0.3507621648504336
ACH-000198,-0.2785612145430529
