,DBF4B (80174)
ACH-000004,-0.06829743051904348
ACH-000005,-0.17122300730430629
ACH-000007,0.010015611201558906
ACH-000009,-0.22344501895077426
ACH-000011,-0.07784995740331757
ACH-000012,-0.14885951609778295
ACH-000013,-0.1379302023051522
ACH-000014,-0.19889238462394365
ACH-000015,0.09070240273486957
ACH-000017,-0.14537571151513498
ACH-000018,-0.045755738329502714
ACH-000019,-0.11916434548667433
ACH-000021,-0.045518676278927236
ACH-000022,-0.11436120179824692
ACH-000025,-0.21821599488018728
ACH-000028,-0.05029417252376352
ACH-000030,-0.16309472053597684
ACH-000035,-0.1851580441837281
ACH-000036,-0.09991310979996744
ACH-000037,-0.0807385063971598
ACH-000039,-0.1551141610990842
ACH-000040,-0.11761244715860368
ACH-000041,-0.1349915841756391
ACH-000042,-0.08973163289313807
ACH-000045,-0.11462143854734458
ACH-000047,-0.15582451285931112
ACH-000052,0.18430265322582565
ACH-000053,-0.13432943175944986
ACH-000054,0.01333412757752347
ACH-000055,-0.20211816437771998
ACH-000060,-0.116337605324834
ACH-000067,-0.08836707146378624
ACH-000070,-0.1228475477668676
ACH-000075,-0.046749659129999926
ACH-000078,-0.1741577349707635
ACH-000082,-0.13182688368483542
ACH-000085,-0.0466587242822791
ACH-000086,-0.09960756472525796
ACH-000087,0.03703938576197174
ACH-000092,-0.1357650763541197
ACH-000095,-0.06619871475504578
ACH-000097,-0.07355831081342619
ACH-000098,-0.09326579293468376
ACH-000099,-0.14523940959051956
ACH-000108,-0.037202243640868785
ACH-000113,-0.0006242736273018733
ACH-000116,-0.10229793915511763
ACH-000118,-0.1882186161440937
ACH-000120,-0.2142787255020487
ACH-000123,-0.08519770466784463
ACH-000127,0.07248938017472331
ACH-000128,-0.08347785126123089
ACH-000132,-0.1245823997259298
ACH-000133,-0.16059327226573672
ACH-000137,-0.02264897025600414
ACH-000138,-0.21183450885393887
ACH-000142,-0.1836154641470246
ACH-000143,-0.07608149029148953
ACH-000146,0.016390435482910047
ACH-000148,-0.12110015717485385
ACH-000150,-0.3618520058814061
ACH-000152,-0.18740327705517992
ACH-000153,0.15515338426253994
ACH-000159,-0.05323116387979168
ACH-000160,-0.05970464339581619
ACH-000163,-0.009178044549329595
ACH-000167,0.025776980840255845
ACH-000168,0.006328436659722136
ACH-000169,-0.1495436763271205
ACH-000178,-0.08582312124627384
ACH-000183,0.06650450795900359
ACH-000188,-0.13341287879519687
ACH-000189,-0.2276611202421352
ACH-000190,-0.08445781165725047
ACH-000198,-0.06775586731241676
ACH-000203,-0.16196913989514178
ACH-000204,-0.03717672039101958
ACH-000206,-0.12923410408864713
ACH-000207,-0.10190779571359948
ACH-000208,0.07233942024379295
ACH-000210,0.10533411510488393
ACH-000211,-0.2046460808241564
ACH-000215,-0.1394194176483337
ACH-000221,0.08267318455565635
ACH-000222,-0.05701547290638826
ACH-000223,-0.12487236741878345
ACH-000226,-0.006091570131132992
ACH-000227,-0.30172808535103995
ACH-000228,-0.05929697925535385
ACH-000231,-0.042677973559570835
ACH-000232,-0.10624797027303692
ACH-000233,-0.01203545054905345
ACH-000234,0.015351472599596688
ACH-000235,-0.08350867409939469
ACH-000237,0.06513374911786705
ACH-000238,-0.11025746660640798
ACH-000242,-0.4153364477524582
ACH-000243,-0.19339259667914785
ACH-000244,-0.2986345533347841
ACH-000246,-0.0825748916761202
ACH-000248,-0.15813898489959913
ACH-000250,-0.1860812446784761
ACH-000251,-0.31039916878189
ACH-000252,0.003460705770108913
ACH-000253,-0.16110673838355338
ACH-000255,-0.19203248684620375
ACH-000256,-0.17983564822290285
ACH-000257,-0.20005699442404776
ACH-000258,-0.1496308803982901
ACH-000259,-0.005832176997081088
ACH-000260,-0.12673149548576956
ACH-000261,-0.08537949966894749
ACH-000262,-0.021961693316331014
ACH-000263,-0.2993420016382006
ACH-000264,-0.14687046646303764
ACH-000265,-0.03080762049275568
ACH-000266,-0.10953592700082128
ACH-000272,-0.0715430514422213
ACH-000274,-0.16178196742991313
ACH-000277,0.037374059058169866
ACH-000278,-0.024939659491811476
ACH-000279,-0.1616468476279347
ACH-000280,-0.15647157010167145
ACH-000281,-0.01541412542731941
ACH-000288,-0.21184964789397887
ACH-000291,-0.1327113611295776
ACH-000293,-0.06393614079770799
ACH-000294,-0.069861917349524
ACH-000295,-0.2350919462920464
ACH-000296,-0.25695500686538425
ACH-000302,-0.012608708578157822
ACH-000304,-0.3229364489471624
ACH-000307,-0.12697571480103512
ACH-000308,-0.09122331145063499
ACH-000310,-0.2629703162889893
ACH-000311,-0.22234415722390335
ACH-000312,-0.10023277876111937
ACH-000315,-0.26686981381193914
ACH-000316,-0.09122169342317556
ACH-000317,-0.1751486454617482
ACH-000318,-0.09121517074193243
ACH-000319,-0.1935768971540812
ACH-000320,-0.0533497588179293
ACH-000322,-0.13231300851315408
ACH-000323,-0.3026993669392871
ACH-000324,-0.14250166741443301
ACH-000329,-0.31209779311058106
ACH-000330,-0.1123529563135586
ACH-000331,-0.06464062604807642
ACH-000332,-0.11900615178370848
ACH-000334,0.01841678345127689
ACH-000335,-0.17251284504183326
ACH-000336,0.09163622791846976
ACH-000337,-0.059376345321976325
ACH-000338,-0.5778929407520659
ACH-000339,-0.1495403276460612
ACH-000341,-0.1927186312710993
ACH-000348,-0.0750563366378191
ACH-000350,0.0046428022659367385
ACH-000352,-0.014677384875541944
ACH-000356,0.14351502685418774
ACH-000361,-0.2762626397456825
ACH-000362,-0.1665463583673535
ACH-000363,-0.11455080286182158
ACH-000364,-0.02113762453008016
ACH-000365,-0.10920324458976284
ACH-000366,-0.01406189203829262
ACH-000368,-0.01933227464025708
ACH-000374,-0.20914957376469304
ACH-000375,0.002793592910269134
ACH-000376,-0.12604405534369936
ACH-000381,0.07884647881729714
ACH-000383,-0.11068806902488594
ACH-000387,-0.11028738084551076
ACH-000389,-0.16697224037164116
ACH-000390,0.012020972621677084
ACH-000393,-0.01278105713235683
ACH-000395,0.019067159502175652
ACH-000396,0.2891611156155263
ACH-000397,-0.2099836899384968
ACH-000401,-0.2198753966428136
ACH-000402,-0.02633055736181635
ACH-000403,-0.20141558378497876
ACH-000404,-0.1174321409577769
ACH-000406,-0.0594724187721958
ACH-000407,-0.10407346941141704
ACH-000408,-0.16542859219786665
ACH-000410,-0.1023309256244496
ACH-000411,-0.2291181531898273
ACH-000414,-0.10248793164769596
ACH-000415,-0.2361856812322549
ACH-000416,-0.1754808931679994
ACH-000420,-0.14432788850434594
ACH-000421,-0.13076482583682042
ACH-000424,-0.1277776306348081
ACH-000425,-0.20288326655331265
ACH-000426,-0.13205161303907778
ACH-000427,-0.13389508495614535
ACH-000433,-0.07067031074530608
ACH-000435,-0.11824734894171154
ACH-000436,0.025443596126303456
ACH-000444,-0.0077473599653559684
ACH-000445,-0.10235029389290136
ACH-000448,-0.06411465176684006
ACH-000450,-0.09836278603024236
ACH-000452,-0.1790767532555264
ACH-000454,-0.0382843725064031
ACH-000458,-0.2768834672856041
ACH-000459,0.004690822646607451
ACH-000460,0.017574232257436342
ACH-000461,-0.11540125139307107
ACH-000463,-0.022291971330974568
ACH-000464,-0.2334965613168666
ACH-000466,0.02436319174411063
ACH-000467,-0.2310896563622273
ACH-000468,-0.06886318191901024
ACH-000469,-0.1339600851231973
ACH-000470,-0.23917838548558146
ACH-000471,-0.08929645783514324
ACH-000472,-0.04967417580235438
ACH-000473,0.08710951592866342
ACH-000475,-0.07034818841185626
ACH-000476,-0.10538019536761456
ACH-000477,-0.14748524980451527
ACH-000479,0.024314476120014937
ACH-000480,-0.062063045831522966
ACH-000481,-0.15493518575568274
