,G3BP2 (9908)
ACH-000004,-0.18918900671841288
ACH-000005,0.030866116510482287
ACH-000007,-0.09937080229538124
ACH-000009,-0.08151185622986892
ACH-000011,0.08683412033457627
ACH-000012,0.04622977391029042
ACH-000013,-0.02683603307065284
ACH-000014,-0.041701752822017
ACH-000015,0.10646660463825024
ACH-000017,-0.013076720206622282
ACH-000018,-0.0734327763295577
ACH-000019,-0.1404970680212165
ACH-000021,-0.024761618509129783
ACH-000022,0.06562150576462869
ACH-000025,0.15224611818721012
ACH-000028,-0.08100997634026395
ACH-000030,-0.032669477031806615
ACH-000035,0.07989926385920328
ACH-000036,0.12675603010993136
ACH-000037,0.1435727414802651
ACH-000039,0.016490872919735243
ACH-000040,0.12485680432941235
ACH-000041,0.013744053649667765
ACH-000042,0.02427595796441508
ACH-000045,-0.0739185519090734
ACH-000047,-0.03148456165411577
ACH-000052,-0.058258910131163376
ACH-000053,-0.067383233830617
ACH-000054,-0.021071697811563043
ACH-000055,0.19916306697156624
ACH-000060,-0.1163384455518665
ACH-000067,-0.16672175111770832
ACH-000070,-0.06060822013664133
ACH-000075,-0.04728289679942106
ACH-000078,0.0481611336274758
ACH-000082,0.025325921418965558
ACH-000085,0.03552538301623465
ACH-000086,0.24034136344058696
ACH-000087,0.051395792087002505
ACH-000092,0.09728757459405957
ACH-000095,0.20691394038772687
ACH-000097,-0.014579403636449344
ACH-000098,-0.0214171965474254
ACH-000099,0.16596424902737794
ACH-000108,0.06013377775152974
ACH-000113,-0.04444875524988153
ACH-000116,-0.07136362227316348
ACH-000118,0.039865753266943096
ACH-000120,-0.01940288093603287
ACH-000123,0.08356433376726846
ACH-000127,-0.033164914623329
ACH-000128,0.09319784544150027
ACH-000132,0.026804881030809767
ACH-000133,0.1089213808835033
ACH-000137,0.12890702994360267
ACH-000138,0.1765733289590756
ACH-000142,0.08927733596346632
ACH-000143,-0.0533136148221553
ACH-000146,-0.057022009063305075
ACH-000148,0.041106756271599314
ACH-000150,0.1356836605141135
ACH-000152,0.17317506730116464
ACH-000153,-0.18665626279063235
ACH-000159,0.028994305010226568
ACH-000160,-0.04667134379057966
ACH-000163,0.11295467799146162
ACH-000167,0.3543345715777241
ACH-000168,0.0955327287031076
ACH-000169,0.01515148892565774
ACH-000178,0.12419162975568156
ACH-000183,-0.10930775455050194
ACH-000188,0.09878321268434433
ACH-000189,0.04351604119190334
ACH-000190,0.10096754971858604
ACH-000198,-0.30469486119072914
ACH-000203,-0.21139008573636206
