,OR2AK2 (391191)
ACH-000004,0.2244442780260723
ACH-000005,0.054778287891689065
ACH-000007,0.07031336281250794
ACH-000009,0.04383102914473785
ACH-000011,0.031107804092837126
ACH-000012,0.10659261373079673
ACH-000013,0.14726535454965906
ACH-000014,0.02887994238839509
ACH-000015,0.12981716106969132
ACH-000017,0.16356176506798056
ACH-000018,0.1719027860346061
ACH-000019,0.2564523345460363
ACH-000021,0.04536200112896211
ACH-000022,0.007973666810377169
ACH-000025,0.05661040723491231
ACH-000028,0.1844264963301101
ACH-000030,0.11256580359496468
ACH-000035,0.18962271153058802
ACH-000036,0.12331812817129273
ACH-000037,0.05434077371658472
ACH-000039,0.2442704029495637
ACH-000040,-0.07781272923248682
ACH-000041,0.13315623247422131
ACH-000042,0.08335253705967745
ACH-000045,0.10420688426232523
ACH-000047,0.2034774810718417
ACH-000052,0.14266967673381514
ACH-000053,0.09207144795984064
ACH-000054,0.04342013214650757
ACH-000055,0.18580780337895786
ACH-000060,0.15036588710519375
ACH-000067,0.07871273419238926
ACH-000070,0.07005439273192554
ACH-000075,0.12790065809133006
ACH-000078,0.1326505453167422
ACH-000082,0.06652849673494399
ACH-000085,0.08801304925748199
ACH-000086,0.1559173692618575
ACH-000087,0.18316047472530095
ACH-000092,0.10852435166906227
ACH-000095,0.13626143435435814
ACH-000097,0.17367032158409546
ACH-000098,0.05014035016245076
ACH-000099,0.0951130109456461
ACH-000108,0.04263890355655744
ACH-000113,0.15976592798772507
ACH-000116,0.018496353409319037
ACH-000118,0.08917741802524957
ACH-000120,0.10447725927094882
ACH-000123,0.07572667952820211
ACH-000127,0.07637189744418191
ACH-000128,0.11525894071684893
ACH-000132,0.11824743931053427
ACH-000133,0.1051608786172838
ACH-000137,0.24778237750390786
ACH-000138,0.0626566845505498
ACH-000142,0.27505565004184324
ACH-000143,0.17776425259577958
ACH-000146,0.059027614893134774
ACH-000148,0.011555212972742236
ACH-000150,-0.006416020036332582
ACH-000152,0.1300988803699512
ACH-000153,0.2411864733383868
ACH-000159,0.0744083947209321
ACH-000160,0.044899510364298456
ACH-000163,0.11200454036447244
ACH-000167,-0.3502037326724537
ACH-000168,-0.0228028142145909
ACH-000169,0.07322063373695854
ACH-000178,0.032925326510541926
ACH-000183,0.22861266039217085
ACH-000188,0.054730573117333176
ACH-000189,0.2361184421910755
ACH-000190,0.06721035469122727
ACH-000198,0.17343754244252302
ACH-000203,0.2969967262996652
ACH-000204,0.07800290474184116
ACH-000206,0.1443293516854112
ACH-000207,0.07754193711093563
ACH-000208,0.01704319875193203
ACH-000210,-0.10899650064300204
ACH-000211,0.05204915676854024
ACH-000215,0.10127792806646893
ACH-000221,0.07154417061501296
ACH-000222,0.02075477574972958
ACH-000223,0.11174173130110956
ACH-000226,0.14040474773980602
ACH-000227,0.19441498519509035
ACH-000228,0.1791829958004926
ACH-000231,0.10343442962472094
ACH-000232,-0.09356161610935987
ACH-000233,-0.017765765479176757
ACH-000234,0.0418677909936938
ACH-000235,0.08548092181439622
ACH-000237,0.09607640255476443
ACH-000238,0.0745796848962651
ACH-000242,-0.0091638302606749
