,PLEKHN1 (84069)
ACH-000004,-0.21733351593719186
ACH-000005,-0.15518608443381982
ACH-000007,-0.05290125667842891
ACH-000009,-0.3157290645771225
ACH-000011,-0.4402568213255787
ACH-000012,-0.3420859128267095
ACH-000013,-0.1505008108330023
ACH-000014,-0.4409400856233313
ACH-000015,-0.32238621556019165
ACH-000017,-0.5811368488046714
ACH-000018,-0.08702346532381394
ACH-000019,-0.07710331117443586
ACH-000021,-0.3973152823798846
ACH-000022,-0.2853766417847204
ACH-000025,-0.2078600614424149
ACH-000028,-0.21167133884988126
ACH-000030,-0.3005466880638025
ACH-000035,-0.4454258389162318
ACH-000036,-0.3306793313158569
ACH-000037,-0.5338035140269091
ACH-000039,-0.5086443997704151
ACH-000040,-0.3889147290196278
ACH-000041,-0.33339845787787464
ACH-000042,-0.3887905592143418
ACH-000045,-0.4570301929236394
ACH-000047,-0.314878157952424
ACH-000052,-0.21548268126672546
ACH-000053,-0.2616192695564057
ACH-000054,-0.4498460893995721
ACH-000055,-0.13226015350093087
ACH-000060,-0.14213751368451932
ACH-000067,-0.3674399022470427
ACH-000070,-0.6406854848718689
ACH-000075,-0.3868534826667748
ACH-000078,-0.43113337152294745
ACH-000082,-0.5749517423622814
ACH-000085,-0.18316369167974111
ACH-000086,-0.4176636172181905
ACH-000087,-0.5377195103334335
ACH-000092,-0.41014307414623496
ACH-000095,-0.32314639747773666
ACH-000097,-0.2849427621369051
ACH-000098,-0.3577012676443801
ACH-000099,-0.4614726504250318
ACH-000108,-0.4593491152422243
ACH-000113,-0.20618829842642225
ACH-000116,-0.13474342153617436
ACH-000118,-0.2429814307829233
ACH-000120,-0.29648145327295483
ACH-000123,-0.39929768610698535
ACH-000127,-0.3134354261822543
ACH-000128,-0.32463727073980325
ACH-000132,-0.3378557652881181
ACH-000133,-0.4944979455852293
ACH-000137,-0.5027198985222087
ACH-000138,-0.373239736937859
ACH-000142,-0.4945409232591082
ACH-000143,-0.4802008276377204
ACH-000146,-0.4025657241656148
ACH-000148,-0.42524007726396906
ACH-000150,-0.5325480918933072
ACH-000152,-0.2550618572716997
ACH-000153,-0.4677263524733964
ACH-000159,-0.4043652201194601
ACH-000160,-0.3568060630407815
ACH-000163,-0.4108763648403404
ACH-000167,-0.5908432340176836
ACH-000168,-0.2815057579328153
ACH-000169,-0.4626177583580703
ACH-000178,-0.4786646584959924
ACH-000183,-0.363069484106771
ACH-000188,-0.3417770871672387
ACH-000189,-0.24119287437987205
ACH-000190,-0.4815676924926696
ACH-000198,-0.33055810032894384
ACH-000203,-0.4498410700633237
ACH-000204,-0.2281388535504253
ACH-000206,-0.5569070536093115
ACH-000207,-0.36504707830006655
ACH-000208,-0.07604334243857096
ACH-000210,-0.008012037881556307
ACH-000211,-0.4770339050735203
ACH-000215,-0.41344735354092
ACH-000221,-0.07332817136748053
ACH-000222,0.06495234831966477
ACH-000223,-0.3081807878531191
ACH-000226,-0.27420909690472994
ACH-000227,-0.5211551833742707
ACH-000228,-0.2697317189210532
ACH-000231,-0.3543979268073464
ACH-000232,-0.35430324723969353
ACH-000233,-0.3511262245706968
ACH-000234,-0.5526641495757849
ACH-000235,-0.3306461979171695
ACH-000237,-0.4742746333091815
ACH-000238,-0.4200792758572813
ACH-000242,-0.06122984188781369
ACH-000243,-0.2648873571772122
ACH-000244,-0.3774659510706813
ACH-000246,-0.3862789916071076
ACH-000248,-0.3886571565302953
ACH-000250,-0.3879516522565982
ACH-000251,-0.33949737429870425
ACH-000252,-0.4381167282888069
ACH-000253,-0.5420980908252739
ACH-000255,-0.3756915865167188
ACH-000256,-0.14739622746519584
ACH-000257,-0.322987190851852
ACH-000258,-0.3753422454904018
ACH-000259,-0.38582468938591263
ACH-000260,-0.3893136734034289
ACH-000261,-0.4381331339440374
ACH-000262,-0.24758069914191586
ACH-000263,-0.439871073857748
ACH-000264,-0.4651761825816466
ACH-000265,-0.2918585754687668
ACH-000266,-0.3164991973139891
ACH-000272,-0.4551844006050793
ACH-000274,-0.4250432938040161
ACH-000277,-0.4927203805287557
ACH-000278,-0.515559950661936
ACH-000279,-0.5167071613916419
ACH-000280,-0.4425965708394641
ACH-000281,-0.3951309216290424
ACH-000288,-0.4958893244196546
ACH-000291,-0.2875401350653386
ACH-000293,-0.5158507476856822
ACH-000294,-0.2944837817907027
ACH-000295,-0.5146246393941158
ACH-000296,-0.3006609939606369
ACH-000302,-0.38954981286575135
ACH-000304,-0.08746057919386127
ACH-000307,-0.2331994091119992
ACH-000308,-0.3836900771261333
ACH-000310,-0.5258956663083845
ACH-000311,-0.3034774364070503
ACH-000312,-0.3618245966552803
ACH-000315,-0.3256625106950136
ACH-000316,-0.4110505022520951
ACH-000317,-0.43644908772741386
ACH-000318,-0.2675547180955589
ACH-000319,-0.4261799062666111
ACH-000320,-0.43226150314381545
ACH-000322,-0.4208362957231741
ACH-000323,-0.106679417589163
ACH-000324,-0.2724788696155925
ACH-000329,-0.6828034195889205
ACH-000330,-0.18462272885776035
ACH-000331,-0.2831548408525801
ACH-000332,-0.3543589380315256
ACH-000334,-0.4880550675349217
ACH-000335,-0.16259357993860846
ACH-000336,-0.10304188658442774
ACH-000337,-0.6039785081012496
ACH-000338,-0.1893856363726656
ACH-000339,-0.404267015781671
ACH-000341,-0.2263372496590201
ACH-000348,-0.30304853294787704
ACH-000350,-0.4139944038363762
ACH-000352,-0.4532344315495341
ACH-000356,-0.3387601602426293
ACH-000361,-0.4154936766254583
ACH-000362,-0.3213408218127509
ACH-000363,-0.4688379730714449
ACH-000364,-0.4492953649181122
ACH-000365,-0.3524429418079677
ACH-000366,-0.4409917573311158
ACH-000368,-0.4760653340984982
ACH-000374,-0.4232262692442609
ACH-000375,-0.2926337612310112
ACH-000376,-0.3840208956265624
ACH-000381,-0.12094009242046312
ACH-000383,-0.3729324884791531
ACH-000387,-0.4947096329463424
ACH-000389,-0.3252067353059506
ACH-000390,-0.32445501930921616
ACH-000393,-0.2877487821815524
ACH-000395,-0.4633841137583356
ACH-000396,-0.33853860943875536
ACH-000397,-0.2717874323451954
ACH-000401,-0.10798115439198044
ACH-000402,-0.5114389223606887
ACH-000403,-0.37395547976940746
ACH-000404,-0.27184413552239783
ACH-000406,-0.3587971251807521
