,ZBTB7A (51341)
ACH-000004,-0.2400819535163189
ACH-000005,-0.2801081288633832
ACH-000007,-0.4310252911716757
ACH-000009,-0.2930524885424225
ACH-000011,-0.12571457113902512
ACH-000012,-0.048687299957660884
ACH-000013,-0.2651451396234457
ACH-000014,-0.4131672300612653
ACH-000015,-0.4036738600716128
ACH-000017,-0.5408135215430999
ACH-000018,-0.6712717423208072
ACH-000019,-0.4336064624048576
ACH-000021,-0.3484525736701874
ACH-000022,-0.5548339837297247
ACH-000025,-0.5801033635647972
ACH-000028,-0.5207540535182026
ACH-000030,-0.27651560147544363
ACH-000035,-0.1957235282538527
ACH-000036,-0.6599824188567484
ACH-000037,-0.5701955666419928
ACH-000039,-0.2917924872358668
ACH-000040,-0.8348226621276771
ACH-000041,-0.2886138157146379
ACH-000042,-0.5493993405880071
ACH-000045,-0.5523019766784276
ACH-000047,-0.18426467588029413
ACH-000052,-0.4311678282603848
ACH-000053,-0.5070307540457988
ACH-000054,-0.3828857292860506
ACH-000055,-0.3767553558232769
ACH-000060,-0.5728896567255416
ACH-000067,-0.5305593639074544
ACH-000070,-0.027111027459174545
ACH-000075,-0.21643540367272535
ACH-000078,-0.16830867933188878
ACH-000082,-0.6498161566074203
ACH-000085,-0.7278488750838374
ACH-000086,-0.3621367610395021
ACH-000087,-0.22858431882490854
ACH-000092,-0.5070702381226949
ACH-000095,-0.3663034142473771
ACH-000097,-0.2637080149218037
ACH-000098,-0.3036636921376637
ACH-000099,-0.32566087385082754
ACH-000108,-0.3777751101880389
ACH-000113,-0.5814785151090959
ACH-000116,-0.3317162911605913
ACH-000118,-0.5385163839079651
ACH-000120,-0.20287823866506094
ACH-000123,-0.4082929316497184
ACH-000127,-0.5791807863345032
ACH-000128,-0.4508965697680148
ACH-000132,-0.13313600984434454
ACH-000133,-0.5179621669281551
ACH-000137,-0.4093138914236204
ACH-000138,-0.3407477348737721
ACH-000142,-0.36260623787301705
ACH-000143,-0.495361835013635
ACH-000146,-0.10524979753514377
ACH-000148,-0.543122923687315
ACH-000150,-0.7703474913047376
ACH-000152,-0.4733698021668053
ACH-000153,-0.3227601975303545
ACH-000159,-0.4945093056069267
ACH-000160,-0.2866290513249139
ACH-000163,-0.5758659801098679
ACH-000167,-0.1891150307877857
ACH-000168,-0.3212508577657992
ACH-000169,-0.1743197332126315
ACH-000178,-0.2079075216657395
ACH-000183,-0.5107829342669099
ACH-000188,-0.2560709735638116
ACH-000189,-0.4528516140549506
ACH-000190,-0.5963787150867331
ACH-000198,-0.5964501896631336
ACH-000203,-0.02263146800967937
ACH-000204,-0.3156074157273715
ACH-000206,-0.7840449234182135
ACH-000207,-0.4465923944223967
ACH-000208,-0.5951996742707748
ACH-000210,-0.30401578988410843
ACH-000211,-0.12004387263730668
ACH-000215,-0.385414717003554
ACH-000221,-0.4424483546579344
ACH-000222,-0.7754258375980269
ACH-000223,-0.26487918535711
ACH-000226,-0.3967224729901455
ACH-000227,-0.17188769502398615
ACH-000228,-0.324494174500421
ACH-000231,-0.07099778840566935
ACH-000232,-0.5311969243712292
ACH-000233,-0.2442086843713373
ACH-000234,-0.2983725060086726
ACH-000235,-0.4641405859555856
ACH-000237,-0.5430673400127504
ACH-000238,-0.008094318126969258
ACH-000242,-0.5551099878762529
ACH-000243,-0.3097290932866131
ACH-000244,-0.6304081410609179
ACH-000246,-0.4370549220660328
ACH-000248,-0.4718804709387658
ACH-000250,-0.4099767648014053
ACH-000251,-0.5579855033477347
ACH-000252,-0.8693637300137724
ACH-000253,-0.4421354985781269
ACH-000255,-0.4180828238645477
ACH-000256,-0.2399610669091821
ACH-000257,-0.20912973049419856
ACH-000258,-0.5062273094867243
ACH-000259,-0.2761265011947262
ACH-000260,-0.2935836124963287
ACH-000261,-0.4440250715639769
ACH-000262,-0.5643383312581579
ACH-000263,-0.3865292294343331
ACH-000264,-0.2480139111948905
ACH-000265,-0.2661015314874535
