,CNTF (1270)
ACH-000004,0.08369005286917741
ACH-000005,-0.14565645488174092
ACH-000007,0.21604927787393755
ACH-000009,0.20975048779728475
ACH-000011,0.04125602878500929
ACH-000012,-0.062448789723010274
ACH-000013,0.03083723762097753
ACH-000014,0.13878999610022333
ACH-000015,0.06172968313244085
ACH-000017,-0.10028452358191957
ACH-000018,-0.0125750061608195
ACH-000019,0.10745808017534972
ACH-000021,-0.07344779753462496
ACH-000022,-0.00260951379716268
ACH-000025,0.03222331117131267
ACH-000028,-0.06465198704637856
ACH-000030,-0.07007266821386292
ACH-000035,-0.14400734149007602
ACH-000036,-0.08200001067158809
ACH-000037,-0.10806978171899756
ACH-000039,-0.020781107213435325
ACH-000040,0.0018183757833370102
ACH-000041,0.028533593264088032
ACH-000042,-0.1029889206410982
ACH-000045,-0.07535451423170914
ACH-000047,0.017915791700627032
ACH-000052,-0.20619376899022696
ACH-000053,-0.0069392717194765845
ACH-000054,-0.15424208674323725
ACH-000055,0.2266661213786561
ACH-000060,-0.07362176270769542
ACH-000067,0.1139720714388743
ACH-000070,-0.01268958884281642
ACH-000075,-0.03089906040958514
ACH-000078,0.06598174374010385
ACH-000082,-0.11881625949376473
ACH-000085,-0.1148374804047655
ACH-000086,-0.15993557954506782
ACH-000087,-0.12900310853199434
ACH-000092,-0.08860301339127212
ACH-000095,-0.06224685424028119
ACH-000097,-0.060259085321131424
ACH-000098,-0.016618404692625117
ACH-000099,-0.007375713732746075
ACH-000108,-0.16894892459681576
ACH-000113,-0.1020654295415701
ACH-000116,-0.060855528708828835
ACH-000118,-0.17283315862193555
ACH-000120,-0.20375908668669945
ACH-000123,-0.10697139544528744
ACH-000127,0.018849442516042744
ACH-000128,0.07056748759380464
ACH-000132,-0.047538506606518684
ACH-000133,-0.08632234227175277
ACH-000137,-0.06387171375838589
ACH-000138,-0.14012156848806415
ACH-000142,0.01884406936080158
ACH-000143,0.026344455166499248
ACH-000146,0.06997188414189014
ACH-000148,-0.03214981643740586
ACH-000150,-0.10551104819932793
