,LURAP1 (541468)
ACH-000004,-0.4150213373755325
ACH-000005,-0.548271289520731
ACH-000007,-0.265095414014256
ACH-000009,-0.3900576934831633
ACH-000011,-0.17415534269886018
ACH-000012,-0.4508597780911797
ACH-000013,-0.3773566279903348
ACH-000014,-0.2547879978092846
ACH-000015,-0.2894424322839473
ACH-000017,-0.3655879243182685
ACH-000018,-0.4164422350967243
ACH-000019,-0.15529968365632954
ACH-000021,-0.4331674908011057
ACH-000022,-0.16685763626351965
ACH-000025,-0.33167349205874525
ACH-000028,-0.282859950007743
ACH-000030,-0.3992780012903772
ACH-000035,-0.35910404890299585
ACH-000036,-0.26574107524264723
ACH-000037,-0.2447581890133669
ACH-000039,-0.22474480346258935
ACH-000040,-0.3976695043293042
ACH-000041,-0.02546425630674281
ACH-000042,-0.1630326993435052
ACH-000045,-0.29592930715010674
ACH-000047,-0.3390653497711971
ACH-000052,-0.22297945142394726
ACH-000053,-0.29187663316643275
ACH-000054,-0.24866757758865926
ACH-000055,-0.2781715190109458
ACH-000060,-0.34190950179386304
ACH-000067,-0.3077717644602159
ACH-000070,-0.08163280151580513
ACH-000075,-0.36531849495827423
ACH-000078,-0.26317486676388563
ACH-000082,-0.34965895015820625
ACH-000085,-0.3851776990509753
ACH-000086,-0.3604498702322264
ACH-000087,-0.21346269382360575
ACH-000092,-0.550355155811165
ACH-000095,-0.2647442434541158
ACH-000097,-0.25475042207099285
ACH-000098,-0.3330009145766351
ACH-000099,-0.2984936780356429
ACH-000108,-0.2919657138867608
ACH-000113,-0.34138315325748697
ACH-000116,-0.3043811865253896
ACH-000118,-0.26296004040617105
ACH-000120,-0.351827423480066
ACH-000123,-0.4402288122441696
ACH-000127,-0.2990996556805296
ACH-000128,-0.4060155770219539
ACH-000132,-0.3100209076976839
ACH-000133,-0.22399542644613926
ACH-000137,-0.4333506355081665
ACH-000138,-0.20681709433581688
ACH-000142,-0.3392103506721939
ACH-000143,-0.16826065785061675
ACH-000146,-0.2799387709239074
ACH-000148,-0.31462709976891023
ACH-000150,-0.4155646977668509
ACH-000152,-0.4804671759927223
ACH-000153,-0.3722341892419168
ACH-000159,-0.32236117675312204
ACH-000160,-0.2818367085484877
ACH-000163,-0.10733542413896373
ACH-000167,-0.3596657472458151
ACH-000168,-0.4807684649275699
ACH-000169,-0.4327619333810259
ACH-000178,-0.3866540003973712
ACH-000183,-0.40884164307623255
ACH-000188,-0.4504471578085224
ACH-000189,-0.33907682588069216
ACH-000190,-0.41015235962088703
ACH-000198,-0.2151736281814924
ACH-000203,-0.2575512337603845
ACH-000204,-0.4709106762034195
ACH-000206,-0.2135624437469584
ACH-000207,-0.2970122000202486
ACH-000208,-0.5963981911375315
ACH-000210,-0.3360420339162143
ACH-000211,-0.12275856403224705
ACH-000215,-0.2770345231212688
ACH-000221,-0.4502881618145351
ACH-000222,-0.23530655932171834
ACH-000223,-0.2779777681584594
ACH-000226,-0.3619197019551629
ACH-000227,-0.115950223549943
ACH-000228,-0.3948894145236788
ACH-000231,-0.3449341600430549
ACH-000232,-0.22540848570620445
ACH-000233,-0.2800056978354152
ACH-000234,-0.24862272049559705
ACH-000235,-0.2474556850488392
ACH-000237,-0.3484370582341378
ACH-000238,-0.3962772714784063
ACH-000242,-0.3525245423627878
ACH-000243,-0.24452080295132214
ACH-000244,-0.222300513265428
ACH-000246,-0.3844979749779953
ACH-000248,-0.18424672598706066
ACH-000250,-0.2536511433085393
ACH-000251,-0.3462683054871692
ACH-000252,-0.01345631088999712
ACH-000253,-0.15954971332729398
ACH-000255,-0.2414517737451076
ACH-000256,-0.2337297352995778
ACH-000257,-0.10650994917883323
ACH-000258,-0.32799328318133564
ACH-000259,-0.2484398030520084
ACH-000260,-0.2634791638771469
ACH-000261,-0.319938350900031
ACH-000262,-0.4339688065742534
ACH-000263,-0.2395859398514157
ACH-000264,-0.2956116992540225
ACH-000265,-0.2263808059114355
ACH-000266,-0.15730903560645645
ACH-000272,-0.4202170202157871
ACH-000274,-0.35384825217570803
ACH-000277,-0.3559809854661473
ACH-000278,-0.4030419922328588
ACH-000279,-0.2995383594439582
ACH-000280,-0.2260581010048278
ACH-000281,-0.2379746878744303
ACH-000288,-0.3923170097334937
ACH-000291,-0.4104614259591977
ACH-000293,-0.25350860575554385
ACH-000294,-0.2310793341946389
ACH-000295,-0.15119102361795858
ACH-000296,-0.4776134776972322
ACH-000302,-0.2949744573363753
ACH-000304,-0.2583010352291273
ACH-000307,-0.27985956621767777
ACH-000308,-0.2519228446572848
ACH-000310,-0.26593081304216515
ACH-000311,-0.31709068603199275
ACH-000312,-0.2412017517952049
ACH-000315,-0.11861333285637585
ACH-000316,-0.2734048773929137
ACH-000317,-0.3232469248017078
ACH-000318,-0.2723854528780215
ACH-000319,-0.32689823302277354
ACH-000320,-0.30323730066668897
ACH-000322,-0.2395624784444192
ACH-000323,-0.3025429862441141
ACH-000324,-0.309041646357042
ACH-000329,-0.3110642553027571
ACH-000330,-0.3574732733994361
ACH-000331,-0.4434424225013064
