,HLA-A (3105)
ACH-000004,0.007297096963848799
ACH-000005,-0.14868351416995593
ACH-000007,-0.15251255126338034
ACH-000009,-0.1802935809737017
ACH-000011,-0.04428609088665587
ACH-000012,-0.17110783894637654
ACH-000013,-0.14903224607572574
ACH-000014,-0.09057898563128818
ACH-000015,-0.09367053975846247
ACH-000017,-0.3838755155518302
ACH-000018,-0.20300243559770528
ACH-000019,-0.12110073915479735
ACH-000021,-0.2240526012352778
ACH-000022,-0.16894984741974395
ACH-000025,-0.18913892291893886
ACH-000028,-0.29519409623144705
ACH-000030,-0.12603009276876964
ACH-000035,-0.2210374724676264
ACH-000036,-0.14513370177639898
ACH-000037,-0.19904038741205787
ACH-000039,-0.2375913183888628
ACH-000040,-0.2364568795690627
ACH-000041,-0.00764063592750047
ACH-000042,-0.21482392616593865
ACH-000045,-0.3544488999864969
ACH-000047,-0.18849927828739071
ACH-000052,-0.06199307006140858
ACH-000053,-0.2073032905758492
ACH-000054,-0.2676416106354891
ACH-000055,-0.16217478915063566
ACH-000060,-0.21858526422282415
ACH-000067,-0.247742027575536
ACH-000070,-0.14980827317378434
ACH-000075,-0.1873709108795713
ACH-000078,-0.3962006291685161
ACH-000082,-0.2590870710300848
ACH-000085,-0.1751262157110546
ACH-000086,-0.09473043830008493
ACH-000087,-0.0078046518209895785
ACH-000092,-0.16717319264970065
ACH-000095,-0.26957857282352743
ACH-000097,-0.28037793605227346
ACH-000098,-0.203708213140558
ACH-000099,-0.3019455409651022
ACH-000108,-0.07209042401315706
ACH-000113,-0.4809105371764297
ACH-000116,-0.1826360997581993
ACH-000118,-0.12269515764009202
ACH-000120,0.03923859417529876
ACH-000123,-0.1297032559760164
ACH-000127,-0.44478862100889904
ACH-000128,-0.3373476267003666
ACH-000132,-0.2440882991518116
ACH-000133,-0.2238427975693429
ACH-000137,-0.15960646543026913
ACH-000138,-0.4050484490256796
ACH-000142,-0.093795114512127
ACH-000143,-0.2669885412534377
ACH-000146,-0.2309310329719903
ACH-000148,-0.034983177875664344
ACH-000150,-0.3056710891105789
ACH-000152,-0.2368846379989523
ACH-000153,-0.2862294292793953
ACH-000159,-0.08820342223690504
ACH-000160,-0.15534166142971767
ACH-000163,-0.2276266051889785
ACH-000167,-0.6536823420185629
ACH-000168,-0.17378030375439313
ACH-000169,-0.3299337819160987
ACH-000178,-0.1939327488085488
ACH-000183,-0.1097688878976372
ACH-000188,-0.2635970612922631
ACH-000189,-0.2933765323634203
ACH-000190,-0.20210856553832712
ACH-000198,-0.252965479259731
ACH-000203,-0.15326050173064787
ACH-000204,-0.5355947645283697
ACH-000206,-0.664557058451947
ACH-000207,-0.4161343723674424
ACH-000208,0.021101182192302108
ACH-000210,-0.3424237311513983
ACH-000211,-0.2402109213333921
ACH-000215,-0.23021739773954256
ACH-000221,-0.1569889180990848
ACH-000222,-0.2827180031816965
ACH-000223,-0.09952440535345264
ACH-000226,-0.06548360066601046
ACH-000227,-0.22675766182891055
ACH-000228,-0.18421110670472174
ACH-000231,-0.25762445796756583
ACH-000232,-0.1132784874618562
ACH-000233,-0.41918401748069867
ACH-000234,-0.40269518918180425
ACH-000235,-0.14380851535585007
ACH-000237,-0.23825890633820496
ACH-000238,-0.12189519577455026
ACH-000242,-0.3011016381941693
ACH-000243,-0.21788907302789373
ACH-000244,-0.17023385712194222
ACH-000246,-0.14842158086443796
ACH-000248,-0.29738345664081656
ACH-000250,-0.07983072754142141
ACH-000251,-0.17614163844867473
ACH-000252,-0.20949308301230607
ACH-000253,-0.28715975803080457
ACH-000255,-0.07800654041263037
ACH-000256,-0.2390110343575459
ACH-000257,-0.023816516649421027
ACH-000258,-0.047026116336931684
ACH-000259,-0.16228671406800538
ACH-000260,-0.1057424526919771
ACH-000261,-0.20476610803082226
ACH-000262,-0.23582150170116814
ACH-000263,-0.3083143069175792
ACH-000264,-0.21120832837250467
ACH-000265,-0.11822021020247506
ACH-000266,-0.2691702233107484
ACH-000272,-0.2277784947650384
ACH-000274,-0.06101131260202949
ACH-000277,-0.10538212192970917
ACH-000278,-0.2288444844633539
ACH-000279,-0.3955352518742416
ACH-000280,-0.29224054005022343
ACH-000281,-0.18093325326438064
ACH-000288,-0.2344482413953384
ACH-000291,-0.19872448876584148
ACH-000293,-0.2280769976348177
ACH-000294,-0.2005243846318621
ACH-000295,-0.415461696783788
ACH-000296,-0.09512948897486803
ACH-000302,-0.1617578925450538
ACH-000304,-0.08770339408850263
ACH-000307,-0.10483012469921844
ACH-000308,-0.10913463878697037
ACH-000310,-0.2433784996091905
ACH-000311,-0.2848257177276477
ACH-000312,-0.2882068834296219
ACH-000315,-0.23763617280205301
ACH-000316,-0.3225593982732532
ACH-000317,-0.017170973221859426
ACH-000318,-0.08103319538720848
ACH-000319,-0.16845752807371325
ACH-000320,-0.2562785518396562
ACH-000322,0.027944838740739854
ACH-000323,-0.15013728702198506
ACH-000324,-0.3281128768982946
ACH-000329,-0.26732144908995226
ACH-000330,-0.056594696720605527
ACH-000331,-0.12344966631188264
ACH-000332,-0.17319741388120968
ACH-000334,-0.20458481594490813
ACH-000335,-0.3674306469430782
ACH-000336,-0.2334783991395727
ACH-000337,-0.326466797603066
ACH-000338,-0.1818847904779829
ACH-000339,-0.2265837356891891
ACH-000341,-0.2848522112730376
ACH-000348,-0.28480123279506914
ACH-000350,-0.1622914558888882
ACH-000352,-0.23180460899030075
ACH-000356,-0.08294844429968527
