,ATP5G2 (517)
ACH-000004,-0.17280423999031538
ACH-000005,0.029446854868151764
ACH-000007,-0.02278348724072572
ACH-000009,-0.2619497097720948
ACH-000011,-0.06511851805460038
ACH-000012,-0.0676885103021694
ACH-000013,-0.2633981673345381
ACH-000014,-0.22671563203334075
ACH-000015,-0.136866150216152
ACH-000017,-0.15866647893951644
ACH-000018,-0.24604917065161386
ACH-000019,-0.23578333141874436
ACH-000021,-0.07282845809542146
ACH-000022,-0.11267510410883888
ACH-000025,-0.3045701471025657
ACH-000028,-0.2392178886727544
ACH-000030,-0.17047134687074095
ACH-000035,-0.18856928438245635
ACH-000036,-0.14887427543404935
ACH-000037,-0.28051942960951226
ACH-000039,-0.3046202744703114
ACH-000040,-0.3909705131319745
ACH-000041,-0.23778092078322935
ACH-000042,-0.10710684845580168
ACH-000045,-0.10388071387555986
ACH-000047,-0.0857256548920475
ACH-000052,-0.2395767320160693
ACH-000053,-0.1335011976609453
ACH-000054,-0.1608726475642373
ACH-000055,-0.4789855649973698
ACH-000060,-0.17230045691127058
ACH-000067,-0.4435561753596599
ACH-000070,-0.17832741771282434
ACH-000075,-0.2491243421247224
ACH-000078,-0.3711572382795792
ACH-000082,-0.18108953414473625
ACH-000085,-0.3559207218422512
ACH-000086,-0.3446285953534929
ACH-000087,-0.23676424109494
ACH-000092,-0.2026110270195565
ACH-000095,-0.2255113708578968
ACH-000097,-0.21533133114185335
ACH-000098,-0.13951777673077084
ACH-000099,-0.07276509933953856
ACH-000108,-0.0357212491968964
ACH-000113,-0.06185409901968271
ACH-000116,-0.1775131752799749
ACH-000118,-0.1999485017523554
ACH-000120,-0.05403034381190887
ACH-000123,-0.1809973273923456
ACH-000127,-0.19831855593176367
ACH-000128,-0.20410811084510452
ACH-000132,-0.0860203968085865
ACH-000133,-0.3026725297405767
ACH-000137,-0.2253651324848144
ACH-000138,-0.06472273419829062
ACH-000142,-0.1982843565215288
ACH-000143,-0.2416674778811437
ACH-000146,-0.2109740021371722
ACH-000148,-0.18350538261430374
ACH-000150,-0.04424257628257014
ACH-000152,-0.2683849111154104
ACH-000153,-0.2378699902685425
ACH-000159,-0.1940532436009239
ACH-000160,-0.22429806462729668
ACH-000163,-0.21744726963284308
ACH-000167,-0.13290933529802273
ACH-000168,-0.2461394054946575
ACH-000169,-0.17702223970765393
ACH-000178,-0.06115407188244911
ACH-000183,-0.23899836986328346
ACH-000188,-0.14209078938573114
ACH-000189,-0.4966460784408414
ACH-000190,-0.07397372714205214
ACH-000198,-0.08086295150265177
ACH-000203,0.1783644123765301
ACH-000204,-0.1191667911707891
ACH-000206,-0.2603758066375196
ACH-000207,-0.14752045537443753
ACH-000208,0.12425449979077467
ACH-000210,-0.27787757575400296
ACH-000211,-0.10528766790406807
ACH-000215,-0.2177836000848221
ACH-000221,-0.16530667544385494
ACH-000222,-0.19991520904327584
ACH-000223,-0.23311288021820875
ACH-000226,-0.3432072796120177
ACH-000227,-0.32703525221462576
ACH-000228,-0.20622130932504076
ACH-000231,-0.21445429545289868
ACH-000232,-0.2991553758725511
ACH-000233,-0.08612310499871251
ACH-000234,-0.21716955339458344
ACH-000235,-0.1841002958985057
ACH-000237,-0.17995412289064713
ACH-000238,-0.1268728866633074
ACH-000242,-0.2458287733968998
ACH-000243,-0.1154865314277458
ACH-000244,-0.4086036291873063
ACH-000246,-0.1250851038701935
ACH-000248,-0.2296815697571205
ACH-000250,-0.1445735423213119
ACH-000251,-0.3033094767016453
ACH-000252,-0.2734671034410602
ACH-000253,-0.1969482206816633
ACH-000255,-0.3144909328320684
ACH-000256,-0.26351282780468777
ACH-000257,-0.10657352738589837
ACH-000258,-0.2536355652597572
ACH-000259,-0.13935675268805173
ACH-000260,-0.18462294652325614
ACH-000261,-0.27871355308090184
ACH-000262,-0.13169671036442446
ACH-000263,-0.3055130349679446
ACH-000264,-0.21940595303339314
ACH-000265,-0.06484901640244811
ACH-000266,-0.1399591146253669
ACH-000272,-0.19883010586397085
ACH-000274,-0.2314833731088681
ACH-000277,-0.08740391251904167
ACH-000278,-0.20445653672447175
ACH-000279,-0.2587361124069382
ACH-000280,-0.12796188913010942
ACH-000281,-0.2239437188837056
ACH-000288,-0.22670199684922435
ACH-000291,-0.0353986958008948
ACH-000293,-0.06109670338624565
ACH-000294,-0.14148496172136646
ACH-000295,-0.1737128303004052
ACH-000296,-0.14051943512532514
ACH-000302,-0.20221408802052204
ACH-000304,0.009142574038442396
ACH-000307,-0.1750602664219765
ACH-000308,-0.15077249094198014
ACH-000310,-0.0934030022941729
ACH-000311,-0.1141586471583836
ACH-000312,-0.07837400609666509
ACH-000315,0.034701503258518916
ACH-000316,-0.21525701356959168
ACH-000317,-0.03886601089400644
ACH-000318,-0.27945367022808504
ACH-000319,-0.17345863073919288
ACH-000320,-0.02094476544913669
ACH-000322,-0.2934812791574043
ACH-000323,-0.17496300731313438
ACH-000324,-0.1292402337837859
ACH-000329,-0.30114464305855104
ACH-000330,0.03198716204017511
