,EFTUD1 (79631)
ACH-000004,-0.6074443486406583
ACH-000005,-0.7157765198150171
ACH-000007,-0.5884108970393892
ACH-000009,-0.8271530852015706
ACH-000011,-0.5613749401877511
ACH-000012,-0.9406664232888068
ACH-000013,-0.7768680666104979
ACH-000014,-0.6665783436542239
ACH-000015,-0.6100988662174199
ACH-000017,-0.6258268112030753
ACH-000018,-0.8584778454313317
ACH-000019,-0.4964484363195811
ACH-000021,-0.5510661835613591
ACH-000022,-0.5551534820303926
ACH-000025,-0.7518698013870991
ACH-000028,-0.3577915641770045
ACH-000030,-0.8021325916159308
ACH-000035,-0.6599222428468478
ACH-000036,-0.5156576185207522
ACH-000037,-0.8603730265070507
ACH-000039,-0.6136291957895652
ACH-000040,-0.8547102234796654
ACH-000041,-0.25185215663307553
ACH-000042,-0.714604410160729
ACH-000045,-0.5424172079585194
ACH-000047,-0.6960856468262656
ACH-000052,-0.6797574142551367
ACH-000053,-0.6336215766685203
ACH-000054,-0.8122679782835205
ACH-000055,-0.7780408187262513
ACH-000060,-0.7674793987439824
ACH-000067,-0.9504194498281808
ACH-000070,-0.6954465804721911
ACH-000075,-0.8363698490206144
ACH-000078,-0.6825311514557729
ACH-000082,-0.6440664933496401
ACH-000085,-0.8157592134961495
ACH-000086,-0.7954476314834649
ACH-000087,-0.9758332348126354
ACH-000092,-0.7222332214985846
ACH-000095,-0.6889396335427298
ACH-000097,-0.838103713867479
ACH-000098,-0.613665840125021
ACH-000099,-0.828910332395087
ACH-000108,-0.7511714081918552
ACH-000113,-0.481053720039259
ACH-000116,-0.8016686676924127
ACH-000118,-0.8444371586969994
ACH-000120,-0.8733448191779015
ACH-000123,-0.6478101508441919
ACH-000127,-0.6734437834207749
ACH-000128,-0.8449839230363413
ACH-000132,-0.9354741872532468
ACH-000133,-0.6567587127236614
ACH-000137,-0.8476712474138675
ACH-000138,-0.7211462047807767
ACH-000142,-0.7308751989397085
ACH-000143,-0.5135637605981717
ACH-000146,-0.3556665324051689
ACH-000148,-0.574338267520181
ACH-000150,-0.9619254288001936
ACH-000152,-0.7242288001624125
ACH-000153,-0.9081843701005902
ACH-000159,-0.5528157966960029
ACH-000160,-0.9107446433798494
ACH-000163,-0.7680153436756455
ACH-000167,-1.4717866517916942
ACH-000168,-0.5929567798660037
ACH-000169,-0.6531152655482031
ACH-000178,-0.6848492462189065
ACH-000183,-0.6630575109856979
ACH-000188,-0.530680223752172
ACH-000189,-0.7028489696414166
ACH-000190,-0.7124952635582871
ACH-000198,-0.7004030424309239
