,KDR (3791)
ACH-000004,-0.08710067195054452
ACH-000005,-0.05676476385588754
ACH-000007,-0.09771820370032204
ACH-000009,-0.1048477838079526
ACH-000011,-0.040593732044271774
ACH-000012,-0.1553881161149294
ACH-000013,0.010018789201399151
ACH-000014,-0.050910693186389744
ACH-000015,-0.1472763026829924
ACH-000017,-0.18650672783834152
ACH-000018,-0.13609459985339178
ACH-000019,-0.2739049392921421
ACH-000021,-0.1751783818625703
ACH-000022,-0.286149105822026
ACH-000025,-0.23716060564591615
ACH-000028,-0.08238445240655133
ACH-000030,-0.15965812406754562
ACH-000035,-0.21375706793238936
ACH-000036,-0.0702141509949269
ACH-000037,-0.3126865860840211
ACH-000039,-0.20068946971386306
ACH-000040,0.11044028508486316
ACH-000041,-0.12071547594869575
ACH-000042,-0.13571212338850205
ACH-000045,-0.03864755723141507
ACH-000047,-0.09990027619774952
ACH-000052,0.3288055612440033
ACH-000053,-0.1776358456809214
ACH-000054,-0.012006196092615141
ACH-000055,-0.1636062806114887
ACH-000060,-0.24086464875239616
ACH-000067,-0.11328442650059048
ACH-000070,-0.20134239447313448
ACH-000075,-0.10738175269694268
ACH-000078,-0.12033359127174716
ACH-000082,-0.08796048943534487
ACH-000085,0.007325360013262559
ACH-000086,-0.16692020236793906
ACH-000087,-0.1045446701969844
ACH-000092,-0.12369103834801805
ACH-000095,-0.08882373593029304
ACH-000097,-0.13270135339590142
ACH-000098,-0.10965484628652787
ACH-000099,-0.01794531797642906
ACH-000108,-0.1149812077030146
ACH-000113,-0.1117078177726782
ACH-000116,-0.19162985270528912
ACH-000118,-0.10785205056480293
ACH-000120,-0.030356760977483577
ACH-000123,-0.07126906812571357
ACH-000127,-0.16512349451878636
ACH-000128,-0.07079372216611353
ACH-000132,-0.03733046973635379
ACH-000133,0.02440589869026022
ACH-000137,-0.08976961974811627
ACH-000138,0.00181048903818249
ACH-000142,-0.1221711265571314
ACH-000143,0.01100308966939037
ACH-000146,-0.1573797386435859
ACH-000148,-0.21632379644043973
ACH-000150,-0.025634967663965683
ACH-000152,-0.06458230533225849
ACH-000153,-0.33338831416293324
ACH-000159,-0.06714733246293618
ACH-000160,-0.17487182914137306
ACH-000163,-0.22762847189554025
ACH-000167,-0.06902514667398632
ACH-000168,-0.2514698364860709
ACH-000169,-0.01313598916825962
ACH-000178,-0.08970318556298906
ACH-000183,-0.18423363423661426
ACH-000188,-0.12185320273935403
ACH-000189,-0.0983606177029089
ACH-000190,-0.09065575903548262
ACH-000198,-0.06021199433947426
ACH-000203,-0.1186883581057172
ACH-000204,-0.0747309158686325
ACH-000206,-0.2344435772820775
ACH-000207,-0.055419486070357016
ACH-000208,-0.08452076304130142
ACH-000210,-0.16039231193976247
ACH-000211,-0.13834134195591322
ACH-000215,-0.3692938541773473
ACH-000221,-0.1329077232637733
ACH-000222,-0.26410487453885545
ACH-000223,-0.12042419307860265
