,MACROD1 (28992)
ACH-000004,-0.02758334320294197
ACH-000005,-0.20387190764557014
ACH-000007,-0.2516607686230445
ACH-000009,-0.0912481129200136
ACH-000011,-0.2365368340007369
ACH-000012,-0.3349310586333685
ACH-000013,-0.12977895634290107
ACH-000014,0.2706497407085071
ACH-000015,-0.0453261107579994
ACH-000017,-0.0934083386583396
ACH-000018,0.05283328983891514
ACH-000019,-0.19926741369141607
ACH-000021,-0.1682454441738361
ACH-000022,0.003306588433281461
ACH-000025,0.0007008672752580772
ACH-000028,-0.11994245036252618
ACH-000030,-0.1843390357145874
ACH-000035,0.04308016039419218
ACH-000036,-0.1437167868739187
ACH-000037,-0.3200189423609944
ACH-000039,-0.2929256021991911
ACH-000040,-0.17209317516849018
ACH-000041,-0.027353750116769743
ACH-000042,-0.18933182161595732
ACH-000045,-0.11282903114199283
ACH-000047,-0.015633391352430918
ACH-000052,-0.0685015456041037
ACH-000053,-0.21241841642896125
ACH-000054,0.003968876687287321
ACH-000055,-0.08317858107134711
ACH-000060,-0.057205968963201535
ACH-000067,0.0024651030742948317
ACH-000070,-0.16610706449191606
ACH-000075,-0.1020667068478323
ACH-000078,-0.09193208192021908
ACH-000082,-0.2165268952855321
ACH-000085,-0.04904078647867187
ACH-000086,-0.3652100989764013
ACH-000087,-0.04556703851456755
ACH-000092,-0.057362009733790215
ACH-000095,-0.20351347661842997
ACH-000097,-0.06849342322566765
ACH-000098,-0.18183063346319084
ACH-000099,-0.17610108127842491
ACH-000108,-0.18242329489282874
ACH-000113,-0.12178786692705447
ACH-000116,-0.3464811235811365
ACH-000118,-0.12530592729570794
ACH-000120,-0.220436455855032
ACH-000123,-0.1207796426161678
ACH-000127,-0.021099147161999763
ACH-000128,-0.0679619359031517
ACH-000132,-0.20174309691898612
ACH-000133,-0.227466607423332
ACH-000137,-0.09463505700884092
ACH-000138,-0.2233518266973438
ACH-000142,-0.08059813997586951
ACH-000143,-0.0998677946129673
ACH-000146,-0.11569322475463385
ACH-000148,-0.1684224649901312
ACH-000150,-0.22027904218860853
ACH-000152,-0.04065205393813608
ACH-000153,-0.3641259498398407
ACH-000159,-0.04705698684104728
ACH-000160,-0.10342003772491587
ACH-000163,-0.25161867756813144
ACH-000167,-0.2181184610320516
ACH-000168,-0.10863636538334882
ACH-000169,-0.2522114862196281
ACH-000178,-0.15181621852494262
ACH-000183,-0.17808324006010767
ACH-000188,-0.22631444936570794
ACH-000189,-0.5070717575231353
ACH-000190,-0.3341172858828645
ACH-000198,-0.0352392253096543
ACH-000203,-0.417180202962838
ACH-000204,-0.30007734158481497
ACH-000206,0.11886143372869998
ACH-000207,-0.12208983599050233
ACH-000208,-0.2548686133041504
ACH-000210,-0.2077094631429527
ACH-000211,-0.1479219751532124
ACH-000215,-0.060058049137367925
ACH-000221,-0.006958809255431245
ACH-000222,-0.006926421522613944
ACH-000223,-0.2066773139533533
ACH-000226,-0.09664442878329366
ACH-000227,-0.1564339372651644
ACH-000228,-0.33305681570267803
ACH-000231,-0.1671902532902276
ACH-000232,-0.1266613034766589
ACH-000233,-0.17918340281945397
ACH-000234,-0.15195126737422254
ACH-000235,-0.1316770544246515
ACH-000237,-0.22664457728749496
ACH-000238,-0.2292971830381994
ACH-000242,-0.5197810943330724
ACH-000243,-0.14852520801938174
ACH-000244,-0.34521910388319765
ACH-000246,-0.16128242407288815
ACH-000248,-0.006908906859292065
ACH-000250,-0.2233207679517531
ACH-000251,-0.3110516105228441
ACH-000252,-0.21725940834372606
ACH-000253,-0.1199072582558716
ACH-000255,-0.0270022323754113
ACH-000256,-0.2646204919598017
ACH-000257,0.09230344044261417
ACH-000258,-0.03863463747637273
ACH-000259,-0.17637421105560544
ACH-000260,-0.08237139207976908
ACH-000261,-0.21450688058074047
ACH-000262,-0.07525075305953742
