,ABCF2 (10061)
ACH-000004,0.12064736739159605
ACH-000005,0.012626111992999685
ACH-000007,-0.4284001744432783
ACH-000009,-0.2121835989409604
ACH-000011,0.03851256774419171
ACH-000012,-0.11341210087145576
ACH-000013,-0.021722493308747644
ACH-000014,-0.26281004170602706
ACH-000015,-0.08981294075517758
ACH-000017,-0.288342207826607
ACH-000018,-0.2440678282124621
ACH-000019,0.003277987510273109
ACH-000021,-0.14397280737233215
ACH-000022,-0.0993913772570796
ACH-000025,-0.09458546041218184
ACH-000028,-0.090949250703
ACH-000030,-0.13758394321238684
ACH-000035,-0.2349651322054376
ACH-000036,-0.2000527668721212
ACH-000037,-0.16700326421246545
ACH-000039,-0.14481604143843185
ACH-000040,-0.2057080314346369
ACH-000041,-0.26282472742485696
ACH-000042,-0.04171446080257685
ACH-000045,-0.07489216858745239
ACH-000047,-0.2649354930970956
ACH-000052,-0.28088443661250795
ACH-000053,-0.15312848022750036
ACH-000054,-0.09973997515007543
ACH-000055,-0.2306488695137681
ACH-000060,-0.09922089241041893
ACH-000067,-0.20099745014769665
ACH-000070,-0.34886268556504485
ACH-000075,-0.1521748728835831
ACH-000078,-0.28398636115706016
ACH-000082,-0.16186729678320913
ACH-000085,0.059133769933012864
ACH-000086,0.009704353782157487
ACH-000087,-0.10051132956427954
ACH-000092,-0.2220971764960364
ACH-000095,-0.15132170633039224
ACH-000097,-0.2512448479678341
ACH-000098,-0.2640966034629597
ACH-000099,-0.3175752899437843
ACH-000108,-0.16813168085842708
ACH-000113,-0.2407521898596923
ACH-000116,-0.17366147155341016
ACH-000118,-0.18754050785315585
ACH-000120,-0.02143581189221438
ACH-000123,-0.1842702895774425
ACH-000127,-0.390903366594284
ACH-000128,-0.15636494526530256
ACH-000132,-0.09741800397034957
ACH-000133,-0.1676433426015856
ACH-000137,-0.18517113837032276
ACH-000138,-0.2806954980205785
ACH-000142,-0.1643958889012553
ACH-000143,-0.3760182014606784
ACH-000146,-0.16231236395591514
ACH-000148,-0.036943806563136936
ACH-000150,0.03631055185454169
ACH-000152,-0.2189424808835102
ACH-000153,-0.14402509892890442
ACH-000159,-0.20462798480522684
ACH-000160,0.0222631818670936
ACH-000163,-0.1076259569218804
ACH-000167,-0.21297524665878687
ACH-000168,0.0841496868741779
ACH-000169,-0.1292091035614461
ACH-000178,-0.2460432817931349
ACH-000183,-0.2116952485638275
ACH-000188,-0.08527119002610135
ACH-000189,-0.12562167089233425
ACH-000190,-0.2203555905006873
ACH-000198,-0.23097924668493086
ACH-000203,0.1163648464470048
ACH-000204,-0.015043851500419175
ACH-000206,0.0997223528485669
ACH-000207,-0.10449751952873698
ACH-000208,-0.2723853857311347
ACH-000210,0.1802526350056004
ACH-000211,-0.055001225396086
ACH-000215,-0.14588629297864786
ACH-000221,0.02999673219916701
ACH-000222,-0.20396825134424335
ACH-000223,-0.10355437218324062
ACH-000226,-0.1220355124795864
ACH-000227,-0.1689979799431239
ACH-000228,-0.07390208016506368
ACH-000231,-0.12312048824620166
ACH-000232,-0.2181166290723062
ACH-000233,-0.12589882791690488
ACH-000234,-0.1844712972255408
ACH-000235,-0.12871616869034125
ACH-000237,-0.13081560935726974
ACH-000238,-0.0956781872280904
ACH-000242,-0.0015487307732778464
ACH-000243,-0.06581708268041479
