,HIST1H2AH (85235)
ACH-000004,-0.0907309642458772
ACH-000005,-0.4339867304148793
ACH-000007,-0.3556236067204521
ACH-000009,-0.1285948915901837
ACH-000011,-0.3288739898973552
ACH-000012,-0.15855573966053782
ACH-000013,-0.16491228647636733
ACH-000014,-0.2333875709067169
ACH-000015,-0.09864100243396356
ACH-000017,-0.4261137249182537
ACH-000018,-0.04161173803275957
ACH-000019,-0.2578107565203767
ACH-000021,-0.10611431123528207
ACH-000022,-0.22697574966162715
ACH-000025,-0.15752678574524676
ACH-000028,-0.11216997267428733
ACH-000030,-0.22324142556552848
ACH-000035,-0.13287369938753515
ACH-000036,-0.1388259008529131
ACH-000037,-0.0879938688662095
ACH-000039,-0.08867349361475238
ACH-000040,-0.249943231475452
ACH-000041,-0.12181999484514065
ACH-000042,-0.1857357251802817
ACH-000045,-0.38304192019545386
ACH-000047,-0.2748167838591689
ACH-000052,-0.3493199303142361
ACH-000053,-0.19270051174122005
ACH-000054,-0.08793737373334214
ACH-000055,-0.2255896225855764
ACH-000060,-0.06885569770049088
ACH-000067,-0.2572590798191073
ACH-000070,-0.08218283056842733
ACH-000075,-0.2227669210453061
ACH-000078,-0.21506100329255065
ACH-000082,-0.1671224157814801
ACH-000085,-0.42312389830609415
ACH-000086,-0.038701930821282635
ACH-000087,-0.20561395284317485
ACH-000092,-0.18129621168528254
ACH-000095,-0.18222602251814046
ACH-000097,-0.2611328014188213
ACH-000098,-0.2479199895666727
ACH-000099,-0.13044301191851948
ACH-000108,-0.1596958686574801
ACH-000113,-0.1640012002600132
ACH-000116,-0.19709643306623287
ACH-000118,-0.30258849619009776
ACH-000120,-0.1933457688111772
ACH-000123,-0.19399197159522366
ACH-000127,-0.1852902918942873
ACH-000128,0.013382116628335407
ACH-000132,-0.3215357027902464
ACH-000133,-0.06471990443051998
ACH-000137,-0.3981386243244456
ACH-000138,-0.40174782421336014
ACH-000142,-0.20573657093616
ACH-000143,-0.35240546485169105
ACH-000146,-0.06788413245384085
ACH-000148,-0.0893343540108409
ACH-000150,-0.2529211871244429
ACH-000152,-0.3277841735554797
ACH-000153,-0.2817112390441116
ACH-000159,-0.19770099916727032
ACH-000160,-0.2272099310888165
ACH-000163,-0.10808519609812514
ACH-000167,-0.06885981153779762
ACH-000168,-0.1668613595147035
ACH-000169,-0.32831713143796565
ACH-000178,-0.15535796021351586
ACH-000183,0.05619105932379119
ACH-000188,-0.1438100717221364
ACH-000189,-0.4252960062417568
ACH-000190,-0.145466151785214
ACH-000198,-0.23924398643324785
ACH-000203,0.36689510227381306
ACH-000204,-0.12728624129305546
ACH-000206,-0.324840205863382
ACH-000207,-0.3061024581863601
