,MUS81 (80198)
ACH-000004,-0.17264045854821203
ACH-000005,-0.4321059867914072
ACH-000007,-0.27638936562476285
ACH-000009,-0.14328530202800668
ACH-000011,-0.22403997633973535
ACH-000012,-0.4093988074341268
ACH-000013,-0.20689737536925326
ACH-000014,-0.21909656000804487
ACH-000015,-0.1442006678375484
ACH-000017,-0.2743127799775916
ACH-000018,-0.196294751730474
ACH-000019,-0.21053431814174148
ACH-000021,-0.2609389756132305
ACH-000022,-0.2932484696243124
ACH-000025,-0.21448140642852992
ACH-000028,-0.476141752485006
ACH-000030,-0.20661695768921776
ACH-000035,-0.271297634229443
ACH-000036,-0.4848403675271533
ACH-000037,-0.3891747694936923
ACH-000039,-0.49850851038944605
ACH-000040,-0.30679576922837426
ACH-000041,-0.2850100096198808
ACH-000042,-0.2988356495487035
ACH-000045,-0.5220475237152512
ACH-000047,-0.3293048033918955
ACH-000052,-0.060089667976761366
ACH-000053,-0.6756193573920088
ACH-000054,-0.2541149681636035
ACH-000055,-0.18144466758896688
ACH-000060,-0.1837192615754541
ACH-000067,-0.4249049003296729
ACH-000070,-0.3168132595940943
ACH-000075,-0.4762504112940145
ACH-000078,-0.3228525575548503
ACH-000082,-0.4486207946723912
ACH-000085,-0.2874482368233025
ACH-000086,-0.5478613831193024
ACH-000087,-0.2534394526725454
ACH-000092,-0.2447681051803403
ACH-000095,-0.1432028415331514
ACH-000097,-0.3390702575231596
ACH-000098,-0.2507843835660077
ACH-000099,-0.30509898445933875
ACH-000108,-0.3312887748677231
ACH-000113,-0.5033412073788366
ACH-000116,-0.4421275379878394
ACH-000118,-0.4601784731781671
ACH-000120,-0.4141769779249795
ACH-000123,-0.232665896627213
ACH-000127,-0.11035269232211617
ACH-000128,-0.12417874966121277
ACH-000132,-0.35744412363370964
ACH-000133,-0.2588579691353257
ACH-000137,-0.38714715637345787
ACH-000138,-0.40836445010408096
ACH-000142,-0.2131193791151825
ACH-000143,-0.0788465700455525
ACH-000146,-0.23701597925945364
ACH-000148,-0.2929273225194988
ACH-000150,-0.4962145470950003
ACH-000152,-0.2792096541333504
ACH-000153,-0.5258764952043479
ACH-000159,-0.242213997512923
ACH-000160,-0.3047737458904783
ACH-000163,-0.5200273148032556
ACH-000167,-0.1391847775154283
ACH-000168,-0.4699975685338786
ACH-000169,-0.23353904536198414
ACH-000178,-0.4626239665291616
ACH-000183,-0.28408138127356863
ACH-000188,-0.3683789314932876
ACH-000189,-0.4463548250597969
ACH-000190,-0.38360646714067104
ACH-000198,-0.4817653199059538
ACH-000203,-0.28467643341357984
ACH-000204,-0.3603048201866393
ACH-000206,-0.25420858327403023
ACH-000207,-0.4045824759277159
ACH-000208,-0.3769622239474605
ACH-000210,-0.4119869926916405
ACH-000211,-0.2847202298649522
ACH-000215,-0.3440278112132648
ACH-000221,-0.2019945940800132
ACH-000222,-0.19112903076788296
ACH-000223,-0.4449624347775625
ACH-000226,-0.31447409947420896
ACH-000227,-0.1381320298701906
ACH-000228,-0.5700990174663528
ACH-000231,-0.2885461991971617
ACH-000232,-0.2839872035432028
ACH-000233,-0.3597783167830831
ACH-000234,-0.12959157942412133
ACH-000235,-0.2556308597802793
ACH-000237,-0.33322612773229016
ACH-000238,-0.3474948358751215
ACH-000242,-0.4822612041947634
ACH-000243,-0.2429169778244345
ACH-000244,-0.31956109014507106
ACH-000246,-0.3598646146947728
ACH-000248,-0.21591247904080813
ACH-000250,-0.2218912634448853
ACH-000251,-0.3738419955811348
ACH-000252,-0.18859457118782866
ACH-000253,-0.22421410609385126
ACH-000255,-0.4038651584797521
ACH-000256,-0.3664607941035807
ACH-000257,-0.41141643041477294
ACH-000258,-0.18663947348589066
ACH-000259,-0.3214639043646195
ACH-000260,-0.2469581680814544
ACH-000261,-0.3476102887998505
ACH-000262,-0.4180281655706119
ACH-000263,-0.04490530165407529
ACH-000264,-0.28836285355850905
ACH-000265,-0.27706567964970497
ACH-000266,-0.35797746250850737
ACH-000272,-0.2144917340898196
ACH-000274,-0.2025845221037412
