,OST4 (100128731)
ACH-000004,-0.20906614550330746
ACH-000005,-0.40270410270803575
ACH-000007,-0.7015015220895622
ACH-000009,-0.29893130257927913
ACH-000011,-0.5626112280081408
ACH-000012,-0.13668097702281962
ACH-000013,-0.23644935393473515
ACH-000014,-0.4099975998499709
ACH-000015,-0.37725783142118186
ACH-000017,-0.3380950436605961
ACH-000018,-0.4157396006502094
ACH-000019,-0.2413198162124313
ACH-000021,-0.08199928362354883
ACH-000022,-0.5407570323820294
ACH-000025,-0.5435293666153131
ACH-000028,-0.4691611466128328
ACH-000030,-0.3409387532984901
ACH-000035,-0.056391076712422425
ACH-000036,-0.5383108587944075
ACH-000037,-0.26399207646118594
ACH-000039,-0.4325100818548717
ACH-000040,-0.2256143779582657
ACH-000041,-0.3072691055621388
ACH-000042,-0.4092496505097808
ACH-000045,-0.061328466995074986
ACH-000047,-0.21747395340332795
ACH-000052,-0.6326003294673561
ACH-000053,-0.2352596985023184
ACH-000054,-0.4289476101457141
ACH-000055,-0.2648425383163497
ACH-000060,-0.4434280098309968
ACH-000067,-0.13065715441168393
ACH-000070,-0.014376927925593306
ACH-000075,-0.2455019344133889
ACH-000078,-0.2594116906864503
ACH-000082,-0.35175139167851244
ACH-000085,-0.3889800726482937
ACH-000086,-0.2900490047734426
ACH-000087,-0.45573993735377505
ACH-000092,-0.33679979716725805
ACH-000095,-0.22481465833698802
ACH-000097,-0.19128372119224693
ACH-000098,-0.3359608006566135
ACH-000099,-0.4327574039735296
ACH-000108,-0.5869561907276014
ACH-000113,-0.3475847052096939
ACH-000116,-0.2892727594278487
ACH-000118,-0.7533041535260038
ACH-000120,-0.43805210663342015
ACH-000123,-0.35114423483529084
ACH-000127,-0.453586509911035
ACH-000128,-0.4042625455190301
ACH-000132,-0.6326643292207432
ACH-000133,-0.4980605814699195
ACH-000137,-0.3426100971419335
ACH-000138,-0.2397413933112233
ACH-000142,-0.4257995297628085
ACH-000143,-0.1329422933226265
ACH-000146,-0.18703819173076444
ACH-000148,-0.2444496437083097
ACH-000150,-0.4064057644656695
ACH-000152,-0.3231264277234881
ACH-000153,-0.3600339541257067
ACH-000159,-0.07501095441674126
ACH-000160,-0.3834382789454444
ACH-000163,-0.452041535713666
ACH-000167,-0.12334996442878232
ACH-000168,-0.492342107843424
ACH-000169,-0.6234039684181233
ACH-000178,-0.53001533295987
ACH-000183,-0.8400767259129884
ACH-000188,-0.7590606047715962
ACH-000189,-0.4955466353917972
ACH-000190,-0.38734315538020414
ACH-000198,0.27523726760623063
ACH-000203,-0.08473022628761408
ACH-000204,-0.7591068828080266
ACH-000206,-0.35297574239210155
ACH-000207,-0.5209888188530664
ACH-000208,-0.05206549406356725
ACH-000210,-0.3630832832692079
ACH-000211,-0.2936189862116433
ACH-000215,-0.3460500281876565
ACH-000221,-0.08995077435302885
ACH-000222,-0.537756730635378
ACH-000223,-0.24569228194629866
ACH-000226,-0.2334413676927834
ACH-000227,-0.2730679709133437
ACH-000228,-0.4517729364309946
ACH-000231,-0.3598861787096026
ACH-000232,-0.34531629937106284
ACH-000233,-0.2334956370031358
ACH-000234,-0.5593823367612218
ACH-000235,-0.485631890705329
ACH-000237,-0.13796017003851072
ACH-000238,-0.6873216616211365
ACH-000242,-0.3681477778094734
ACH-000243,-0.5681152605437957
ACH-000244,-0.1433789502143118
ACH-000246,-0.4719105967638781
ACH-000248,-0.2713223583884309
ACH-000250,-0.380835004300863
