,PER2 (8864)
ACH-000004,-0.2917740806155929
ACH-000005,-0.1168340504978195
ACH-000007,-0.18288592470624396
ACH-000009,-0.3670681662185744
ACH-000011,-0.32007808251838016
ACH-000012,-0.20174101353302565
ACH-000013,-0.2028347999691001
ACH-000014,-0.3669431362460235
ACH-000015,-0.2111537442963424
ACH-000017,-0.11078213107449764
ACH-000018,-0.029357721543022006
ACH-000019,-0.2866805100433626
ACH-000021,-0.2092152978250041
ACH-000022,-0.3224662519287601
ACH-000025,-0.12394270340706973
ACH-000028,-0.2571321729247821
ACH-000030,-0.16346840726454845
ACH-000035,-0.2989075581848972
ACH-000036,-0.4345438808346717
ACH-000037,-0.2052202161842969
ACH-000039,-0.11244896918369043
ACH-000040,-0.2962339333271849
ACH-000041,-0.2176304475228207
ACH-000042,-0.3267181724312974
ACH-000045,-0.20170373497598948
ACH-000047,-0.09075021596283613
ACH-000052,-0.2864735114857743
ACH-000053,-0.3258074391787401
ACH-000054,-0.2441565305407121
ACH-000055,-0.25628925275569825
ACH-000060,-0.2825444704347638
ACH-000067,-0.4699729349618559
ACH-000070,-0.4348677663688679
ACH-000075,-0.26464933019677866
ACH-000078,-0.07901327293151113
ACH-000082,-0.17736096299276227
ACH-000085,-0.40224278026188587
ACH-000086,-0.1932086799073421
ACH-000087,-0.28446066336429976
ACH-000092,-0.34243934336059695
ACH-000095,-0.2934605770146001
ACH-000097,-0.26907202694826376
ACH-000098,-0.2313667043471865
ACH-000099,-0.2802332065268554
ACH-000108,-0.17100553677394195
ACH-000113,-0.17740156312223107
ACH-000116,-0.20444758944454525
ACH-000118,-0.11076033327131328
ACH-000120,-0.13749462871561385
ACH-000123,-0.2947874959198183
ACH-000127,-0.29272236655696976
ACH-000128,-0.2093112112454426
ACH-000132,-0.19063189707165093
ACH-000133,-0.30679661849487905
ACH-000137,-0.2016097900700488
ACH-000138,-0.2522287429415195
ACH-000142,-0.09346241256545247
ACH-000143,-0.24378300875575784
ACH-000146,-0.16375681292243205
ACH-000148,-0.18286909145729505
ACH-000150,-0.3802877098152565
ACH-000152,-0.1926078144720137
ACH-000153,-0.2026533281683712
ACH-000159,-0.19244892088125326
ACH-000160,-0.02715381280927603
ACH-000163,-0.2643726934305446
ACH-000167,0.040865745166832335
ACH-000168,-0.2803755987736247
ACH-000169,-0.22432921909792472
ACH-000178,-0.10140823406009022
ACH-000183,-0.13746287842496538
ACH-000188,-0.1198561880617819
ACH-000189,-0.1675230128405567
ACH-000190,-0.001125565536350173
ACH-000198,-0.4186812498030867
ACH-000203,-0.14819632768692864
ACH-000204,0.07659254885294718
ACH-000206,-0.025816138382044152
ACH-000207,-0.1599781508874753
ACH-000208,-0.012677758957397424
ACH-000210,-0.02318250901640681
ACH-000211,-0.2677193374228185
ACH-000215,-0.2222173094498862
ACH-000221,-0.20236758277229167
ACH-000222,-0.08428253148691042
ACH-000223,-0.3023043564604507
ACH-000226,-0.011795396879047312
ACH-000227,-0.4311291708515055
ACH-000228,-0.18064567832621625
ACH-000231,-0.2758819042249481
ACH-000232,-0.3195816062076385
ACH-000233,-0.28606193623163617
ACH-000234,-0.33476416796669234
ACH-000235,-0.19393552742170106
ACH-000237,-0.31615819376144955
ACH-000238,-0.1165678026822788
ACH-000242,-0.2751690203791545
ACH-000243,-0.1970740879630612
ACH-000244,-0.2989457061806524
ACH-000246,-0.11873278413697652
ACH-000248,-0.3693331674946743
ACH-000250,-0.3193476121553904
ACH-000251,-0.3109283011881357
ACH-000252,-0.12931665523532535
ACH-000253,-0.2801991236103771
ACH-000255,-0.19436168447469954
ACH-000256,-0.16790657818938473
ACH-000257,-0.15581065694859447
ACH-000258,-0.32137711003739605
ACH-000259,-0.2485071974563988
ACH-000260,-0.08829495709556562
ACH-000261,-0.2324563807144157
ACH-000262,-0.23738986511629526
ACH-000263,-0.35128160044416024
ACH-000264,-0.12844724874036295
ACH-000265,-0.2440097406845967
ACH-000266,-0.20580214496415564
ACH-000272,-0.1659308069808166
ACH-000274,-0.33045838974700115
ACH-000277,-0.15909382706432845
ACH-000278,-0.2497315863522283
ACH-000279,-0.18427009745780748
ACH-000280,-0.19780557296145387
ACH-000281,-0.1852650969419314
ACH-000288,-0.2662599186755817
ACH-000291,-0.2392081666948163
ACH-000293,-0.060847476279475676
ACH-000294,-0.3484628854462842
ACH-000295,-0.19409313474218684
ACH-000296,-0.17869367154892926
ACH-000302,-0.14359949777198458
ACH-000304,-0.15196746457636773
ACH-000307,-0.2471694937859487
ACH-000308,-0.22994733407853
ACH-000310,-0.5330882672871495
ACH-000311,-0.1817599348996372
ACH-000312,-0.10278315365356304
ACH-000315,-0.12422091638926715
ACH-000316,-0.3342455379732357
ACH-000317,-0.2842887135976949
ACH-000318,-0.01810877767750076
ACH-000319,-0.2603451536386077
ACH-000320,-0.09900029933278097
ACH-000322,-0.3301037784602006
ACH-000323,-0.3807845659412453
ACH-000324,-0.11125854984794177
ACH-000329,-0.255113191762054
ACH-000330,-0.11430690535210472
ACH-000331,-0.14001022970224686
ACH-000332,-0.25739549412805673
ACH-000334,-0.4074719806879701
ACH-000335,-0.14818625012117884
ACH-000336,-0.2913197585229861
ACH-000337,-0.2126778270144358
ACH-000338,-0.2275407679038389
ACH-000339,-0.16952427736148554
ACH-000341,-0.12233120231496873
ACH-000348,-0.2332735795962837
ACH-000350,-0.2433309618090157
ACH-000352,-0.26341982421493604
ACH-000356,-0.2610798409176168
ACH-000361,-0.4490292284553937
ACH-000362,-0.2315273739029611
ACH-000363,-0.11606836395390115
ACH-000364,-0.14103594891670462
ACH-000365,-0.17273685984990775
ACH-000366,-0.2928818742332413
ACH-000368,-0.21534184625916947
ACH-000374,-0.04105301882802626
ACH-000375,-0.25299058498402943
ACH-000376,-0.16989587330725806
ACH-000381,-0.11697053751675328
ACH-000383,-0.4735097429399168
ACH-000387,-0.15594639404983676
ACH-000389,-0.04171284393351478
ACH-000390,-0.1851241589526189
ACH-000393,-0.14220537408441472
ACH-000395,-0.15822308292791526
ACH-000396,-0.17637035414278587
ACH-000397,-0.2644462937784786
ACH-000401,-0.11556271506420875
ACH-000402,-0.14133775305642732
ACH-000403,-0.3099782085217294
ACH-000404,-0.10585393162425527
ACH-000406,-0.19644525034033528
ACH-000407,-0.3130675359269533
ACH-000408,-0.2127466448246897
ACH-000410,-0.2625029025344001
ACH-000411,-0.2075217255381624
ACH-000414,-0.22302596875671613
ACH-000415,-0.18659135809979868
ACH-000416,-0.2203301336006841
ACH-000420,-0.34818516295848284
ACH-000421,-0.15622866090425566
ACH-000424,-0.10011015443358907
ACH-000425,-0.213237381392188
ACH-000426,-0.2095728528722956
ACH-000427,-0.2252708855368333
ACH-000433,-0.13877778387337092
ACH-000435,-0.028535303680575483
ACH-000436,-0.24630850446535454
ACH-000444,-0.22098197037390824
ACH-000445,-0.2073284075918964
ACH-000448,-0.12832146841361736
ACH-000450,-0.1828389946278883
ACH-000452,-0.2906003572107813
ACH-000454,-0.3479265544658069
ACH-000458,-0.25518178391648816
ACH-000459,-0.1529932903664903
ACH-000460,-0.2241761442602357
ACH-000461,-0.15132646297958507
ACH-000463,-0.08110612343026939
ACH-000464,-0.33380244166555856
ACH-000466,-0.2607340632356259
ACH-000467,-0.1435486319174793
ACH-000468,-0.24523294091187714
ACH-000469,-0.1062671494303042
ACH-000470,-0.3110726271778961
ACH-000471,-0.2086011099625632
ACH-000472,-0.1883437654112079
ACH-000473,-0.13079505697673532
ACH-000475,-0.14714764594175045
ACH-000476,-0.34530796047634105
ACH-000477,-0.2240743349825961
ACH-000479,-0.3049889346116207
ACH-000480,-0.06961616875785867
ACH-000481,-0.23627939542328366
ACH-000483,-0.2028495420217196
ACH-000484,-0.22462535335233166
ACH-000485,-0.2319235405077489
ACH-000486,-0.11446238968317568
ACH-000487,-0.24039870639846786
ACH-000488,-0.18265048119344512
ACH-000490,-0.19662099367163893
ACH-000491,-0.2602055179035315
ACH-000495,-0.2741262312920897
ACH-000496,-0.21092917909287956
ACH-000499,-0.15831429753239978
ACH-000500,-0.11405880171702225
ACH-000502,-0.1456739179331418
ACH-000503,-0.17322727311018166
ACH-000505,-0.23284266651008795
ACH-000507,-0.14501328184809534
ACH-000510,-0.1782727979585462
ACH-000511,-0.3682064204077518
ACH-000512,-0.2825718935924329
ACH-000516,-0.0987251706394328
ACH-000517,-0.21873480642509696
ACH-000518,-0.2879639134765534
ACH-000520,-0.11337114250870192
ACH-000521,-0.22406591420807856
ACH-000522,-0.14324967318339274
ACH-000524,-0.18020665043028108
ACH-000527,-0.08495810824027379
ACH-000528,-0.1974574071806472
ACH-000537,-0.2074118941262578
ACH-000541,-0.2464344580116401
ACH-000542,-0.36444110783768296
ACH-000544,-0.19084426072035496
ACH-000545,-0.15857144715948246
ACH-000547,-0.24662500881043994
ACH-000548,-0.12484612055812193
ACH-000549,-0.2643841687233873
ACH-000550,-0.166456660323759
ACH-000552,-0.3102182040540645
ACH-000556,-0.3493286166558622
ACH-000557,-0.28381567478173136
ACH-000569,-0.13559318891628552
ACH-000570,-0.18833088445626175
ACH-000571,-0.2403138595788789
ACH-000573,-0.08573535191311624
ACH-000576,-0.2351703020509577
ACH-000579,-0.011953787547397248
ACH-000580,-0.1324165166624837
ACH-000584,-0.1488949181858475
ACH-000585,-0.16316707191401833
ACH-000588,-0.25135080135493576
ACH-000589,-0.06975053123149244
ACH-000591,-0.0842770656818451
ACH-000593,-0.18616550331170986
ACH-000600,-0.23185065208635044
ACH-000601,-0.15595686817732055
ACH-000605,-0.1908843312565343
ACH-000606,-0.2448504355404829
ACH-000608,-0.2655582873882417
ACH-000614,-0.2956255153153736
ACH-000616,-0.08256791677707301
ACH-000618,-0.1254840304079075
ACH-000619,-0.2290012464149899
ACH-000620,-0.2178066500095168
ACH-000621,-0.2453612323362112
ACH-000622,-0.29446492719627393
ACH-000623,-0.24724782804178544
ACH-000624,-0.1872176815640523
ACH-000627,-0.3568639202630653
ACH-000630,-0.2988842074375969
ACH-000631,-0.26702556202332983
ACH-000632,-0.22208381130675575
ACH-000633,-0.2863623759967956
ACH-000637,-0.21784622373367774
ACH-000638,-0.1810144094112463
ACH-000646,-0.19490540172339896
ACH-000647,-0.2975922122775765
ACH-000648,-0.3578374131482533
ACH-000649,-0.2056052014175447
ACH-000651,-0.15023372910047342
ACH-000652,-0.256011935207938
ACH-000653,-0.2431759153159467
ACH-000657,-0.3217959750388025
ACH-000658,-0.15720820348716785
ACH-000661,-0.17107679664247474
ACH-000662,-0.16035561055140893
ACH-000663,-0.15931922949628152
ACH-000665,-0.0935011608745462
ACH-000671,-0.18670060512938366
ACH-000672,-0.4289239251365136
