,GSG2 (83903)
ACH-000004,0.014236263272319085
ACH-000005,0.027370336217278596
ACH-000007,0.07823277008991092
ACH-000009,-0.1503477813751492
ACH-000011,-0.18274453960194348
ACH-000012,-0.2725648893639153
ACH-000013,-0.08890195835725302
ACH-000014,0.012932342061410135
ACH-000015,-0.20037548260673446
ACH-000017,-0.07788515641728222
ACH-000018,-0.05978706619330036
ACH-000019,-0.12004426191191077
ACH-000021,-0.07354059046615394
ACH-000022,-0.11196752803845296
ACH-000025,-0.08949951055472956
ACH-000028,-0.03316142610389116
ACH-000030,0.03293022538530907
ACH-000035,-0.003611152853166296
ACH-000036,-0.10328491166475816
ACH-000037,-0.13820644787754716
ACH-000039,-0.017048411185042803
ACH-000040,-0.24220577290975745
ACH-000041,-0.27129567403485705
ACH-000042,-0.1940465029048348
ACH-000045,-0.20747082964934865
ACH-000047,-0.062212331714716025
ACH-000052,-0.11049361956164297
ACH-000053,-0.009987403707033564
ACH-000054,-0.01638950679819361
ACH-000055,-0.06719086520149556
ACH-000060,-0.31873307170640763
ACH-000067,-0.27228207180139197
ACH-000070,-0.054368611102985014
ACH-000075,-0.008859486687020801
ACH-000078,0.027890744896695286
ACH-000082,-0.20936523369420232
ACH-000085,-0.1427089796886577
ACH-000086,-0.09001402334211055
ACH-000087,-0.15069447867853425
ACH-000092,-0.03200814458666837
ACH-000095,-0.08258439661685507
ACH-000097,-0.2841331650235929
ACH-000098,-0.10687523655656256
ACH-000099,-0.11284966189217617
ACH-000108,-0.034129717680146124
ACH-000113,-0.07560974995276645
ACH-000116,-0.2492873480275743
ACH-000118,-0.06818694554772045
ACH-000120,-0.12545406157503805
ACH-000123,-0.15836985075532736
ACH-000127,-0.11812436179379955
ACH-000128,-0.11010946752955132
ACH-000132,-0.07001027698229928
ACH-000133,-0.19284395508343935
ACH-000137,-0.07874225030500577
ACH-000138,-0.030784331936631375
ACH-000142,-0.0020427157066904922
ACH-000143,0.11227044569733832
ACH-000146,-0.3387854528030093
ACH-000148,-0.07762124308431317
ACH-000150,-0.3403853521153284
ACH-000152,-0.1411215408506363
ACH-000153,-0.0242794355594546
ACH-000159,0.007461385562361631
ACH-000160,0.21232871813907386
ACH-000163,0.004526400670842415
ACH-000167,0.3604879586739295
ACH-000168,-0.1053081638421904
ACH-000169,-0.3651361653476032
ACH-000178,-0.05944697022804987
ACH-000183,-0.08718825887870309
ACH-000188,-0.012235735562336328
ACH-000189,0.06866724575353474
ACH-000190,0.06498336210802969
ACH-000198,0.025247305929114974
ACH-000203,-0.23648763700158384
ACH-000204,0.009552325810530842
ACH-000206,-0.02353340136739946
ACH-000207,-0.07015780713820906
ACH-000208,-0.010174669008777512
ACH-000210,0.11690597595813612
ACH-000211,-0.04826880460943133
ACH-000215,-0.0926482456134002
ACH-000221,-0.02785569209429901
ACH-000222,0.12977576134365684
ACH-000223,0.03098307203055563
ACH-000226,-0.3614482400275419
ACH-000227,0.014607910226387922
ACH-000228,-0.3434316921905502
ACH-000231,-0.1507528370997561
ACH-000232,-0.012916940052102666
ACH-000233,-0.10772765729230308
ACH-000234,0.005100319784472186
ACH-000235,0.025009093192512637
ACH-000237,-0.4232084840533887
ACH-000238,-0.2683181493170209
ACH-000242,-0.07016895242778001
ACH-000243,-0.16041828477334905
ACH-000244,-0.40126510868094895
ACH-000246,-0.1138735227750779
ACH-000248,-0.058654439739905084
ACH-000250,-0.3205064976557321
ACH-000251,-0.216474688385476
ACH-000252,-0.2539113882422321
ACH-000253,0.04202138345615453
ACH-000255,0.034890719717913236
ACH-000256,-0.2108698049369836
ACH-000257,-0.044601832017573916
ACH-000258,-0.1160313407661818
ACH-000259,-0.10185669588565267
ACH-000260,-0.1749734214625483
ACH-000261,-0.067764747677797
ACH-000262,-0.11026755665749888
ACH-000263,-0.2223761954254304
ACH-000264,-0.36942042226039423
ACH-000265,-0.02238115969807028
ACH-000266,-0.12439329879240707
ACH-000272,0.0492861272435846
ACH-000274,-0.04313509506840196
ACH-000277,-0.13292715299249835
ACH-000278,-0.11136888374501892
ACH-000279,-0.17563427214655605
ACH-000280,-0.3257360156562199
ACH-000281,-0.011732878645983814
ACH-000288,-0.21385614345151696
ACH-000291,-0.17796064832734113
ACH-000293,-0.1752412406996736
ACH-000294,-0.19140877659254726
ACH-000295,0.08702523577169635
ACH-000296,-0.17418072376773672
ACH-000302,-0.08837622163046847
ACH-000304,0.08295798064789286
ACH-000307,-0.13644110421509262
ACH-000308,0.05331336442054095
ACH-000310,-0.09059722059722602
ACH-000311,0.002625185291348996
ACH-000312,-0.060962660291747774
ACH-000315,0.12816043897167198
ACH-000316,-0.12390120028325707
ACH-000317,0.11878824757635358
ACH-000318,-0.055148406274126135
ACH-000319,-0.055894101105646715
ACH-000320,-0.18858235801854326
ACH-000322,-0.30746412984254745
ACH-000323,-0.028994037029949706
ACH-000324,-0.03837473375227935
ACH-000329,-0.10234899590517207
ACH-000330,-0.14906656936109375
ACH-000331,-0.21890278770873614
ACH-000332,-0.07371247095289593
ACH-000334,-0.20019472247887948
ACH-000335,0.08859389032484541
ACH-000336,0.0579978439779627
ACH-000337,0.1571023942466488
ACH-000338,0.5673129493942208
ACH-000339,-0.04183521046726168
ACH-000341,-0.07242292662742071
ACH-000348,0.002168533358396134
ACH-000350,0.0556903910072272
ACH-000352,-0.008466709013353972
ACH-000356,-0.13846766012249367
ACH-000361,0.06853877905787571
ACH-000362,-0.061961397545124565
ACH-000363,0.0038777354251301396
ACH-000364,-0.05022449757846675
ACH-000365,0.037784085416328335
ACH-000366,0.05926118642790626
ACH-000368,0.0011128359156863598
ACH-000374,0.035103060995757294
ACH-000375,-0.13614754619009867
ACH-000376,0.02474357049026545
ACH-000381,0.04972025400173398
ACH-000383,-0.054428026649000094
ACH-000387,-0.09711918901657716
ACH-000389,-0.16434025174349398
ACH-000390,-0.22458118599653
ACH-000393,-0.07479645995892707
ACH-000395,0.041140923128026606
ACH-000396,-0.2501893450370221
ACH-000397,-0.2033821919424136
ACH-000401,0.016309881424642354
ACH-000402,-0.3979002749894968
ACH-000403,-0.031144881652226262
