,CDIPT (10423)
ACH-000004,-1.0577548660896032
ACH-000005,-0.8384834893905698
ACH-000007,-1.2368892156054283
ACH-000009,-0.9316869207557356
ACH-000011,-0.7549514334915519
ACH-000012,-1.0363060485176596
ACH-000013,-1.1784693477175197
ACH-000014,-0.9544744651504548
ACH-000015,-1.1300062410116376
ACH-000017,-0.8395465131227804
ACH-000018,-0.9456456515360572
ACH-000019,-0.5824096955018535
ACH-000021,-1.0912568529476263
ACH-000022,-0.8400301214582578
ACH-000025,-1.021019999312639
ACH-000028,-0.8304596856924185
ACH-000030,-0.9643024830173358
ACH-000035,-0.9259380676646316
ACH-000036,-0.7936747475622659
ACH-000037,-1.255870732198605
ACH-000039,-0.8386425668423766
ACH-000040,-0.9072304755504744
ACH-000041,-0.8416826578501446
ACH-000042,-0.8766933872453301
ACH-000045,-0.6511744600480068
ACH-000047,-0.7656118057185193
ACH-000052,-0.8971225379912967
ACH-000053,-0.16897680869078785
ACH-000054,-0.8669049218592116
ACH-000055,-1.0393304001257748
ACH-000060,-0.9412997960357776
ACH-000067,-1.236747874050896
ACH-000070,-0.8219503288560556
ACH-000075,-0.6561010503577344
ACH-000078,-0.9483250054521476
ACH-000082,-0.8809805996268957
ACH-000085,-0.7422476111429608
ACH-000086,-1.0137048784435676
ACH-000087,-0.7763678086410942
ACH-000092,-0.4665538421817375
ACH-000095,-0.8529330112636266
ACH-000097,-0.6541309674755004
ACH-000098,-1.1260148021206564
ACH-000099,-0.9527385697931476
ACH-000108,-0.4225484457549226
ACH-000113,-0.6581899472981932
ACH-000116,-0.8856013120240435
ACH-000118,-0.7867228322239406
ACH-000120,-1.0307908717371137
ACH-000123,-0.7759017844068692
ACH-000127,-0.8276218107141226
ACH-000128,-0.7500838578554692
ACH-000132,-1.1277754298830662
ACH-000133,-0.8408086679378606
ACH-000137,-1.0187903576481394
ACH-000138,-0.8892798481029924
ACH-000142,-0.9678885393680196
ACH-000143,-0.9711366698268582
ACH-000146,-0.6586725548203204
ACH-000148,-1.0361033454134354
ACH-000150,-1.0986446174827942
ACH-000152,-0.8076806619464304
ACH-000153,-1.025300186138275
ACH-000159,-0.5133101573485277
ACH-000160,-0.9534350130270416
ACH-000163,-1.0423717004980166
ACH-000167,-0.9673517795524482
ACH-000168,-0.7976145717142814
ACH-000169,-0.9147535134443716
ACH-000178,-0.8297699466597008
ACH-000183,-0.8516826486949316
ACH-000188,-0.8275032941915209
ACH-000189,-0.9233283580544418
ACH-000190,-1.0634179000045725
ACH-000198,-0.7799421377470158
ACH-000203,-1.1177313342596369
ACH-000204,-0.6301003824988876
ACH-000206,-0.6912423387336476
ACH-000207,-0.707846228486294
ACH-000208,-0.9637488650321036
ACH-000210,-1.1470836969181253
ACH-000211,-1.008877231592959
ACH-000215,-1.0745649131318131
ACH-000221,-0.9995944615744771
ACH-000222,-0.9212342267363972
ACH-000223,-0.5476989060217275
ACH-000226,-0.7963366389330931
ACH-000227,-0.7218667813035782
ACH-000228,-0.6399324571661961
ACH-000231,-1.019237339911337
ACH-000232,-1.0602621534490442
ACH-000233,-0.792563878763559
ACH-000234,-0.5618855660271952
ACH-000235,-0.8147454993986037
ACH-000237,-0.9930710122775194
ACH-000238,-0.8073517267165897
ACH-000242,-0.9215649022135874
ACH-000243,-0.9626721862264108
ACH-000244,-1.2127535163538
ACH-000246,-0.7482558670965673
ACH-000248,-0.971932642209754
ACH-000250,-0.9437519743204322
ACH-000251,-0.8593196859804922
ACH-000252,-0.9488409277013884
ACH-000253,-0.5649971469930329
ACH-000255,-1.058403083081079
ACH-000256,-0.7153147839466011
ACH-000257,-1.0011900567836804
ACH-000258,-0.8608017163057837
ACH-000259,-0.801986610800922
ACH-000260,-0.9542304511900294
ACH-000261,-1.1802328418553074
ACH-000262,-0.9145353675654834
ACH-000263,-0.8779473612641521
ACH-000264,-0.5177965650343658
ACH-000265,-1.0608844942486124
ACH-000266,-0.9607344728399814
ACH-000272,-0.7929318695917925
ACH-000274,-0.4612553042784937
ACH-000277,-1.0817652922895933
ACH-000278,-0.8227539497798672
ACH-000279,-0.9780064891113528
ACH-000280,-0.9851320435490304
ACH-000281,-0.9535995573050324
ACH-000288,-1.1173217829679103
ACH-000291,-0.7775887961446906
ACH-000293,-0.36383220417885376
ACH-000294,-1.09722499005203
ACH-000295,-0.9725972532797498
