,STK3 (6788)
ACH-000004,-0.09041670562922854
ACH-000005,-0.08970122129013583
ACH-000007,-0.22506977368358785
ACH-000009,-0.08176229451011424
ACH-000011,-0.15502021780340622
ACH-000012,-0.12172814024176447
ACH-000013,-0.16369861759399282
ACH-000014,-0.21625900872830664
ACH-000015,-0.035459761516477666
ACH-000017,-0.17802580554844508
ACH-000018,-0.2581755008741514
ACH-000019,-0.104172180743317
ACH-000021,-0.18690364225143025
ACH-000022,-0.17949970737283344
ACH-000025,-0.3222536387052615
ACH-000028,-0.17676160856817852
ACH-000030,-0.07243712607948323
ACH-000035,-0.24549672631817945
ACH-000036,-0.3173319994244116
ACH-000037,-0.1265223140803619
ACH-000039,-0.016472027488123313
ACH-000040,-0.3492309525578726
ACH-000041,-0.3407541759394979
ACH-000042,-0.23986999358999594
ACH-000045,-0.1164650604100224
ACH-000047,-0.1843861210915472
ACH-000052,-0.10793184941349758
ACH-000053,-0.07784126570103338
ACH-000054,-0.1567816200796638
ACH-000055,-0.3347657510593455
ACH-000060,-0.1473030099505436
ACH-000067,-0.2571269601049418
ACH-000070,-0.07358060927760443
ACH-000075,-0.3698331594640392
ACH-000078,-0.2323110679412314
ACH-000082,-0.13573099041123854
ACH-000085,-0.15414189493829947
ACH-000086,-0.04180915535845407
ACH-000087,-0.02498756021982861
ACH-000092,-0.01619849335018753
ACH-000095,-0.2544297408706513
ACH-000097,-0.4198474939300713
ACH-000098,-0.11101363799716472
ACH-000099,-0.27077081443599593
ACH-000108,0.05930434770224559
ACH-000113,-0.08694716586062869
ACH-000116,0.011805050174101944
ACH-000118,-0.13399092210806912
ACH-000120,-0.003699569807130951
ACH-000123,-0.11221930199364004
ACH-000127,-0.2136501699515642
ACH-000128,-0.28221110932552024
ACH-000132,-0.047494105487047564
ACH-000133,-0.11058918302868556
ACH-000137,-0.06775930603924286
ACH-000138,-0.12772742276259005
ACH-000142,-0.004760497360780214
ACH-000143,-0.16582346260518527
ACH-000146,-0.07556964867528213
ACH-000148,-0.3073034634861864
ACH-000150,-0.1224054192622948
ACH-000152,-0.08366239946392841
ACH-000153,0.04562508170423305
ACH-000159,-0.22156630195297386
ACH-000160,0.18682054925068053
ACH-000163,-0.20788770196087072
ACH-000167,0.2710016797248404
ACH-000168,-0.389226004376646
ACH-000169,-0.07682068803217305
ACH-000178,-0.15108308818331953
ACH-000183,-0.21720591287650395
ACH-000188,-0.06839112510268829
ACH-000189,-0.10998441170652838
ACH-000190,0.09007945692287686
ACH-000198,-0.08866429141518309
ACH-000203,-0.14778499541504994
ACH-000204,-0.08466871190303413
ACH-000206,-0.0967012680735649
ACH-000207,-0.2035381683796488
ACH-000208,-0.14126224058459932
ACH-000210,-0.6284103363749876
ACH-000211,-0.12135971531898902
ACH-000215,-0.2327172575147548
ACH-000221,-0.09870958440894176
ACH-000222,-0.29062819592145017
ACH-000223,-0.35468832993046245
ACH-000226,-0.16174981478463588
ACH-000227,-0.20384918138871644
ACH-000228,-0.11955073789818806
ACH-000231,-0.13765709014556182
ACH-000232,-0.20157939365709232
ACH-000233,-0.11644396462608338
ACH-000234,-0.20854297879980851
ACH-000235,-0.20159141557458074
ACH-000237,-0.14283416478297228
ACH-000238,-0.2614902512876991
ACH-000242,-0.3100281651912429
ACH-000243,-0.162411973428409
ACH-000244,-0.07911102960931052
ACH-000246,-0.1354006709399717
ACH-000248,-0.3214635025104614
ACH-000250,-0.14854136292372008
ACH-000251,-0.008882540316549722
ACH-000252,-0.06329732763292456
ACH-000253,-0.2632795452806769
ACH-000255,-0.0357875608592412
ACH-000256,-0.3911507960744213
ACH-000257,-0.15435341699427582
ACH-000258,-0.4596444550149053
ACH-000259,-0.10068290823782593
ACH-000260,-0.07662501673190232
ACH-000261,-0.2589248629651931
ACH-000262,-0.25190246661331056
ACH-000263,-0.16285302228024756
ACH-000264,-0.19377293727876915
ACH-000265,-0.13325871113929216
ACH-000266,-0.2660438416954649
ACH-000272,-0.2166408520807152
ACH-000274,-0.056729463323520676
ACH-000277,-0.4763008356486385
ACH-000278,-0.1246477644676614
ACH-000279,-0.312192834422758
ACH-000280,-0.12946651070680198
ACH-000281,-0.034758877785212465
ACH-000288,-0.0630277574246944
ACH-000291,-0.258537439012704
ACH-000293,-0.1216927462377556
ACH-000294,-0.11932656207863444
ACH-000295,0.31805550743353844
ACH-000296,-0.0004712292271116048
ACH-000302,-0.09740672343484397
ACH-000304,-0.06913325493929785
ACH-000307,-0.23461664736536014
ACH-000308,-0.20015176084987826
ACH-000310,-0.007509108552349816
ACH-000311,-0.2486841313704048
ACH-000312,-0.060628072082826924
ACH-000315,-0.17171314427722373
ACH-000316,-0.08227717143310878
ACH-000317,-0.2848337987966063
ACH-000318,-0.11172666843733672
ACH-000319,0.06975834588596623
ACH-000320,-0.1669455126841483
ACH-000322,-0.04846282908895402
ACH-000323,-0.152973195889857
ACH-000324,-0.07195492759412872
ACH-000329,-0.1941770771643793
ACH-000330,-0.1470801243071179
ACH-000331,0.02691436378380345
ACH-000332,-0.14204274903209427
ACH-000334,0.030110315625349438
ACH-000335,-0.13527632640003776
ACH-000336,-0.06830318366981494
ACH-000337,-0.202593232530596
ACH-000338,0.2294748269887773
ACH-000339,-0.15697728822678853
ACH-000341,-0.23255477142097106
ACH-000348,-0.3476585386222861
ACH-000350,-0.22168758696699045
ACH-000352,-0.3939254057401341
ACH-000356,-0.023093023614783357
ACH-000361,-0.18446450780430002
ACH-000362,-0.32111649388265523
ACH-000363,-0.10968044795423723
ACH-000364,0.017160552989298354
ACH-000365,-0.05375896234301477
ACH-000366,-0.1007298308586618
ACH-000368,-0.2822153882510033
ACH-000374,-0.15878673340061028
ACH-000375,0.007941523025220821
ACH-000376,-0.265261974954192
ACH-000381,-0.019630766554231963
ACH-000383,-0.17275880417894138
ACH-000387,-0.10113695114709093
ACH-000389,-0.2383893409886934
ACH-000390,-0.11968091721335285
ACH-000393,-0.2605595536118324
ACH-000395,-0.3224974340121843
ACH-000396,-0.3731762991274169
ACH-000397,-0.1822664979533698
ACH-000401,-0.15468397318498592
ACH-000402,-0.08437735014454117
ACH-000403,-0.247454011436024
ACH-000404,-0.09928065068766492
ACH-000406,-0.0744700159977923
ACH-000407,0.053324002172404565
ACH-000408,-0.14608953022733132
ACH-000410,-0.19609165877537474
ACH-000411,-0.4016778804039772
ACH-000414,-0.2050652926614615
ACH-000415,-0.046625777760941164
ACH-000416,-0.19903927667456564
ACH-000420,-0.03844996701897292
ACH-000421,-0.1299171891405728
ACH-000424,0.07389367386578634
ACH-000425,-0.19961948328919904
ACH-000426,-0.2868975668500021
ACH-000427,-0.25755546963391346
ACH-000433,-0.015600196174837088
ACH-000435,-0.17066292735168687
ACH-000436,-0.30872121909086986
ACH-000444,-0.3287325905320331
ACH-000445,-0.08312502120773836
ACH-000448,-0.2409808837623095
ACH-000450,-0.2377385028076821
ACH-000452,-0.09188660731406778
ACH-000454,-0.047738968967403234
ACH-000458,-0.20819272761051266
ACH-000459,-0.050281725865654534
ACH-000460,-0.18449578390969396
ACH-000461,-0.07163018453913758
ACH-000463,0.0108938668055576
ACH-000464,-0.07094492576873251
ACH-000466,-0.5320350097369629
ACH-000467,-0.1845197771835484
ACH-000468,-0.1219795416222106
ACH-000469,-0.11446010465216284
ACH-000470,-0.3689816576918096
ACH-000471,-0.048574802190457636
ACH-000472,-0.27111889732523003
ACH-000473,-0.12367254571743935
ACH-000475,-0.19776450682852573
ACH-000476,-0.25534175819516697
ACH-000477,-0.12558187010433114
ACH-000479,0.01070412184970749
ACH-000480,-0.23905202227379055
ACH-000481,-0.1373538621729035
ACH-000483,-0.011996503203050677
ACH-000484,-0.2634155433623714
ACH-000485,-0.32340905091009403
ACH-000486,-0.13025948109011687
ACH-000487,-0.1938199521019069
ACH-000488,-0.14177566774232314
ACH-000490,-0.2317504551537034
ACH-000491,-0.26117598130264263
ACH-000495,-0.08503299538174627
ACH-000496,-0.04579710299818175
ACH-000499,-0.06360383984112321
ACH-000500,0.207393908384149
ACH-000502,-0.1698887377418719
ACH-000503,-0.3314380278219741
ACH-000505,-0.18944762058559506
ACH-000507,-0.210470636261758
ACH-000510,-0.15638796561169782
ACH-000511,-0.03578507264011127
ACH-000512,-0.052910310633273984
ACH-000516,-0.16682589569076325
ACH-000517,-0.10088143062178874
ACH-000518,-0.15301055118837106
ACH-000520,-0.03967402517195725
ACH-000521,-0.2310743878080581
ACH-000522,-0.2354027146864067
ACH-000524,-0.17526054073911373
ACH-000527,-0.11943509935145348
