,MAEA (10296)
ACH-000004,-0.020018135687177932
ACH-000005,-0.3532925930175099
ACH-000007,-0.1302861667556284
ACH-000009,-0.10292617123001327
ACH-000011,-0.6670626966473834
ACH-000012,-0.3642034565148865
ACH-000013,-0.4761934074020893
ACH-000014,-0.3953235176809995
ACH-000015,-0.2577769867397083
ACH-000017,-0.6485154501391204
ACH-000018,-0.28930338041806963
ACH-000019,-0.5261185432886607
ACH-000021,-0.1480676533021142
ACH-000022,-0.2166420440978665
ACH-000025,-0.11316308876436015
ACH-000028,-0.5862637384047112
ACH-000030,-0.6916269920011726
ACH-000035,-0.32269357999349885
ACH-000036,-0.4098281210879823
ACH-000037,-0.2814099256536886
ACH-000039,-0.4298948636325482
ACH-000040,-0.34420590048949234
ACH-000041,-0.32235670619021073
ACH-000042,-0.51538364816132
ACH-000045,-0.12918553687166634
ACH-000047,-0.6177374976558195
ACH-000052,-0.6842925002040694
ACH-000053,0.2366429254919354
ACH-000054,-0.4998219503401884
ACH-000055,-0.30957870950687066
ACH-000060,-0.4004824876244691
ACH-000067,-0.29211522395591616
ACH-000070,-0.163861403705935
ACH-000075,-0.3442228773835781
ACH-000078,-0.3474827418999669
ACH-000082,-0.6586664810508149
ACH-000085,-0.5596117486340164
ACH-000086,-0.35529624326476544
ACH-000087,-0.4979109760409198
ACH-000092,-0.5708381774737115
ACH-000095,-0.2420303758554084
ACH-000097,-0.6172174628848339
ACH-000098,-0.34757312529217144
ACH-000099,-0.4157741095626342
ACH-000108,-0.3509506577453752
ACH-000113,-0.5499679822684914
ACH-000116,-0.8015719876388854
ACH-000118,-0.6655540516269617
ACH-000120,-0.38510665439228986
ACH-000123,-0.2542381717675507
ACH-000127,-0.20738399976917668
ACH-000128,-0.19268513534699291
ACH-000132,-0.2435880293734721
ACH-000133,-0.5024854966428984
ACH-000137,-0.4318954737607471
ACH-000138,-0.3710798464859555
ACH-000142,-0.7575264085190622
ACH-000143,-0.34112670381196525
ACH-000146,-0.2732577134363306
ACH-000148,-0.2593264237095009
ACH-000150,-0.3425817216767558
ACH-000152,-0.5369735239428381
ACH-000153,-0.4687233842427494
ACH-000159,-0.17860977812374484
ACH-000160,-0.21002418500808331
ACH-000163,-0.05463264016879814
ACH-000167,-0.7148532500319194
ACH-000168,0.19101953068838445
ACH-000169,-0.19343280612613425
ACH-000178,-0.4428730649698574
ACH-000183,-0.3788737094450677
ACH-000188,-0.28958739996145016
ACH-000189,-0.4082621772708114
ACH-000190,-0.5002862707138229
ACH-000198,0.0950003383559406
ACH-000203,-0.4265624763191539
ACH-000204,-0.17272268381235403
ACH-000206,-0.20425119792885335
ACH-000207,-0.17494339619281524
ACH-000208,-0.25649535460683603
ACH-000210,-0.3703787779491631
ACH-000211,-0.4979838068764003
ACH-000215,-0.16217172186629494
ACH-000221,-0.04112598964459742
ACH-000222,-0.39750919106034777
ACH-000223,-0.5385556207748192
ACH-000226,-0.01807439303785473
ACH-000227,-0.14294694188449478
ACH-000228,-0.562831142927607
ACH-000231,-0.6962497744650649
ACH-000232,-0.2380729592071677
ACH-000233,-0.2509012411535943
ACH-000234,-0.401677923913825
ACH-000235,-0.4150628450893278
ACH-000237,-0.4986694016840874
ACH-000238,-0.3990176013713216
ACH-000242,-0.6989199889901997
ACH-000243,-0.6185165717996606
ACH-000244,-0.0367881838838648
ACH-000246,-0.4865271875653462
ACH-000248,-0.5886254078946964
ACH-000250,-0.3671631538691703
ACH-000251,-0.4277940405392967
ACH-000252,-0.4062302139970565
ACH-000253,-0.4806720826208325
ACH-000255,-0.3804882072312558
ACH-000256,-0.4551061689438281
ACH-000257,-0.0073858182215583955
ACH-000258,-0.4431482716316911
ACH-000259,-0.7683165736065564
ACH-000260,-0.3712914599064191
ACH-000261,-0.4444503423671039
ACH-000262,-0.4583428487235204
ACH-000263,-0.3663164601129905
ACH-000264,-0.5616112034505397
ACH-000265,-0.05486981788621094
ACH-000266,-0.5541044316730471
ACH-000272,-0.3885735311091528
ACH-000274,-0.17135126069521406
ACH-000277,-0.4158007728561005
ACH-000278,-0.26248821493124025
ACH-000279,-0.1480781179671081
ACH-000280,-0.5040459588871765
ACH-000281,-0.3556060385255783
ACH-000288,-0.4407992201515109
ACH-000291,-0.3856599475845945
ACH-000293,-0.3654394307240346
ACH-000294,-0.007035642438097879
ACH-000295,-0.17256196959140171
ACH-000296,-0.2662302151505421
ACH-000302,-0.640034963610318
ACH-000304,-0.4975373592314484
ACH-000307,-0.5649551676513628
ACH-000308,-0.5561792272826601
ACH-000310,-0.10315063328158347
ACH-000311,-0.2967977365664913
ACH-000312,-0.4613427325052256
ACH-000315,-0.2655182473436382
ACH-000316,-0.10644960759943646
ACH-000317,-0.6612436257651999
ACH-000318,-0.3495025941188958
ACH-000319,-0.16037025218888692
ACH-000320,-0.43264345419444855
ACH-000322,-0.34686976886682963
ACH-000323,0.08899056898244419
ACH-000324,-0.3141772733636584
ACH-000329,-0.0685313473085952
ACH-000330,-0.4352315723090685
ACH-000331,-0.7666756670220425
ACH-000332,-0.15672854499917233
ACH-000334,-0.2765819666551881
ACH-000335,-0.29140040017697577
ACH-000336,-0.3393998285089145
ACH-000337,-0.4971387366632856
ACH-000338,-0.34743439831797873
ACH-000339,-0.018378996926928043
ACH-000341,-0.2671041919373945
ACH-000348,-0.3500521226491789
ACH-000350,-0.5804023026138977
ACH-000352,-0.7630894969201673
ACH-000356,-0.7039799057852665
ACH-000361,-0.2478608705151785
ACH-000362,0.07224579054556689
ACH-000363,-0.3922104415515842
ACH-000364,-0.3342333879076302
ACH-000365,-0.05135271727794812
ACH-000366,-0.6362771820871367
ACH-000368,-0.5876670237452125
ACH-000374,-0.36115501907945097
ACH-000375,-0.4388121578308256
ACH-000376,-0.21444724747913715
ACH-000381,-0.4445877913900253
ACH-000383,-0.2778462682635872
ACH-000387,-0.05129210985151162
ACH-000389,-0.19921815172895485
ACH-000390,-0.09250839476441143
ACH-000393,-0.17385919179591902
ACH-000395,-0.2752843604389581
ACH-000396,-0.2602597688830496
ACH-000397,-0.902487939530944
ACH-000401,-0.3303409926701948
ACH-000402,0.0061750752682402715
ACH-000403,-0.5472229133195019
ACH-000404,-0.5474098013366298
ACH-000406,-0.1266253617923075
ACH-000407,-0.15576246785481893
ACH-000408,-0.4269562497464608
ACH-000410,-0.5299939669493876
ACH-000411,-0.23989789212344606
ACH-000414,-0.20908032591457615
ACH-000415,-0.3493508494488901
ACH-000416,-0.4714210397058055
ACH-000420,-0.2348001618141281
ACH-000421,-0.36571098924379497
ACH-000424,-0.2860251735569814
ACH-000425,-0.3713770776684717
ACH-000426,-0.2846680947602573
ACH-000427,-0.4753348293510866
ACH-000433,-0.3702129609774987
ACH-000435,-0.42170488648734905
ACH-000436,-0.3133180190187293
ACH-000444,-0.15100982228883172
ACH-000445,-0.4034623207588556
ACH-000448,-0.6315701914942564
ACH-000450,-0.3716113636522681
ACH-000452,-0.4210285606978493
ACH-000454,-0.4134885237015569
ACH-000458,-0.233167401690224
ACH-000459,-0.24832614735155256
ACH-000460,-0.7551335785500433
