,CHAF1B (8208)
ACH-000004,-1.6859447188132222
ACH-000005,-1.5338087499551991
ACH-000007,-1.4362879412698797
ACH-000009,-1.3164695454648665
ACH-000011,-1.5003997829333302
ACH-000012,-1.5212261014221162
ACH-000013,-1.6610879553027753
ACH-000014,-1.4235702970138648
ACH-000015,-1.6190157445261355
ACH-000017,-1.6068679864309183
ACH-000018,-1.407172841764617
ACH-000019,-1.3307659577767486
ACH-000021,-1.2606006159650052
ACH-000022,-1.6799432225870836
ACH-000025,-1.5640535223366605
ACH-000028,-1.591916243204471
ACH-000030,-1.4286839587204463
ACH-000035,-1.5954135278996875
ACH-000036,-1.2320089687628044
ACH-000037,-0.6551664323494845
ACH-000039,-1.7300615946553486
ACH-000040,-1.2509814762781124
ACH-000041,-1.4770047346039912
ACH-000042,-1.41077936864107
ACH-000045,-1.5349084711978846
ACH-000047,-1.5370771537630503
ACH-000052,-1.5993497021894911
ACH-000053,-1.3448063891908568
ACH-000054,-1.4907884709012795
ACH-000055,-1.4890005950568437
ACH-000060,-1.6198080730769675
ACH-000067,-1.3173116860225629
ACH-000070,-1.149808300050333
ACH-000075,-1.228468984829855
ACH-000078,-1.3962314887609812
ACH-000082,-1.6588338570178298
ACH-000085,-1.8620482759240409
ACH-000086,-1.4816031157356107
ACH-000087,-1.506922716768468
ACH-000092,-1.356826465384516
ACH-000095,-1.4517378123912608
ACH-000097,-1.5969004839246266
ACH-000098,-1.4120182176903897
ACH-000099,-1.5189271585879789
ACH-000108,-1.4043454307676373
ACH-000113,-1.5349625988868387
ACH-000116,-1.4619480031172596
ACH-000118,-1.35891238034727
ACH-000120,-1.5809054161679934
ACH-000123,-1.5646139669156485
ACH-000127,-1.5783091698941911
ACH-000128,-1.4283353994008796
ACH-000132,-1.5367201265951678
ACH-000133,-1.3625608548094723
ACH-000137,-1.3306434954466475
ACH-000138,-1.407621844761162
ACH-000142,-1.2968276961179777
ACH-000143,-1.4424937747362456
ACH-000146,-1.595829997830358
ACH-000148,-1.6114696962194643
ACH-000150,-1.5844080676067724
ACH-000152,-1.5674054294266384
ACH-000153,-1.4774873479401094
ACH-000159,-1.4401062488814331
ACH-000160,-1.1945796951409846
ACH-000163,-1.3434427470077643
ACH-000167,-1.6171244396593858
ACH-000168,-1.6328899279000622
ACH-000169,-1.5321413499693313
ACH-000178,-1.3989191545370858
ACH-000183,-1.6134534405889196
ACH-000188,-1.511127077503582
ACH-000189,-1.3199211067981298
ACH-000190,-1.0931071314076248
ACH-000198,-1.488644410723536
ACH-000203,-1.8216932913576376
ACH-000204,-1.3341986938145662
ACH-000206,-1.272638519029115
ACH-000207,-1.1867218099870025
ACH-000208,-1.0751269644501107
ACH-000210,-1.3229085077923637
ACH-000211,-1.3833032681669686
