,ZCWPW2 (152098)
ACH-000004,-0.2553577981277743
ACH-000005,-0.14352430521578974
ACH-000007,-0.236187402836128
ACH-000009,-0.2670890675978889
ACH-000011,-0.1544293920802944
ACH-000012,-0.4167690412073744
ACH-000013,0.019209561678867868
ACH-000014,-0.2039097470943796
ACH-000015,-0.2023311519993866
ACH-000017,-0.15598197014168494
ACH-000018,-0.2806276072777663
ACH-000019,-0.10179242824694798
ACH-000021,-0.07153074967824923
ACH-000022,-0.39620076951686106
ACH-000025,-0.2572361620992817
ACH-000028,-0.19329155130592074
ACH-000030,-0.18163904933603725
ACH-000035,-0.2284841866490855
ACH-000036,-0.3764047811351767
ACH-000037,-0.1423897178648354
ACH-000039,-0.18089245989133607
ACH-000040,-0.13019797103059522
ACH-000041,-0.0620517628808496
ACH-000042,-0.2807404748387599
ACH-000045,-0.12353232690375099
ACH-000047,-0.0860355664649603
ACH-000052,-0.16191789361610087
ACH-000053,-0.3671822613543971
ACH-000054,-0.2187975441837933
ACH-000055,-0.104906474454323
ACH-000060,-0.23294442522786035
ACH-000067,-0.2542488986691554
ACH-000070,-0.004986386822837492
ACH-000075,-0.055824796998262934
ACH-000078,-0.2509526731066001
ACH-000082,0.03016996741395349
ACH-000085,-0.0073383036825349175
ACH-000086,-0.0321960072666456
ACH-000087,0.105092011556277
ACH-000092,-0.10009403039589547
ACH-000095,-0.12091523696956093
ACH-000097,-0.07112582681482746
ACH-000098,-0.23784080977044156
ACH-000099,-0.0864948360224692
ACH-000108,-0.2882825180171257
ACH-000113,-0.1635089334538332
ACH-000116,-0.06728047641827281
ACH-000118,-0.06795734574108069
ACH-000120,-0.1995028782208614
ACH-000123,-0.2892688175977079
ACH-000127,-0.02385441804963306
ACH-000128,-0.1377046527565388
ACH-000132,-0.11049866918125598
ACH-000133,-0.03764281717434485
ACH-000137,-0.060814628269678914
ACH-000138,-0.3853568690161438
ACH-000142,-0.20992747274418067
ACH-000143,-0.2973468739514217
ACH-000146,-0.17879725699170765
ACH-000148,-0.02803108802442441
ACH-000150,-0.08366691321819908
ACH-000152,-0.1857842819759285
ACH-000153,-0.006381268849108389
ACH-000159,-0.17196911235464213
ACH-000160,-0.1472921160385892
ACH-000163,-0.15464026396722744
ACH-000167,-0.33355637600878685
ACH-000168,-0.059478586699145825
ACH-000169,-0.05494952928136387
ACH-000178,-0.1137851498725556
ACH-000183,-0.4218092369250068
ACH-000188,-0.1232122468566634
ACH-000189,-0.1041019153262899
