,CCNH (902)
ACH-000004,-0.9398180284385176
ACH-000005,-1.400538104051235
ACH-000007,-0.8530577365741451
ACH-000009,-0.5783256356200942
ACH-000011,-0.8034242154605047
ACH-000012,-0.7820760544643378
ACH-000013,-0.7712719594496366
ACH-000014,-0.9574522818686722
ACH-000015,-1.010166443020324
ACH-000017,-0.8370851724151027
ACH-000018,-0.85947894780701
ACH-000019,-0.6852102447589273
ACH-000021,-0.8600801192837262
ACH-000022,-0.7434641464140463
ACH-000025,-0.6575525279165798
ACH-000028,-0.7383352585738506
ACH-000030,-0.7821136353276769
ACH-000035,-0.897321631485489
ACH-000036,-0.7720314115731057
ACH-000037,-1.1272651619595249
ACH-000039,-0.7159545929974852
ACH-000040,-0.8868718302165725
ACH-000041,-1.078671047550018
ACH-000042,-0.9391282588337238
ACH-000045,-0.8590749644482936
ACH-000047,-0.7110326671782798
ACH-000052,-0.9341164576693891
ACH-000053,-0.8438103345195782
ACH-000054,-0.8767545055037173
ACH-000055,-0.882698061189364
ACH-000060,-0.7820855552860905
ACH-000067,-0.9670704216882734
ACH-000070,-0.8247451901701792
ACH-000075,-0.7570198309422324
ACH-000078,-0.7776628558145684
ACH-000082,-1.0492928096825256
ACH-000085,-1.0604515446538083
ACH-000086,-0.9929456777323866
ACH-000087,-1.277843414133197
ACH-000092,-0.7071911734602618
ACH-000095,-0.7895706050204786
ACH-000097,-0.9565047159752368
ACH-000098,-0.7117232755164337
ACH-000099,-0.8233651302274698
ACH-000108,-1.0975250550588298
ACH-000113,-0.7107299904587207
ACH-000116,-0.9238868233087116
ACH-000118,-0.8589162842149753
ACH-000120,-1.008945182565443
ACH-000123,-0.95613471024372
ACH-000127,-0.6918667580569193
ACH-000128,-0.7943043094052628
ACH-000132,-0.7906804204913063
ACH-000133,-0.8493945101904644
ACH-000137,-1.1883379513323415
ACH-000138,-0.8316567604160819
ACH-000142,-0.899095768917255
ACH-000143,-0.8578711363021567
ACH-000146,-0.9025093740507558
ACH-000148,-1.0324377376441656
ACH-000150,-0.8259175300945958
ACH-000152,-0.8545628163457691
ACH-000153,-0.6893999101617836
ACH-000159,-0.7792904783763982
ACH-000160,-0.7696048363509418
ACH-000163,-0.8688120131854365
ACH-000167,-0.7455510176802955
ACH-000168,-1.0307542195550476
ACH-000169,-0.9625426445458454
ACH-000178,-0.8502798918774367
ACH-000183,-0.9450026567313792
ACH-000188,-0.7504498971408637
ACH-000189,-0.7091888593669455
ACH-000190,-0.6766353972667907
ACH-000198,-0.6855978177581461
ACH-000203,-0.9326878469016198
ACH-000204,-0.8784862152631339
ACH-000206,-0.8389709022094366
ACH-000207,-0.5787055728954874
ACH-000208,-0.9177357929679766
ACH-000210,-0.8738569553456835
ACH-000211,-0.7150588615134755
ACH-000215,-0.8373608492627079
ACH-000221,-1.093227189670591
ACH-000222,-0.8485819921011083
ACH-000223,-0.8612291392888263
ACH-000226,-0.9148024588583019
ACH-000227,-0.4779140761876252
ACH-000228,-0.9765512556958376
ACH-000231,-0.7414303144821374
ACH-000232,-0.7548621423198912
ACH-000233,-0.6725701230824247
ACH-000234,-0.6491489149503871
ACH-000235,-0.8232253942504193
ACH-000237,-0.8791544314432429
ACH-000238,-0.6913667408854507
ACH-000242,-0.6569337744560009
ACH-000243,-1.020567466320992
ACH-000244,-0.9707039704285026
ACH-000246,-0.7064971950347979
ACH-000248,-0.8046014249062791
ACH-000250,-0.6610653258431567
ACH-000251,-0.8727511466205227
ACH-000252,-1.1103998669241089
ACH-000253,-0.9796108609699098
ACH-000255,-0.925768348927314
ACH-000256,-0.8766878578339946
ACH-000257,-0.945236548497224
ACH-000258,-1.1164590198110238
ACH-000259,-0.9565165337723566
ACH-000260,-0.9398592802271556
ACH-000261,-0.8535531828109445
ACH-000262,-1.1128032971179398
ACH-000263,-0.6505396751075396
ACH-000264,-0.8223315691209283
ACH-000265,-0.7302470070123059
ACH-000266,-0.9725007475640453
ACH-000272,-0.8646184156954902
ACH-000274,-0.7278251275416636
ACH-000277,-0.7746857068664484
ACH-000278,-0.91518422982381
ACH-000279,-0.9527792001828564
ACH-000280,-0.7772126762990959
ACH-000281,-0.5806089645945974
ACH-000288,-0.6292755320939879
ACH-000291,-0.8683534703797022
ACH-000293,-0.5854222508738354
ACH-000294,-0.914895894557894
ACH-000295,-0.8802346203913028
ACH-000296,-1.1272868316912223
ACH-000302,-1.0522931657950128
ACH-000304,-0.7871785270811937
