,ZFR (51663)
ACH-000004,-0.3538823213655375
ACH-000005,-0.17569026456582731
ACH-000007,-0.33809980801595685
ACH-000009,-0.4515722962131848
ACH-000011,-0.5101720835795596
ACH-000012,-0.4198378454255793
ACH-000013,-0.2240165700925084
ACH-000014,-0.6631374393177952
ACH-000015,-0.21662146278089392
ACH-000017,-0.4209479215417953
ACH-000018,-0.2493525843859065
ACH-000019,-0.2149627474625473
ACH-000021,-0.2851795282445089
ACH-000022,-0.3465945624965839
ACH-000025,-0.3423622800473957
ACH-000028,-0.2663549649637233
ACH-000030,-0.132898516375873
ACH-000035,-0.36130543992793385
ACH-000036,-0.21408882437558235
ACH-000037,-0.44841402030013106
ACH-000039,-0.4084442733285832
ACH-000040,-0.2038656639904546
ACH-000041,-0.2737376477195336
ACH-000042,-0.711857304362749
ACH-000045,-0.14868215160798062
ACH-000047,-0.34222134736076704
ACH-000052,-0.5683187118055996
ACH-000053,-0.2711432263676769
ACH-000054,-0.13917047668557286
ACH-000055,-0.1142775653714836
ACH-000060,-0.4948641875906336
ACH-000067,-0.6021723970868399
ACH-000070,-0.0318926425040828
ACH-000075,-0.40407542043164296
ACH-000078,-0.3575506687863159
ACH-000082,-0.27481264205730577
ACH-000085,-0.014123086314949369
ACH-000086,-0.34388690270127226
ACH-000087,-0.4311914338052721
ACH-000092,-0.4025741783100105
ACH-000095,-0.4743362609475542
ACH-000097,-0.5371865704471124
ACH-000098,-0.3666139662941527
ACH-000099,-0.5454116110664088
ACH-000108,-0.4965463144055061
ACH-000113,-0.21856471045396664
ACH-000116,-0.4424903445380956
ACH-000118,-0.5982110397279125
ACH-000120,-0.4442843227073463
ACH-000123,-0.2641702212547184
ACH-000127,-0.3361566348597068
ACH-000128,-0.19552343507778205
ACH-000132,-0.3043485511299582
ACH-000133,-0.215403440986707
ACH-000137,-0.3865493893847177
ACH-000138,-0.3904030795771909
ACH-000142,-0.3132081676904221
ACH-000143,-0.5419347247100873
ACH-000146,-0.2826544493113926
ACH-000148,-0.4335939910904085
ACH-000150,-0.3907458981494827
ACH-000152,-0.22074617497738566
ACH-000153,-0.3625831183374168
ACH-000159,-0.31102954895034657
ACH-000160,-0.21087515092578502
ACH-000163,-0.3740707216305881
