,PDCL (5082)
ACH-000004,-0.30206015828311245
ACH-000005,-0.455322852751199
ACH-000007,-0.255352929708356
ACH-000009,-0.3531085940406982
ACH-000011,-0.6687658271315526
ACH-000012,0.11753795325641815
ACH-000013,-0.6172231861647408
ACH-000014,-0.680822045957822
ACH-000015,-0.6329457760406081
ACH-000017,-0.5354830989613005
ACH-000018,-0.6176561738291905
ACH-000019,-0.17681632049818558
ACH-000021,-0.2721417017064346
ACH-000022,-0.1272680846724771
ACH-000025,-0.2082113113972756
ACH-000028,-0.20840308012613407
ACH-000030,-0.5351439384104457
ACH-000035,-0.6341343912405606
ACH-000036,-0.4882984305491638
ACH-000037,-0.3327565065344205
ACH-000039,-0.21360740367554665
ACH-000040,-0.3964207032677392
ACH-000041,-0.6233719143656009
ACH-000042,-0.4582161416050088
ACH-000045,-0.09864689279172152
ACH-000047,-0.4913109531054135
ACH-000052,-0.7777411181662581
ACH-000053,-0.30941766758802786
ACH-000054,-0.2660241322598409
ACH-000055,-0.2529176926128519
ACH-000060,-0.5464497976188726
ACH-000067,-0.06830973034111329
ACH-000070,-0.1944345407241988
ACH-000075,-0.39415885484529023
ACH-000078,-0.4802505471336977
ACH-000082,-0.7712228453581702
ACH-000085,-0.09670206640905428
ACH-000086,-0.5369311154295912
ACH-000087,-0.8087433114475384
ACH-000092,-0.3121447815563557
ACH-000095,-0.3385925566886402
ACH-000097,-0.3921813181693688
ACH-000098,-0.2970685549020451
ACH-000099,-0.4737949667174505
ACH-000108,-0.4754572254820554
ACH-000113,-0.30228807494274673
ACH-000116,-0.3288584828427146
ACH-000118,-0.7224931331567725
ACH-000120,-0.5778392593980611
ACH-000123,-0.23641063469060505
ACH-000127,-0.4065283879762041
ACH-000128,-0.3597395604795989
ACH-000132,-0.6322295363509189
ACH-000133,-0.3794806844088948
ACH-000137,-0.2722192693845732
ACH-000138,-0.34832648153408985
ACH-000142,-0.4749551924579525
ACH-000143,-0.5800384597517944
ACH-000146,-0.4807864380966578
ACH-000148,-0.3856575430711065
ACH-000150,-0.7195522813383244
ACH-000152,-0.5711355033043096
ACH-000153,-0.27884768787205844
ACH-000159,-0.6180693656367003
ACH-000160,-0.3332891939527578
ACH-000163,-0.4245452724170931
ACH-000167,-0.16322434148109807
ACH-000168,-0.5315008336603553
ACH-000169,-0.2552063961818598
ACH-000178,-0.6005355823005729
ACH-000183,-0.6237865327117313
ACH-000188,-0.4642963516270912
ACH-000189,-0.390285952985906
ACH-000190,-0.3769551695222448
ACH-000198,-0.2435771685840303
ACH-000203,-0.1489831709758523
ACH-000204,-0.10285886385537656
ACH-000206,-0.908384781888448
ACH-000207,-0.19960857504207605
ACH-000208,0.04912461815747005
ACH-000210,0.03582419644174252
ACH-000211,-0.3782439511781308
ACH-000215,-0.42475129915431603
ACH-000221,-0.2709609136740025
ACH-000222,-0.5073166392371663
ACH-000223,-0.35297113228566257
ACH-000226,-0.5044577796189725
ACH-000227,-0.3615434969059403
ACH-000228,-0.4686288149385629
ACH-000231,-0.4309990467294071
ACH-000232,-0.5138463274546253
ACH-000233,-0.2091562290676037
ACH-000234,-0.4342127606338748
ACH-000235,-0.6193684087729131
ACH-000237,-0.4898656993478973
ACH-000238,-0.5002922293730531
ACH-000242,-0.3885615955620355
ACH-000243,-0.08673787733058322
ACH-000244,-0.6805806812329761
ACH-000246,-0.4845032118756422
ACH-000248,-0.5858960224797253
ACH-000250,-0.6207464342495813
ACH-000251,-0.6734154578120303
ACH-000252,-0.3708126632394848
ACH-000253,-0.2014510979059432
ACH-000255,-0.4038205437965013
ACH-000256,-0.4336740054160355
ACH-000257,-0.08535967591662959
ACH-000258,0.05440075214974411
ACH-000259,-0.41311164999875816
ACH-000260,-0.5428648061824763
ACH-000261,-0.4386335001002433
ACH-000262,-0.41643649283607664
ACH-000263,-0.29057794079689625
ACH-000264,-0.17300637269982025
ACH-000265,-0.25995314545106674
ACH-000266,-0.5849303823250217
ACH-000272,-0.3732326022648717
ACH-000274,-0.5968626530590959
ACH-000277,-0.29777092635506697
ACH-000278,-0.5145718038902342
ACH-000279,-0.3467233357329643
ACH-000280,-0.4843488147700853
ACH-000281,-0.4106557964030551
ACH-000288,-0.5766123155769468
ACH-000291,-0.3571384938979783
ACH-000293,-0.4810849372623045
ACH-000294,-0.3396365703564514
ACH-000295,-0.3005040201836171
ACH-000296,-0.2758435512585305
ACH-000302,-0.5218725985650905
ACH-000304,-0.42235762541248106
ACH-000307,-0.34786397624508075
ACH-000308,-0.4955835877169193
ACH-000310,-0.20501816510507134
ACH-000311,-0.26790633385624946
ACH-000312,-0.5388101140049175
ACH-000315,-0.964072031120384
ACH-000316,-0.5526693478221887
ACH-000317,-0.3411607986106832
ACH-000318,-0.5186287319011168
ACH-000319,-0.4108712234483641
ACH-000320,-0.4188973650988311
ACH-000322,-0.3690735231714555
ACH-000323,-0.5687809198679049
ACH-000324,-0.5656613393589388
ACH-000329,-0.4002286391662268
ACH-000330,-0.1839326144063529
ACH-000331,-0.4023466885121228
ACH-000332,-0.2265320409032035
ACH-000334,-0.2397124184920583
ACH-000335,-0.6328406776755728
ACH-000336,-0.8069800679315958
ACH-000337,-0.4467219806073658
ACH-000338,-0.4119351011065032
ACH-000339,-0.331835770379523
ACH-000341,-0.5207588306294808
ACH-000348,-0.3632916070129381
ACH-000350,-0.2315635340907033
ACH-000352,-0.14716383062234045
ACH-000356,-0.6019922180203442
ACH-000361,-0.3303241655416586
ACH-000362,-0.483390321346646
ACH-000363,-0.16125242285088873
ACH-000364,-0.8221274797988655
ACH-000365,-0.5406648550590523
ACH-000366,-0.30525180629316623
ACH-000368,-0.6976179406953814
ACH-000374,-0.4576950633483536
ACH-000375,-0.4186825997754844
ACH-000376,-0.2807882173840441
ACH-000381,-0.1054019867640912
ACH-000383,-0.4872538232702341
ACH-000387,-0.6231504269223391
ACH-000389,-0.6014526117774538
ACH-000390,-0.2208308401862091
ACH-000393,-0.23880082676780146
ACH-000395,-0.4977938024051666
ACH-000396,-0.2985588610001212
ACH-000397,-0.003527362193517987
ACH-000401,-0.7685007600962165
ACH-000402,-0.38206634537714346
ACH-000403,-0.3989204831586987
ACH-000404,-0.2325048614500552
ACH-000406,-0.5509697974962462
ACH-000407,-0.33213587140089984
ACH-000408,-0.11124411274314244
ACH-000410,-0.30778270216555226
ACH-000411,-0.5034426237304381
ACH-000414,-0.4498746917318598
ACH-000415,-0.2944140951639842
ACH-000416,-0.4217643617474193
ACH-000420,-0.7158427944008694
ACH-000421,-0.3993723953373192
ACH-000424,-0.5150298209342636
ACH-000425,-0.6583442342457254
ACH-000426,-0.2627972716491268
ACH-000427,-0.2478690045479032
ACH-000433,-0.6757489983358841
ACH-000435,-0.1840737459528113
ACH-000436,-0.4897710717721503
ACH-000444,-0.3311798156586084
ACH-000445,-0.42468657725487935
ACH-000448,-0.2737261193720621
