,ASPRV1 (151516)
ACH-000004,0.00693661159516511
ACH-000005,-0.08755384001035464
ACH-000007,-0.2437790460999797
ACH-000009,-0.1629296779983413
ACH-000011,-0.3022862543663601
ACH-000012,-0.16258135484010058
ACH-000013,-0.16641176954315592
ACH-000014,-0.2061892019446456
ACH-000015,-0.1351950076017358
ACH-000017,-0.04604594077257094
ACH-000018,-0.20604515571107784
ACH-000019,-0.09985815490643372
ACH-000021,-0.15698881844198792
ACH-000022,-0.16044797100778532
ACH-000025,-0.1846931980385232
ACH-000028,-0.24110550169716036
ACH-000030,-0.15255287369790482
ACH-000035,-0.15330259876264213
ACH-000036,-0.2122684743192951
ACH-000037,-0.17004423421850573
ACH-000039,-0.4676102880056476
ACH-000040,-0.13154242869456462
ACH-000041,-0.2710912162695441
ACH-000042,-0.19863841232667284
ACH-000045,-0.09789063637632274
ACH-000047,-0.22306110387193345
ACH-000052,-0.1519292529012879
ACH-000053,-0.017141327012109558
ACH-000054,-0.21883618879689534
ACH-000055,0.020119360541721767
ACH-000060,-0.21090821971959792
ACH-000067,-0.024588779439017026
ACH-000070,0.04224752942153772
ACH-000075,-0.2718216927324417
ACH-000078,-0.11532423709914875
ACH-000082,-0.1474766657972884
ACH-000085,-0.17872359678188462
ACH-000086,-0.1403543841385195
ACH-000087,-0.14531922260193933
ACH-000092,-0.234285136216858
ACH-000095,-0.2576268912984697
ACH-000097,-0.24779793006852285
ACH-000098,-0.09372750912814047
ACH-000099,-0.2097253024783355
ACH-000108,-0.07835642769799292
ACH-000113,-0.20628223468191145
ACH-000116,-0.1968777466248084
ACH-000118,-0.16754904206440094
ACH-000120,-0.16772691390621353
ACH-000123,-0.08782025430228367
ACH-000127,-0.16746491265202704
ACH-000128,-0.2433125237132012
ACH-000132,-0.31317957642989896
ACH-000133,-0.24791520124025884
ACH-000137,-0.12667324125984591
ACH-000138,-0.1953390444672755
ACH-000142,-0.3135781612452612
ACH-000143,-0.20891976455061392
ACH-000146,-0.07254496945362507
ACH-000148,-0.11500105181760704
ACH-000150,-0.14447625870160058
ACH-000152,-0.1903884320260109
ACH-000153,0.14330661688256766
ACH-000159,-0.3298737620055365
ACH-000160,-0.09287378363105392
ACH-000163,-0.02072572182787542
ACH-000167,0.2800838491981125
ACH-000168,-0.4295130549967043
ACH-000169,-0.13398824850377253
ACH-000178,-0.08599334631588475
ACH-000183,0.09855989639618473
ACH-000188,-0.28745298782785444
ACH-000189,-0.4785107159546269
ACH-000190,-0.18027682160386208
ACH-000198,-0.08667567003641308
ACH-000203,-0.0808286304241621
ACH-000204,-0.1844022484825311
ACH-000206,-0.2058644782067924
ACH-000207,-0.025560095116343717
ACH-000208,-0.004839311375082439
ACH-000210,-0.04097175292609431
ACH-000211,-0.2837248692595861
ACH-000215,-0.147693044129713
ACH-000221,-0.21875538045544687
ACH-000222,-0.1106832361886924
ACH-000223,-0.13170129477432813
ACH-000226,-0.2520700873805235
ACH-000227,-0.3647070829401732
ACH-000228,-0.06671841735909867
ACH-000231,-0.10940706747768908
ACH-000232,-0.2747758522254333
ACH-000233,-0.04647815720086995
ACH-000234,-0.2006497668444025
