,SPDYE2 (441273)
ACH-000004,-0.26687350505569984
ACH-000005,-0.1982536089023666
ACH-000007,-0.09954793922356546
ACH-000009,-0.06509687534691568
ACH-000011,0.03684524806298245
ACH-000012,0.017369243359487363
ACH-000013,-0.12095994300469726
ACH-000014,-0.0783207963015169
ACH-000015,0.03456417260437667
ACH-000017,0.26235422029276073
ACH-000018,-0.25175126668041964
ACH-000019,-0.011903613666811095
ACH-000021,-0.420212623967574
ACH-000022,-0.23545790974780575
ACH-000025,-0.22892543285247136
ACH-000028,-0.19325659824216293
ACH-000030,0.11253517387843284
ACH-000035,-0.0490884454191126
ACH-000036,-0.2883769585397264
ACH-000037,-0.05965651825851812
ACH-000039,-0.15840921701266125
ACH-000040,-0.3049124342382601
ACH-000041,-0.15730178544008444
ACH-000042,-0.21421551864133312
ACH-000045,-0.17258512805752674
ACH-000047,-0.3020408337005627
ACH-000052,-0.21282543645018948
ACH-000053,-0.1557022597281312
ACH-000054,-0.22157151758853366
ACH-000055,-0.5408730852957347
ACH-000060,-0.2310222162345208
ACH-000067,-0.14626325339212973
ACH-000070,-0.15654243827182482
ACH-000075,-0.12787939405565724
ACH-000078,0.022064581534670044
ACH-000082,0.04326714326429674
ACH-000085,-0.1120423586450362
ACH-000086,-0.091942390990286
ACH-000087,0.003676358800526675
ACH-000092,0.1107882670779346
ACH-000095,-0.11127597584448763
ACH-000097,-0.3408574008521617
ACH-000098,-0.02684104326440084
ACH-000099,-0.07623181343225087
ACH-000108,-0.2496414785587177
ACH-000113,-0.013447559799758714
ACH-000116,-0.14267960925980094
ACH-000118,-0.061425726000899364
ACH-000120,-0.2613241748045573
ACH-000123,-0.1166040222224113
ACH-000127,-0.06767079139927952
ACH-000128,-0.2904439875104873
ACH-000132,0.003488619150225376
ACH-000133,-0.2020775055642838
ACH-000137,-0.13506539844465892
ACH-000138,-0.03641976045557487
ACH-000142,-0.061927218066011924
ACH-000143,-0.13371364622907092
ACH-000146,-0.07517443464193284
ACH-000148,-0.039257575294623766
ACH-000150,0.06154853998456751
ACH-000152,-0.10244215821638177
ACH-000153,-0.5060994552170632
ACH-000159,0.0036110712068453564
ACH-000160,0.03894893804601525
ACH-000163,-0.3966605601455353
ACH-000167,0.1108796988153264
ACH-000168,0.025848534200408342
ACH-000169,-0.15190182628016508
ACH-000178,-0.0663646022150994
ACH-000183,-0.2379098826130552
ACH-000188,0.002011144891519029
ACH-000189,-0.08652356810470294
ACH-000190,-0.205910805801144
ACH-000198,0.04667978815006429
ACH-000203,-0.38288898183252457
ACH-000204,0.06798658653085203
ACH-000206,0.15903900838183066
ACH-000207,0.1539825348393101
ACH-000208,-0.15081655079824596
ACH-000210,-0.12679185973621704
ACH-000211,-0.047416962014894856
ACH-000215,-0.009844510197078814
ACH-000221,-0.00980629567365613
ACH-000222,-0.1315877167169142
ACH-000223,-0.009729968020934414
ACH-000226,-0.031195999466462614
ACH-000227,0.012290928774639987
ACH-000228,-0.3074699445785811
ACH-000231,-0.17533001959105254
ACH-000232,-0.21075075283681047
ACH-000233,-0.20184914259444706
ACH-000234,0.05452219496268128
ACH-000235,-0.1665358892758059
ACH-000237,-0.3294193889276041
ACH-000238,-0.2784789312481284
ACH-000242,-0.3015799206599899
ACH-000243,-0.05567785309620578
ACH-000244,-0.19911237266376847
ACH-000246,-0.07124483188270976
ACH-000248,0.10169313655865808
ACH-000250,-0.001100245378092526
ACH-000251,0.10233942375919644
ACH-000252,-0.36605138684278826
ACH-000253,-0.1331948097783146
ACH-000255,-0.0394802493263307
ACH-000256,-0.014472301564586247
ACH-000257,-0.18809725248162126
ACH-000258,0.0046088140094122255
ACH-000259,-0.12019999469836568
ACH-000260,-0.05741821146948381
ACH-000261,-0.12614613614952674
ACH-000262,-0.22526084875087066
ACH-000263,-0.02418676652709564
ACH-000264,-0.003997467632607261
ACH-000265,-0.08570642581941318
ACH-000266,-0.21113308437656192
ACH-000272,-0.1445799718248783
ACH-000274,-0.3599137994853821
ACH-000277,0.03342912096214493
ACH-000278,-0.121726978496439
ACH-000279,-0.27937054728567146
ACH-000280,-0.07904530238007874
ACH-000281,-0.24655104289357296
ACH-000288,-0.18619675546784245
ACH-000291,-0.14083591750048408
ACH-000293,0.19868544022095133
ACH-000294,0.0062342841612067785
ACH-000295,-0.2618662404317427
ACH-000296,-0.2992689271303197
ACH-000302,-0.0810732671884348
ACH-000304,0.11210515415925612
ACH-000307,-0.08327624375286669
ACH-000308,-0.12550530680362254
ACH-000310,0.024280392963632942
ACH-000311,-0.05033481024887073
ACH-000312,-0.16789555044478646
ACH-000315,-0.08629657723467027
ACH-000316,-0.13802674721274585
ACH-000317,0.014828381638312597
ACH-000318,0.01532122992227031
ACH-000319,-0.23762583733239015
ACH-000320,-0.2790175515075536
ACH-000322,0.06139937667702106
ACH-000323,-0.08419112934059401
ACH-000324,-0.185735557907554
ACH-000329,0.05882972616309936
ACH-000330,-0.3034977406250809
ACH-000331,-0.08084756674944397
ACH-000332,-0.16227010391642308
ACH-000334,-0.11432361820181035
ACH-000335,-0.20989426326506225
ACH-000336,-0.17620346968253464
ACH-000337,-0.1894839766450581
ACH-000338,-0.7632761692411434
ACH-000339,-0.12545475431155312
ACH-000341,-0.0609653570889506
ACH-000348,0.056485209332692174
ACH-000350,0.004434314132195277
ACH-000352,-0.09914448974163884
ACH-000356,0.030317929504694287
ACH-000361,-0.07940103577848921
ACH-000362,0.13483175400403438
ACH-000363,0.05008191691308658
ACH-000364,-0.1968638796853062
ACH-000365,-0.13250966004701958
ACH-000366,-0.2142337427014352
ACH-000368,-0.1356262330648582
ACH-000374,-0.4383517526611362
ACH-000375,-0.11777261344781673
ACH-000376,-0.07044870256839758
ACH-000381,-0.14876143182812027
ACH-000383,-0.060941423443334426
ACH-000387,-0.2356365457922193
ACH-000389,-0.1100618787752246
ACH-000390,-0.05338194764033698
ACH-000393,-0.33166151671248234
ACH-000395,-0.045952839611073715
ACH-000396,-0.27551545009983597
ACH-000397,-0.18280473684731244
ACH-000401,0.24985617027115856
ACH-000402,0.018616809535710283
ACH-000403,-0.20759601368460406
ACH-000404,0.13269193010745706
ACH-000406,-0.07944695281867252
ACH-000407,-0.10864683319364213
ACH-000408,-0.013100656563904122
ACH-000410,0.07831860221212023
ACH-000411,-0.04110165676634887
ACH-000414,-0.09852517271634087
ACH-000415,-0.2534961982247382
ACH-000416,-0.06409172339622697
ACH-000420,-0.16467149918218832
ACH-000421,-0.04216063166390326
ACH-000424,-0.17396647395805867
ACH-000425,-0.032040638109843166
ACH-000426,0.07356549434306993
ACH-000427,-0.0625736807338152
ACH-000433,-0.2252152827052789
ACH-000435,-0.02452914236995884
ACH-000436,-0.0568403516935177
ACH-000444,-0.10006266793026093
ACH-000445,-0.25530180358671223
ACH-000448,-0.09216292008886423
ACH-000450,0.35220333053986314
ACH-000452,-0.4606469896977119
ACH-000454,0.1388275910173293
ACH-000458,-0.12653240337855845
ACH-000459,-0.04633519781036748
ACH-000460,-0.0377428472667082
ACH-000461,-0.26456413306351545
ACH-000463,-0.17349461849452236
ACH-000464,-0.2564712334030785
ACH-000466,-0.13891176464965446
ACH-000467,0.02671541855807484
ACH-000468,-0.1363399558218497
ACH-000469,-0.09764747891609196
ACH-000470,-0.16710873534795168
ACH-000471,-0.184675187505602
ACH-000472,-0.16436351727810766
ACH-000473,-0.01084818974430046
ACH-000475,-0.11866762900263525
ACH-000476,-0.13247298146830408
ACH-000477,0.32442864753316203
ACH-000479,-0.2928077179108129
ACH-000480,-0.1374372372739828
ACH-000481,-0.09217441282323027
ACH-000483,0.2364278290409197
ACH-000484,-0.2329868933788859
ACH-000485,-0.18113178373447889
ACH-000486,-0.07132773969184036
ACH-000487,-0.09034427169510356
ACH-000488,-0.1049365864966911
ACH-000490,0.007384025109505683
ACH-000491,-0.08560421293295632
ACH-000495,-0.04752782744750041
ACH-000496,-0.0939435057074492
ACH-000499,-0.05360173316514833
ACH-000500,-0.36152188873521146
ACH-000502,-0.07287246620645578
ACH-000503,-0.14644378195964053
ACH-000505,-0.08499796328906815
ACH-000507,0.035382378070787764
ACH-000510,-0.09506682524593747
ACH-000511,-0.12728706964882255
ACH-000512,-0.2784572368880213
ACH-000516,0.10265155842405582
ACH-000517,0.026277363513255998
ACH-000518,0.211616380396436
ACH-000520,-0.1648591337250563
ACH-000521,-0.10410341419664856
ACH-000522,-0.17355552680115005
ACH-000524,0.09611988672572558
ACH-000527,-0.15223875951893112
ACH-000528,-0.1510351873465695
ACH-000537,-0.2007123406541292
ACH-000541,-0.2345904014598893
ACH-000542,-0.22473266589257465
ACH-000544,-0.2837352276831045
ACH-000545,-0.057237457101334994
ACH-000547,-0.09928700608883892
ACH-000548,-0.07141977158949145
ACH-000549,-0.023134607731938837
ACH-000550,-0.2752806810058029
ACH-000552,-0.13501204371504688
ACH-000556,0.039961504907789366
ACH-000557,-0.0949769597875598
ACH-000569,-0.3083669300982519
ACH-000570,-0.05382984452121885
ACH-000571,0.0843349600025379
ACH-000573,-0.2338821002242792
ACH-000576,-0.07350506435975156
ACH-000579,-0.18521440701162814
ACH-000580,0.04981338063593646
ACH-000584,-0.14397279735264312
ACH-000585,0.07318827590991707
ACH-000588,-0.3370802969120686
ACH-000589,-0.2125020342555906
ACH-000591,-0.15102960763299045
ACH-000593,-0.3131792537400028
ACH-000600,-0.011336417089497808
ACH-000601,-0.12071843659169634
ACH-000605,-0.1237514570866286
ACH-000606,-0.16173196516782998
ACH-000608,-0.04935098514036468
ACH-000614,-0.10228249170657006
ACH-000616,-0.2683052436739342
ACH-000618,-0.011430988611530026
ACH-000619,-0.1405837110975236
ACH-000620,-0.054937931612326664
ACH-000621,-0.16222665708006556
ACH-000622,0.05588478590143661
ACH-000623,0.1173629378291168
ACH-000624,-0.1860787686141595
ACH-000627,-0.11719204782326152
ACH-000630,-0.2628026473849739
ACH-000631,-0.09601006411377412
ACH-000632,-0.11587759045411852
ACH-000633,-0.035177696759216226
ACH-000637,-0.04146788609174375
ACH-000638,-0.00858646662346166
ACH-000646,-0.07511899671112998
ACH-000647,0.05161829101640919
ACH-000648,0.1398135977123657
ACH-000649,-0.061379737614808375
ACH-000651,0.012199425212363248
ACH-000652,-0.08051192391017098
ACH-000653,-0.19082936498185735
ACH-000657,-0.057151450580659076
ACH-000658,0.006682000143623431
ACH-000661,-0.04608939957508716
ACH-000662,-0.5199196398066749
