,TIPARP (25976)
ACH-000004,-0.2283129559221039
ACH-000005,0.01943778404174503
ACH-000007,-0.26966101090967115
ACH-000009,0.03810111807706524
ACH-000011,-0.8348380058096369
ACH-000012,-0.4915553367007741
ACH-000013,-0.14698885566967793
ACH-000014,0.08497939586851394
ACH-000015,-0.08724828942792785
ACH-000017,0.07086418276163735
ACH-000018,-0.33149665148422386
ACH-000019,-0.20612021072201925
ACH-000021,-0.044759327268190284
ACH-000022,-0.006997134463715763
ACH-000025,-0.6810772263975673
ACH-000028,-0.06474569616272646
ACH-000030,-0.14656198063909062
ACH-000035,-0.17959005837318695
ACH-000036,-0.41876895406210496
ACH-000037,-0.2515060187351609
ACH-000039,-0.168581349723207
ACH-000040,-0.6389224015473062
ACH-000041,-0.1862299951246707
ACH-000042,-0.1366059868585512
ACH-000045,-0.1807889298481642
ACH-000047,-0.39525294539370576
ACH-000052,-0.801563711705732
ACH-000053,-0.19859759145958608
ACH-000054,-0.3519847714569187
ACH-000055,-0.2053970135707982
ACH-000060,-0.4297522400697886
ACH-000067,-0.7775370625526921
ACH-000070,-0.01837439850620653
ACH-000075,-0.1865067183445102
ACH-000078,0.02814043800214047
ACH-000082,-0.3857307072181197
ACH-000085,-0.8002681126990034
ACH-000086,-0.007865375455503925
ACH-000087,-0.6674317102520382
ACH-000092,-0.2980592723519909
ACH-000095,-0.17164141471806355
ACH-000097,-0.4658306197201522
ACH-000098,-0.28613542941126696
ACH-000099,0.12289411117618446
ACH-000108,-0.1614995944686925
ACH-000113,-0.24157907793532726
ACH-000116,-0.08774666143048697
ACH-000118,-0.6242307922102727
ACH-000120,-0.16612416571627533
ACH-000123,0.008317523085890842
ACH-000127,-0.1965183346902622
ACH-000128,-0.13596053486763668
ACH-000132,-0.5252420232682153
ACH-000133,-0.35475525210140585
ACH-000137,-0.17608539646997487
ACH-000138,-0.0598824500116258
ACH-000142,0.06514623071185613
ACH-000143,0.0060662463585061405
ACH-000146,-0.12267247733478115
ACH-000148,-0.0588055324545145
ACH-000150,-0.4112100798439924
ACH-000152,-0.1761206115599387
ACH-000153,-0.2567119475096639
ACH-000159,0.044373218816771066
ACH-000160,-0.19585899190066505
ACH-000163,-0.5771744175776282
ACH-000167,-0.2205918518997286
ACH-000168,0.0987728758256143
ACH-000169,-0.3754411644633695
ACH-000178,-0.2223990548116472
ACH-000183,-0.049488659124117734
ACH-000188,-0.5713071313935296
ACH-000189,-0.256274641981469
ACH-000190,-0.5079117952341365
ACH-000198,-0.5805312859702059
ACH-000203,-0.20465215708028564
