,RCOR1 (23186)
ACH-000410,-0.4676134310652625
ACH-000411,-0.4577265653448555
ACH-000414,-0.5098203053185366
ACH-000415,-0.25218639517154484
ACH-000416,-0.4199056225500745
ACH-000420,-0.2313397204942832
ACH-000421,-0.5659495610196368
ACH-000424,-0.32230649122796395
ACH-000425,-0.4094603191668803
ACH-000426,-0.3876984013971686
ACH-000427,-0.5304293508181256
ACH-000433,-0.08559776148995485
ACH-000435,-0.7818290624349751
ACH-000436,-0.4478292201719621
ACH-000444,-0.29011887731157804
ACH-000445,-0.2912151877966801
ACH-000448,-0.4814425304578325
ACH-000450,-0.3139367894046117
ACH-000452,-0.06902932376603321
ACH-000454,-0.5491557815170314
ACH-000458,-0.31654306881318817
ACH-000459,-0.2952206415240793
ACH-000460,-0.3845682884096788
ACH-000461,-0.5085821821416752
ACH-000463,-0.4474677013594575
ACH-000464,-0.6314403837676705
ACH-000466,-0.7393000233672294
ACH-000467,-0.5773443657353355
ACH-000468,-0.34304457079928485
ACH-000469,-0.25389682139990205
ACH-000470,-0.5734215840145779
ACH-000471,-0.3147981843832077
ACH-000472,-0.5406028659389296
ACH-000473,-0.33628562622107105
ACH-000475,-0.6532883231499834
ACH-000476,-0.3950224048067742
ACH-000477,-0.9451134328577327
ACH-000479,-0.34187532706521023
ACH-000480,-0.3665191422532397
ACH-000481,-0.6445320904230938
ACH-000483,-0.4009560435620879
ACH-000484,-0.5683461958009128
ACH-000485,-0.462267854080514
ACH-000486,-0.5472814332027346
ACH-000487,-0.8878376056289718
ACH-000488,-0.4548068966699565
ACH-000490,-0.06985075288922178
ACH-000491,-0.5977826473388133
ACH-000495,-0.416788879482022
ACH-000496,-0.7673539359710293
ACH-000499,-0.4964793932959074
ACH-000500,-0.8801845919408507
ACH-000502,-0.34661221587590946
ACH-000503,-0.5515758284588946
ACH-000505,-0.5452826183943664
ACH-000507,-0.38071786747940217
ACH-000510,-0.5806767886568719
ACH-000511,-0.4549210377241471
ACH-000512,-0.7843952261964914
ACH-000516,-0.32484230251675944
ACH-000517,-0.5132246195828535
ACH-000518,-0.5830723038241232
ACH-000520,-0.35154261730455144
ACH-000521,-0.4893580743861794
ACH-000522,-0.3530197704081677
ACH-000524,-0.324318901019195
ACH-000527,-0.5871173140727717
ACH-000528,-0.3096317561126098
ACH-000537,-0.4312356206181017
ACH-000541,-0.5411644052116029
ACH-000542,-0.6373999230395982
ACH-000544,-0.28099505898183963
ACH-000545,-0.3556900850296203
ACH-000547,-0.048934311755508386
ACH-000548,-0.35230863223354325
ACH-000549,-0.6503461363208204
ACH-000550,-0.4350177520516493
ACH-000552,-0.5336722876309329
ACH-000556,-0.34372781004979897
ACH-000557,-0.6830917077180008
ACH-000569,-0.3423474409061687
ACH-000570,-0.1844161601747999
ACH-000571,-0.22508173708177004
ACH-000573,-0.22285348746328087
ACH-000576,-0.5567453627831193
ACH-000579,-0.5228760416477652
ACH-000580,-0.5857554011274929
ACH-000584,-0.3417693971008149
ACH-000585,-0.6873532897008799
ACH-000588,-0.5865559165007819
ACH-000589,-0.5359725671209056
ACH-000591,-0.3218247423361856
ACH-000593,-0.1578330427629456
ACH-000600,-0.2504054221771275
ACH-000601,-0.4131042938259475
ACH-000605,-0.24542066355020106
ACH-000606,-0.3225720372624581
ACH-000608,-0.3968545885718533
ACH-000614,-0.9552830033680796
ACH-000616,-0.33210817162298645
ACH-000618,-0.27901284661249603
ACH-000619,-0.4237622949052811
ACH-000620,-0.407372040175822
ACH-000621,-0.3882703557141971
ACH-000622,-0.40441468580538265
ACH-000623,-0.2831595593962875
ACH-000624,-0.4493603043425771
ACH-000627,-0.23408960281069896
ACH-000630,-0.3509266194246147
ACH-000631,-0.35823897995949844
ACH-000632,-0.3393211900725417
ACH-000633,-0.656949570135362
ACH-000637,-0.7095709320234759
ACH-000638,-0.3218646929826933
ACH-000646,-0.6430996091011006
ACH-000647,-0.4866116998234664
ACH-000648,-0.23765321610761544
ACH-000649,-0.3827262980782037
ACH-000651,-0.28681931139976224
ACH-000652,-0.5272630699334372
ACH-000653,-0.4420546465183797
ACH-000657,-0.28502734120145634
ACH-000658,-0.5927343055966525
ACH-000661,-0.3313384991996498
ACH-000662,-0.6288670094981003
ACH-000663,-0.4827769358804967
ACH-000665,-0.32807505480698906
ACH-000671,-0.3904373093347959
ACH-000672,-0.6329060138946199
ACH-000673,-0.4362662770498091
ACH-000676,-0.4678717810666838
ACH-000677,-0.2576442415188266
ACH-000681,-0.44876150508638585
ACH-000683,-0.3845579950317214
ACH-000684,-0.01310144491756877
ACH-000688,-0.3867822938533039
ACH-000693,-0.19001816861616555
ACH-000694,-0.4776354664207989
ACH-000695,-0.6580801655305766
ACH-000696,-0.5089072173841274
ACH-000697,-0.5897675898807463
ACH-000699,-0.2307894066974492
ACH-000701,-0.4953783789918949
ACH-000706,-0.4592316265881754
ACH-000711,-0.6566412421766954
ACH-000713,-0.3178352038210077
ACH-000714,-0.5100553843126062
ACH-000718,-0.4001528010921667
ACH-000720,-0.642885542811457
ACH-000721,-0.540304711877116
ACH-000724,-0.3498494787649524
ACH-000725,-0.6962371766034019
ACH-000732,-0.7278241487734951
ACH-000734,-0.6035531676683318
ACH-000735,-0.6130952529573135
ACH-000736,-0.2746271590513813
ACH-000738,-0.3764903142520459
ACH-000746,-0.3927620178798102
ACH-000747,-0.3559996094119224
ACH-000748,-0.5568311233335478
ACH-000753,-0.3018290735267333
ACH-000756,-0.16132783758856026
ACH-000757,-0.6598097251866317
ACH-000758,-0.17818650492688556
ACH-000760,-0.3315178081073307
ACH-000762,-0.5764974707187048
ACH-000763,-0.44948195134131225
ACH-000764,-0.3916349757211047
ACH-000765,-0.6142924589176504
ACH-000766,-0.5649250500660495
ACH-000767,-0.7452126418492022
ACH-000768,-0.4657846232363195
ACH-000769,-0.4362193074726145
ACH-000770,-0.7073016152231916
ACH-000771,-0.6348695100611601
ACH-000773,-0.6370986567149899
ACH-000776,-0.2951937184059928
ACH-000777,-0.5131161374166174
ACH-000778,-0.339213106087332
ACH-000781,-0.4278772164649068
ACH-000782,-0.4698045212422989
ACH-000783,-0.6208736162436197
ACH-000784,-0.3147791036110439
ACH-000785,-0.8452967495406525
ACH-000787,-0.3829021156775483
ACH-000788,-0.5142440517154372
ACH-000791,-0.5043905751002843
ACH-000792,-0.008446597647549443
