,ANKLE2 (23141)
ACH-000004,-1.4207416523990402
ACH-000005,-1.6795713182252292
ACH-000007,-1.1479502178207532
ACH-000009,-1.4081021211956235
ACH-000011,-1.3649268498978442
ACH-000012,-1.4124400331547018
ACH-000013,-1.5289215735379529
ACH-000014,-1.4134306066436024
ACH-000015,-1.4613114705684127
ACH-000017,-1.5357080402752925
ACH-000018,-1.4660099593351086
ACH-000019,-1.4240359235631035
ACH-000021,-1.3609557752118009
ACH-000022,-1.3135945825201558
ACH-000025,-1.3165412345380356
ACH-000028,-1.2940945966963495
ACH-000030,-1.3486233855032712
ACH-000035,-1.3291378344037454
ACH-000036,-1.4473042546742036
ACH-000037,-1.124907812071679
ACH-000039,-1.2617170035948204
ACH-000040,-1.227902238185095
ACH-000041,-1.293472304994781
ACH-000042,-1.4788504656273112
ACH-000045,-1.5424123532285237
ACH-000047,-1.503702575587726
ACH-000052,-1.2494583298645776
ACH-000053,-1.4529785926335168
ACH-000054,-1.28223178422873
ACH-000055,-1.5797883732646392
ACH-000060,-1.2171399898065094
ACH-000067,-1.3573348618064518
ACH-000070,-1.4273606567646588
ACH-000075,-1.3693086120261049
ACH-000078,-1.386063137325985
ACH-000082,-1.5277192389233591
ACH-000085,-1.2654109304185233
ACH-000086,-1.4429928313192388
ACH-000087,-1.3151056665196201
ACH-000092,-1.365760055774622
ACH-000095,-1.480483642378019
ACH-000097,-1.4611396151262963
ACH-000098,-1.459407710675492
ACH-000099,-1.3979636926029375
ACH-000108,-1.3825075489357104
ACH-000113,-1.4651224769812523
ACH-000116,-1.324337915485363
ACH-000118,-1.3868465513688863
ACH-000120,-1.3339716175032106
ACH-000123,-1.4764122613049049
ACH-000127,-1.3769402751486812
ACH-000128,-1.5835829775878845
ACH-000132,-1.2137154673882489
ACH-000133,-1.3455471141521411
ACH-000137,-1.2234715223277914
ACH-000138,-1.3692636520111794
ACH-000142,-1.4938794924757957
ACH-000143,-1.6131405292313443
ACH-000146,-1.6109376875748975
ACH-000148,-1.5495493454704194
ACH-000150,-1.4571351264871015
ACH-000152,-1.499429798768025
ACH-000153,-1.241627966010084
ACH-000159,-1.1757340785654944
ACH-000160,-1.7043485723892702
ACH-000163,-1.4184575157469703
ACH-000167,-1.7312824350417932
ACH-000168,-1.290400124707666
ACH-000169,-1.2800402830618314
ACH-000178,-1.3585393639342942
ACH-000183,-1.4192722638869848
ACH-000188,-1.4000472698394486
ACH-000189,-1.3775839839768933
ACH-000190,-1.7268648676566782
ACH-000198,-1.5319677984301667
ACH-000203,-1.3020742638900349
ACH-000204,-1.0360095124854014
ACH-000206,-1.342477510786635
ACH-000207,-1.4836394575398348
ACH-000208,-1.145554163945817
ACH-000210,-1.2683183771388888
ACH-000211,-1.3472406046200072
ACH-000215,-1.44136840433323
ACH-000221,-1.6332451383547768
ACH-000222,-1.4481467680128663
ACH-000223,-1.5785033490738454
ACH-000226,-1.3464651438989206
ACH-000227,-1.6416598217250278
ACH-000228,-1.59770495439451
ACH-000231,-1.3523739969733493
ACH-000232,-1.5273480685184282
ACH-000233,-1.4108790182310502
ACH-000234,-1.242887612581002
ACH-000235,-1.4607980380947752
ACH-000237,-1.488474316241757
ACH-000238,-1.439508781249219
ACH-000242,-1.6576981353141542
ACH-000243,-1.4187263728565256
ACH-000244,-1.2703237749372596
ACH-000246,-1.286199671038313
ACH-000248,-1.559736605813256
ACH-000250,-1.1424891402421058
ACH-000251,-1.4438939528256696
ACH-000252,-1.4176758628312645
ACH-000253,-1.3442572541319942
ACH-000255,-1.3083069073349407
ACH-000256,-1.366096368629245
ACH-000257,-1.2951036848160946
ACH-000258,-1.2212868579647158
ACH-000259,-1.547380629679477
ACH-000260,-1.4415935446538493
ACH-000261,-1.3648542283506229
ACH-000262,-1.417128980360171
ACH-000263,-1.3806808758874678
ACH-000264,-1.4790424420642423
ACH-000265,-1.3922623541676538
ACH-000266,-1.494120107995691
