,SHCBP1 (79801)
ACH-000004,-0.17835862835036248
ACH-000005,-0.171035217951284
ACH-000007,0.053703721486217534
ACH-000009,0.06272452077955486
ACH-000011,-0.049563537155257374
ACH-000012,-0.08553815638639542
ACH-000013,-0.1385348033203092
ACH-000014,-0.02190387071433866
ACH-000015,-0.09809574581502012
ACH-000017,-0.036810927127115936
ACH-000018,-0.04931682166676335
ACH-000019,-0.18946227098367396
ACH-000021,-0.2556674018833068
ACH-000022,-0.006837678228740619
ACH-000025,-0.024165272039029143
ACH-000028,0.06549058621852086
ACH-000030,-0.07478923625082523
ACH-000035,-0.27896438166179405
ACH-000036,0.08390393901709968
ACH-000037,-0.059031229564691964
ACH-000039,-0.09370199474377924
ACH-000040,-0.012356504707844312
ACH-000041,0.04226716827557905
ACH-000042,-0.1261486300603931
ACH-000045,-0.06507957644474639
ACH-000047,-0.2530796064485046
ACH-000052,-0.008026043123233425
ACH-000053,-0.1037311636058249
ACH-000054,-0.1529140262348764
ACH-000055,-0.15526470734745754
ACH-000060,-0.13272164579147486
ACH-000067,-0.1826494624284306
ACH-000070,-0.1237982232626939
ACH-000075,-0.1644983069168875
ACH-000078,-0.06010738964658665
ACH-000082,-0.12036171354219292
ACH-000085,-0.1959015468963941
ACH-000086,-0.07984720272172698
ACH-000087,0.05198288028367243
ACH-000092,-0.18681149602182065
ACH-000095,-0.05758818108359357
ACH-000097,-0.2638463575988681
ACH-000098,-0.26862642331378656
ACH-000099,-0.02598317213284144
ACH-000108,-0.2256144465697084
ACH-000113,-0.034718996507894416
ACH-000116,-0.05808722258802326
ACH-000118,-0.12801587280453486
ACH-000120,-0.1236481005390411
ACH-000123,-0.014131504465973185
ACH-000127,-0.11563680272921426
ACH-000128,-0.05021229164906022
ACH-000132,-0.2023686926902964
ACH-000133,-0.18116061579420967
ACH-000137,-0.16019846620221453
ACH-000138,-0.15900494507603832
ACH-000142,-0.015755388453646456
ACH-000143,-0.003467285234530156
ACH-000146,0.02859077241038016
ACH-000148,-0.03482030329643804
ACH-000150,-0.08247836492654692
ACH-000152,-0.09157908730401118
ACH-000153,0.05488330287202297
ACH-000159,0.001561831490289852
ACH-000160,-0.040237695884583966
ACH-000163,0.08592456955312401
ACH-000167,-0.3107252075366029
ACH-000168,-0.09480131250259044
ACH-000169,0.05444604650046492
ACH-000178,-0.11016691622146006
ACH-000183,-0.01912636214310606
ACH-000188,-0.19976693854383054
ACH-000189,0.12098472812055122
ACH-000190,-0.2682681787006466
ACH-000198,-0.09238369277691497
ACH-000203,-0.11643860290120055
ACH-000204,-0.06407224294741799
ACH-000206,-0.11418694027627173
ACH-000207,-0.0655991664306695
ACH-000208,-0.2315259136202947
ACH-000210,-0.09070671834419557
ACH-000211,-0.12884111272085302
ACH-000215,-0.048224166743433314
ACH-000221,-0.01827765761550937
ACH-000222,-0.18198794770894225
ACH-000223,-0.2523392323392662
ACH-000226,-0.042219634007744436
ACH-000227,0.17129889441737958
ACH-000228,0.055400159590841686
ACH-000231,0.0269830118086083
ACH-000232,-0.017351143227006666
ACH-000233,-0.030792484689879933
ACH-000234,0.0881211607679937
ACH-000235,-0.13399523103534802
ACH-000237,0.003037874794448247
