,MT1G (4495)
ACH-000004,-0.4161241606898761
ACH-000005,-0.3214214722101172
ACH-000007,-0.022521639799126816
ACH-000009,-0.1516556044570786
ACH-000011,-0.21357557385898154
ACH-000012,-0.4721223410130217
ACH-000013,-0.1269002309439898
ACH-000014,-0.10556854279008784
ACH-000015,-0.06811490567987846
ACH-000017,-0.3155108044447659
ACH-000018,-0.161752235558893
ACH-000019,-0.3348465164287112
ACH-000021,-0.21150544379429467
ACH-000022,-0.2247919777461933
ACH-000025,-0.27750614681452745
ACH-000028,-0.19398109851444167
ACH-000030,-0.15510697101403315
ACH-000035,-0.268656263809184
ACH-000036,-0.4632100757719034
ACH-000037,-0.3734176030473304
ACH-000039,-0.23988993176176399
ACH-000040,-0.15530470357385728
ACH-000041,-0.11038763259853364
ACH-000042,-0.23988025025357365
ACH-000045,-0.20912526075479146
ACH-000047,-0.14754586722351734
ACH-000052,-0.30916019816048673
ACH-000053,-0.2260304899046428
ACH-000054,-0.11366883866510324
ACH-000055,-0.048088965130329626
ACH-000060,-0.24905065741094684
ACH-000067,-0.2501285932814071
ACH-000070,0.09836422076934233
ACH-000075,-0.2007636514262396
ACH-000078,-0.2666290997079348
ACH-000082,-0.3140227667010889
ACH-000085,-0.2790748721990978
ACH-000086,-0.21781631822535727
ACH-000087,-0.21637387814533696
ACH-000092,-0.3466244672650179
ACH-000095,-0.3871361944059337
ACH-000097,-0.3918212036317424
ACH-000098,-0.33448270809480785
ACH-000099,-0.11645576321392738
ACH-000108,-0.04958945467546795
ACH-000113,-0.14366030135014485
ACH-000116,-0.19067589310406896
ACH-000118,-0.08989685178216683
ACH-000120,-0.1907766927190818
ACH-000123,-0.0941005642882607
ACH-000127,-0.12724083811225298
ACH-000128,-0.0885265001274594
ACH-000132,-0.2013281314392125
ACH-000133,-0.3101393352566124
ACH-000137,-0.3078303917561971
ACH-000138,-0.15595334655372728
ACH-000142,-0.4096840716670271
ACH-000143,6.62897632649172e-05
ACH-000146,-0.2142644407267941
ACH-000148,-0.2708176787467937
ACH-000150,-0.3853472697942913
ACH-000152,-0.2498436621730089
ACH-000153,-0.4358486375425827
ACH-000159,-0.20652312345167276
ACH-000160,-0.34153368547778684
ACH-000163,-0.2492364326081681
ACH-000167,-0.045015963217292204
ACH-000168,-0.26396381156089843
ACH-000169,-0.2126760586043549
ACH-000178,-0.22696679556344124
ACH-000183,-0.09253829120078036
ACH-000188,-0.04163173579824271
ACH-000189,-0.3039402396401216
ACH-000190,-0.304565617697581
ACH-000198,-0.25486909287102555
ACH-000203,-0.1895713017858315
ACH-000204,-0.3101201713124589
ACH-000206,-0.2935479365483231
ACH-000207,-0.29562085208574235
ACH-000208,-0.2192673064826656
ACH-000210,-0.09183650493409826
ACH-000211,-0.23992655188986675
ACH-000215,-0.1315267913674827
ACH-000221,-0.138184392398986
ACH-000222,-0.2195660513271184
ACH-000223,-0.2832133084424196
ACH-000226,-0.24467810142045984
ACH-000227,-0.389749599396228
ACH-000228,-0.3322222516296169
ACH-000231,-0.219697435797834
ACH-000232,-0.2254373016533552
ACH-000233,-0.25800634918998083
ACH-000234,-0.26612912897117624
ACH-000235,-0.22602015707910375
ACH-000237,-0.2310990825558599
ACH-000238,-0.2721430623824207
ACH-000242,-0.33831721976645784
ACH-000243,-0.1946005691259311
ACH-000244,-0.31277398476772783
ACH-000246,-0.15374172047040469
ACH-000248,-0.2580998058367109
ACH-000250,-0.2501451407731053
ACH-000251,-0.08465635657509239
ACH-000252,-0.1216004030066011
ACH-000253,-0.2658217335895224
ACH-000255,-0.09204273998779106
ACH-000256,-0.2544027718412255
ACH-000257,0.10652048403044763
ACH-000258,-0.1987598805822159
ACH-000259,-0.21204361125810064
ACH-000260,-0.2754776387478127
ACH-000261,-0.2756210809267124
ACH-000262,-0.1673626694844313
ACH-000263,-0.10818281790696203
ACH-000264,-0.2265664099504401
ACH-000265,-0.2488601747917951
ACH-000266,-0.190580223340118
ACH-000272,-0.09979439563058327
ACH-000274,-0.1626331993090127
ACH-000277,-0.2309229037234735
ACH-000278,-0.34157797980992405
ACH-000279,-0.17527207135857134
ACH-000280,-0.3080611839317173
ACH-000281,-0.14979522602847925
ACH-000288,-0.2243233092441085
ACH-000291,-0.06817479011567304
ACH-000293,-0.23258294282496736
ACH-000294,-0.2297273361552904
ACH-000295,-0.2579527398316345
ACH-000296,-0.10739849287289796
ACH-000302,-0.10822215779179722
ACH-000304,-0.09771466355460978
ACH-000307,-0.09644061857685393
ACH-000308,-0.2860447095143398
ACH-000310,-0.14218103589485268
ACH-000311,-0.2836921869771887
ACH-000312,-0.21833007612764946
ACH-000315,-0.3637551109727343
ACH-000316,-0.22003107545870051
ACH-000317,-0.2160626365015215
ACH-000318,-0.2299688417807911
ACH-000319,-0.2932659427545443
ACH-000320,-0.1835327086664341
ACH-000322,-0.14738748258344422
ACH-000323,-0.27130891109487026
ACH-000324,-0.4020002509978451
ACH-000329,-0.2581284723823793
ACH-000330,-0.17623554818633552
ACH-000331,-0.2942741269945972
ACH-000332,-0.1788450216211783
ACH-000334,-0.5213976743548773
ACH-000335,-0.06080646773120199
ACH-000336,-0.3401275606773504
ACH-000337,-0.25541524604726845
ACH-000338,0.07055370781690895
ACH-000339,-0.2538661560539129
ACH-000341,-0.2286332181124405
ACH-000348,-0.22560656785968186
ACH-000350,-0.3060293541152101
ACH-000352,-0.31776117236726864
ACH-000356,-0.10439056530437253
ACH-000361,-0.1213717506124243
ACH-000362,-0.20819106135440466
ACH-000363,-0.09969441481634164
ACH-000364,-0.24969606772498876
ACH-000365,-0.28167182164798776
ACH-000366,-0.2537539513086827
ACH-000368,-0.1542556421999657
ACH-000374,-0.32386392816449033
ACH-000375,-0.17595652927110947
ACH-000376,-0.23101463026888397
ACH-000381,-0.2803853889514072
ACH-000383,-0.2956117894171781
ACH-000387,-0.3030363189602189
ACH-000389,-0.21220495100681447
ACH-000390,-0.3153947111284881
ACH-000393,-0.13281114223140505
ACH-000395,-0.2290410714049009
ACH-000396,-0.31755417857359336
ACH-000397,-0.2953695537515348
ACH-000401,0.010624334680275585
ACH-000402,-0.4002509743665521
ACH-000403,-0.3663628646806175
ACH-000404,-0.282149111580766
ACH-000406,-0.16417175912963491
ACH-000407,-0.07803873055539655
ACH-000408,-0.09408337939983943
ACH-000410,-0.16394635751297526
ACH-000411,-0.10301527738153228
ACH-000414,-0.23154824475966745
ACH-000415,-0.18547108450214211
ACH-000416,-0.197846642558333
ACH-000420,-0.15068466054483032
ACH-000421,-0.20372031193833665
ACH-000424,-0.2811301682996936
ACH-000425,-0.22327244094611226
ACH-000426,-0.26559424559898304
ACH-000427,-0.43940317487347175
ACH-000433,-0.09597655227309884
ACH-000435,0.048567529050856297
ACH-000436,-0.2658827244022597
ACH-000444,-0.1880821009028588
ACH-000445,-0.12837048958817765
ACH-000448,-0.1039096016561992
ACH-000450,-0.16764744953974842
ACH-000452,-0.12748969418032882
ACH-000454,-0.1079852480785878
ACH-000458,-0.3222800300810347
ACH-000459,-0.3799625204357228
ACH-000460,-0.2904339853370543
ACH-000461,-0.3502211382030589
ACH-000463,-0.2330057418190049
ACH-000464,-0.14154698431104096
ACH-000466,-0.12531862821836412
ACH-000467,-0.2668964493200727
ACH-000468,-0.20805327361885315
ACH-000469,-0.3040322255172916
ACH-000470,-0.3285076693622103
ACH-000471,-0.16994006024628494
ACH-000472,-0.16820900504810618
ACH-000473,-0.1477194258016725
ACH-000475,-0.2877383712371752
ACH-000476,-0.3225966097395777
ACH-000477,0.03900833829052842
ACH-000479,-0.028110306510236924
ACH-000480,-0.2940633975105639
ACH-000481,-0.27877182365652964
ACH-000483,-0.11495067978424794
ACH-000484,-0.21913696317746825
ACH-000485,-0.2205292630380276
ACH-000486,-0.2432343974863332
ACH-000487,-0.2795721868191561
ACH-000488,-0.4342539078694749
ACH-000490,-0.17798579698079509
ACH-000491,-0.17010448426006008
ACH-000495,-0.1890664245238806
ACH-000496,-0.22097534357716547
ACH-000499,-0.17195773219093152
ACH-000500,-0.2628937045600355
ACH-000502,-0.217841931656366
ACH-000503,-0.080688249079354
ACH-000505,-0.2758183337930304
ACH-000507,-0.3606976903041321
ACH-000510,-0.16298032493386505
ACH-000511,-0.229203703998812
ACH-000512,-0.2700170235213748
ACH-000516,-0.2136456540059996
ACH-000517,-0.2832074633417224
ACH-000518,-0.3558259095994452
ACH-000520,-0.4624993839537362
ACH-000521,-0.2604494502319475
ACH-000522,-0.32647645175852313
