,PTGIS (5740)
ACH-000004,0.03671467200298178
ACH-000005,-0.2301252690037489
ACH-000007,-0.22991540750110104
ACH-000009,-0.1403512798401032
ACH-000011,-0.11059760278676724
ACH-000012,0.0393957051699708
ACH-000013,0.022724397286349448
ACH-000014,-0.026323204713064013
ACH-000015,-0.0015064577212234118
ACH-000017,-0.2819586277566418
ACH-000018,-0.1255546994298447
ACH-000019,-0.1549966223489048
ACH-000021,-0.040610649942387965
ACH-000022,-0.05855304977411764
ACH-000025,-0.10202157899069866
ACH-000028,-0.03202080968786244
ACH-000030,-0.12462265124047815
ACH-000035,-0.2373315009053223
ACH-000036,-0.07116864562381672
ACH-000037,0.005237420797602783
ACH-000039,0.10285039252344197
ACH-000040,-0.06651820316321491
ACH-000041,-0.11590616783883062
ACH-000042,-0.1888608926030179
ACH-000045,0.10948586663158603
ACH-000047,-0.06002262211587441
ACH-000052,-0.1424304332007275
ACH-000053,-0.040218499526789936
ACH-000054,-0.08818939677963658
ACH-000055,0.031573838290059976
ACH-000060,-0.15076544768439418
ACH-000067,0.002023387277128121
ACH-000070,-0.0944350968937218
ACH-000075,0.1359421097175517
ACH-000078,-0.13918973712292182
ACH-000082,-0.15326310371689408
ACH-000085,-0.0949590610883008
ACH-000086,-0.15484390065946246
ACH-000087,0.08914457879274328
ACH-000092,-0.07558375716530387
ACH-000095,0.006053264428699144
ACH-000097,-0.19190511757663328
ACH-000098,0.1144638185712782
ACH-000099,-0.11097865522381617
ACH-000108,-0.010013818097247029
ACH-000113,-0.05492487697934651
ACH-000116,-0.11075652912779613
ACH-000118,-0.07893229178915152
ACH-000120,-0.10100452298416193
ACH-000123,0.006701374806767022
ACH-000127,-0.05114554501609818
ACH-000128,-0.1281514984092081
ACH-000132,0.05043936367891052
ACH-000133,-0.1485801435050717
ACH-000137,-0.02754131258655957
ACH-000138,-0.060167199919437066
ACH-000142,-0.20554884635387746
ACH-000143,-0.05274638336073825
ACH-000146,-0.15985068297979527
ACH-000148,0.010503605850265135
ACH-000150,0.15361000843355346
ACH-000152,-0.14604289235524262
ACH-000153,-0.07299372235351591
ACH-000159,-0.13632587989819786
ACH-000160,-0.04774287479267993
ACH-000163,-0.1168861145487645
ACH-000167,-0.3363307427046757
ACH-000168,0.055946240025197436
ACH-000169,-0.1326580875416486
ACH-000178,-0.04849040796588372
ACH-000183,-0.2406335488373964
ACH-000188,-0.03708960798468365
ACH-000189,0.07467339131459838
ACH-000190,-0.11506364079180065
ACH-000198,-0.07085382195364608
ACH-000203,-0.018856990382363967
ACH-000204,-0.06423103312791706
ACH-000206,-0.16093128824256814
ACH-000207,-0.12285087440071515
ACH-000208,-0.2942299405105031
ACH-000210,-0.26087190786541004
ACH-000211,-0.09920085858865132
ACH-000215,-0.09837896153810292
ACH-000221,-0.028385982038603874
ACH-000222,-0.01534598169621603
ACH-000223,-0.08708682197407609
ACH-000226,-0.13204909223244482
ACH-000227,-0.1156077919845276
ACH-000228,-0.061695735333764136
ACH-000231,-0.1482193006284272
ACH-000232,-0.12396979318898955
ACH-000233,-0.062482543944051325
ACH-000234,-0.15131300277074694
ACH-000235,-0.123299891681579
ACH-000237,-0.07430727374099133
ACH-000238,-0.025242679155730686
ACH-000242,-0.20544257425690252
ACH-000243,-0.12212299213313922
ACH-000244,-0.06326952005345295
ACH-000246,-0.08574471918001318
ACH-000248,-0.13767230716782514
ACH-000250,-0.06282452267629403
ACH-000251,-0.008412934213642146
ACH-000252,-0.05471580666171907
ACH-000253,-0.2559204234681919
ACH-000255,-0.10286527969443264
ACH-000256,-0.07593302915791768
ACH-000257,-0.04009930537491732
ACH-000258,-0.12007361443697967
ACH-000259,-0.1697891028428252
ACH-000260,-0.04382852951305199
ACH-000261,-0.10262944192328988
ACH-000262,0.08047162139896373
ACH-000263,-0.14672091160459086
ACH-000264,-0.1115480845444356
ACH-000265,-0.01563058047489991
ACH-000266,-0.14019686277506416
ACH-000272,-0.1106026810335665
