,ME2 (4200)
ACH-000004,-0.265095342349631
ACH-000005,-0.20026948772142192
ACH-000007,-0.12992578471887545
ACH-000009,-0.2596436134500024
ACH-000011,-0.2864631450640785
ACH-000012,-0.21509099481867705
ACH-000013,-0.12947032816216095
ACH-000014,-0.07455969835565235
ACH-000015,-0.032063761445231036
ACH-000017,-0.1867362634770041
ACH-000018,-0.3660373760163321
ACH-000019,-0.12351831788653528
ACH-000021,-0.15144627832132698
ACH-000022,-0.17561358673662247
ACH-000025,-0.2282232593690656
ACH-000028,-0.1993462887572576
ACH-000030,-0.27640629487384955
ACH-000035,-0.18995992879146786
ACH-000036,-0.17248855254977738
ACH-000037,-0.3631338196215369
ACH-000039,-0.14696613644677697
ACH-000040,-0.2656039253255517
ACH-000041,-0.39867011046999057
ACH-000042,-0.29519271102264
ACH-000045,0.2526804997945678
ACH-000047,-0.1818322425972159
ACH-000052,-0.3441333822258684
ACH-000053,-0.21494567082444774
ACH-000054,-0.19296811770909544
ACH-000055,-0.2517824364806188
ACH-000060,-0.2033106748955567
ACH-000067,-0.12690114340660466
ACH-000070,-0.34182739416112395
ACH-000075,-0.3788645801029479
ACH-000078,-0.2606473836333942
ACH-000082,-0.2979452607259979
ACH-000085,0.06540648905047991
ACH-000086,-0.10541395817113307
ACH-000087,-0.13194877457671375
ACH-000092,-0.07752042197591474
ACH-000095,-0.3523051950812746
ACH-000097,-0.10890826417913746
ACH-000098,-0.26899783805770505
ACH-000099,-0.16888907692856078
ACH-000108,-0.15212554070610293
ACH-000113,-0.24653099835556816
ACH-000116,-0.2035948727318824
ACH-000118,-0.4156229953153562
ACH-000120,-0.1990869290308677
ACH-000123,-0.19647156205959385
ACH-000127,-0.1460059605405992
ACH-000128,-0.34822521183944155
ACH-000132,-0.32678374925822495
ACH-000133,-0.0626829060039104
ACH-000137,-0.0821313029981009
ACH-000138,-0.3495613419976437
ACH-000142,-0.09789467958991986
ACH-000143,-0.1882829659333428
ACH-000146,-0.13936195754220293
ACH-000148,-0.22163992719086711
ACH-000150,-0.10084339525959776
ACH-000152,0.04988184502714451
ACH-000153,-0.042254024073275935
ACH-000159,-0.37582441696633795
ACH-000160,-0.16932859952472462
ACH-000163,-0.1976507721805661
ACH-000167,-0.2076712173294466
ACH-000168,-0.04519490443856685
ACH-000169,-0.21807861135876186
ACH-000178,-0.3016730521390074
ACH-000183,0.0645921862118626
ACH-000188,-0.1758004143306397
ACH-000189,-0.06909644035927699
ACH-000190,-0.06294202202124584
ACH-000198,0.03000357938684683
ACH-000203,-0.004123275719084333
ACH-000204,-0.1747978458305426
ACH-000206,-0.4170696248944194
ACH-000207,-0.16103093964420656
ACH-000208,-0.3391201196310273
ACH-000210,-0.3352953607110405
ACH-000211,-0.33656909954681
ACH-000215,-0.2651835255272962
ACH-000221,-0.11619026095070875
ACH-000222,-0.11381732839865336
ACH-000223,-0.3320593787234805
ACH-000226,-0.3566518693876449
ACH-000227,-0.6572536707049151
ACH-000228,-0.4246128814892725
ACH-000231,-0.16628943341116453
ACH-000232,-0.329812147003655
ACH-000233,-0.35600795956054915
ACH-000234,-0.06702587067652377
ACH-000235,-0.1867953291250883
ACH-000237,-0.2698907474701052
ACH-000238,-0.051102496423625264
ACH-000242,0.44308849979648013
ACH-000243,-0.023807883616334992
ACH-000244,-0.10761349325903524
ACH-000246,-0.3200514209928964
ACH-000248,-0.036189366399526
ACH-000250,-0.036671385413229104
ACH-000251,-0.07162918669643528
ACH-000252,-0.4781901811281466
ACH-000253,-0.13541366706570032
ACH-000255,-0.1147382881170419
ACH-000256,-0.2580261699558158
ACH-000257,-0.2567536764820548
ACH-000258,-0.35880493895369103
ACH-000259,-0.216730501264858
ACH-000260,-0.10079999417609603
ACH-000261,-0.38056359973556464
ACH-000262,-0.1580183911171057
ACH-000263,-0.11297728229315908
ACH-000264,-0.21978140010734545
ACH-000265,-0.1679632415026981
ACH-000266,-0.29781759715992195
ACH-000272,-0.3007714584356182
ACH-000274,-0.2305763696015108
ACH-000277,-0.06629551740685831
ACH-000278,-0.3827360471181702
ACH-000279,-0.10622817270229014
ACH-000280,-0.1113271013040203
ACH-000281,-0.016953062497559415
ACH-000288,-0.10278164308358304
ACH-000291,-0.21198176882735875
ACH-000293,-0.2852587080254965
ACH-000294,-0.3303486816195019
ACH-000295,-0.3394083617823536
ACH-000296,0.050534074885089326
ACH-000302,-0.3724624364734158
ACH-000304,0.08231389669325141
ACH-000307,-0.2507110983679621
ACH-000308,-0.2407603312845467
ACH-000310,-0.3604021002653801
ACH-000311,-0.13218432128905633
ACH-000312,-0.3383108490046817
ACH-000315,-0.3380320844512025
ACH-000316,-0.3100220693835397
ACH-000317,-0.1915441772065052
ACH-000318,-0.1712376267285151
ACH-000319,-0.2654547460312485
ACH-000320,-0.17414846584902044
ACH-000322,-0.2444251511235088
ACH-000323,-0.4437633763970481
ACH-000324,-0.21071491965668668
ACH-000329,-0.04054964245683517
ACH-000330,-0.16699987731928947
ACH-000331,0.0031299248827043108
ACH-000332,-0.08090061637807168
ACH-000334,-0.4655055424458311
ACH-000335,-0.025352351703889588
ACH-000336,-0.43035724509072304
ACH-000337,-0.2976171537018898
ACH-000338,-0.16627988182390688
ACH-000339,-0.16622352681043326
ACH-000341,-0.07134842817614552
ACH-000348,-0.2565430992186089
ACH-000350,-0.2575666905582823
ACH-000352,-0.3114497161588837
ACH-000356,-0.09917586863731956
ACH-000361,-0.2556543698541404
ACH-000362,-0.08501729175642547
ACH-000363,-0.3279988397230128
ACH-000364,-0.2791061118492427
ACH-000365,-0.3492506837506676
ACH-000366,-0.11694332300396723
ACH-000368,-0.17898046915629456
ACH-000374,-0.33616057343878325
ACH-000375,-0.2834039794670283
ACH-000376,-0.0938095921104131
ACH-000381,-0.3188319057509565
ACH-000383,-0.15377191496925932
ACH-000387,-0.17519451774572095
ACH-000389,-0.062192143204367466
ACH-000390,-0.1531130908301747
ACH-000393,-0.3086611866955212
ACH-000395,-0.02062044072688095
ACH-000396,-0.3586675353728028
ACH-000397,-0.2148921491082287
ACH-000401,-0.3527196780258772
ACH-000402,-0.32545309043048903
ACH-000403,-0.22166045573886567
ACH-000404,-0.21103003455685085
ACH-000406,-0.3150989061868969
ACH-000407,-0.1301925251940608
ACH-000408,0.0071044403772054935
ACH-000410,-0.19016923450578296
ACH-000411,-0.22542500510816044
ACH-000414,-0.16990921650859714
ACH-000415,-0.053641694598578864
ACH-000416,-0.4013877503363255
ACH-000420,-0.3214101564686519
ACH-000421,-0.37538500900653227
ACH-000424,0.00970970189608792
ACH-000425,-0.2460962568162877
ACH-000426,-0.8033104672381035
ACH-000427,-0.2993295303742549
ACH-000433,-0.17087460725088174
ACH-000435,-0.17685312412845422
ACH-000436,-0.3519891738566411
ACH-000444,-0.03040000197444313
ACH-000445,-0.10034951664300057
ACH-000448,-0.2638466528287226
ACH-000450,-0.026771654371709003
ACH-000452,-0.21447785160131336
ACH-000454,0.06454556831822597
ACH-000458,-0.021414553576375908
ACH-000459,-0.1208070353430237
ACH-000460,-0.1398552803772312
ACH-000461,-0.24158079845005315
ACH-000463,-0.2609394988890407
ACH-000464,0.16286652874956106
ACH-000466,-0.13363198117018213
ACH-000467,-0.1947510487395123
ACH-000468,-0.2604778403991939
ACH-000469,-0.024307525954290136
ACH-000470,-0.3360296318220608
ACH-000471,-0.32873265792119605
ACH-000472,-0.4425466248083158
ACH-000473,0.07366416859960212
ACH-000475,-0.15720960345602486
ACH-000476,-0.31064531932789824
ACH-000477,-0.0239498609389399
ACH-000479,-0.3799012030184356
ACH-000480,-0.11294327878314295
ACH-000481,-0.3066831451760234
ACH-000483,-0.019568551796985304
ACH-000484,-0.3696294155329644
ACH-000485,-0.11619996992339013
ACH-000486,-0.1685575645458927
ACH-000487,-0.3100349684332181
ACH-000488,-0.07717735070161895
ACH-000490,-0.3235090328461965
ACH-000491,-0.07284602107624245
ACH-000495,-0.11528677913566344
ACH-000496,-0.1006147127915931
ACH-000499,-0.15091213075620666
ACH-000500,0.208860701628158
ACH-000502,-0.2451884925932069
ACH-000503,-0.08454748990012385
ACH-000505,-0.28402265443570196
ACH-000507,-0.35523445970846274
ACH-000510,-0.21001056124258885
ACH-000511,-0.18368608840978112
ACH-000512,-0.288183347469926
ACH-000516,-0.10268568961680156
ACH-000517,-0.2357686408980353
ACH-000518,-0.25746335289120514
ACH-000520,-0.19435731974752204
