,DNAI1 (27019)
ACH-000004,-0.02144098573461575
ACH-000005,-0.04734671342853584
ACH-000007,-0.024139916161417287
ACH-000009,-0.2751818690906192
ACH-000011,-0.15497342917103413
ACH-000012,0.02058531689989267
ACH-000013,-0.02913036849015882
ACH-000014,-0.13679844655613674
ACH-000015,-0.10619567351213166
ACH-000017,-0.0027691713897325517
ACH-000018,0.021012397382023925
ACH-000019,-0.17841857349987778
ACH-000021,-0.12482673224253978
ACH-000022,-0.0968741975966669
ACH-000025,-0.010159810297421414
ACH-000028,-0.11428143470515105
ACH-000030,-0.12268610215982458
ACH-000035,-0.12171423619422048
ACH-000036,-0.11398332927898368
ACH-000037,-0.17876770556794788
ACH-000039,-0.08346966768419786
ACH-000040,-0.12351332020857946
ACH-000041,-0.08280514331430422
ACH-000042,-0.20303358762255475
ACH-000045,-0.03625916287023248
ACH-000047,-0.06854511657546081
ACH-000052,-0.11972179936537795
ACH-000053,-0.069850698639756
ACH-000054,-0.07162238642093703
ACH-000055,-0.19129580956419087
ACH-000060,0.004974883993030137
ACH-000067,-0.004783445735374679
ACH-000070,-0.14150738123109255
ACH-000075,0.021209817668572703
ACH-000078,-0.07028195759329901
ACH-000082,-0.005658009758710061
ACH-000085,-0.09241755105472588
ACH-000086,0.11647208658034446
ACH-000087,-0.09821375168743758
ACH-000092,-0.1006237341486657
ACH-000095,-0.07079749422482574
ACH-000097,-0.049489120049681916
ACH-000098,-0.1418480793662931
ACH-000099,-0.0316021795631197
ACH-000108,-0.0582144229695265
ACH-000113,-0.015215844046063463
ACH-000116,0.008892662620480312
ACH-000118,-0.18269643354041004
ACH-000120,-0.020166674286195497
ACH-000123,-0.09146301333704347
ACH-000127,-0.112823722952593
ACH-000128,0.037544028970886635
ACH-000132,0.06168993705081715
ACH-000133,-0.03790839674703078
ACH-000137,-0.09427761396171283
ACH-000138,-0.16712028589320926
ACH-000142,0.13803197393413438
ACH-000143,-0.07267389310623358
ACH-000146,-0.1447102711816736
ACH-000148,-0.11417190940203985
ACH-000150,-0.054361383957952134
ACH-000152,0.1366530448310951
ACH-000153,-0.19959183171274236
ACH-000159,-0.0515226786866002
ACH-000160,0.018464039127328937
ACH-000163,-0.1007099380000903
ACH-000167,-0.006992232076957468
ACH-000168,-0.1139569688569264
ACH-000169,-0.048356089887628864
ACH-000178,-0.10536842093852393
ACH-000183,0.016699610752223704
ACH-000188,-0.06123590651768205
ACH-000189,-0.25509896368905016
ACH-000190,-0.13787118761040495
ACH-000198,-0.07877456799281038
ACH-000203,0.31884093746223485
ACH-000204,-0.16188453945938336
ACH-000206,-0.015580788610840769
ACH-000207,-0.21356330943540552
ACH-000208,-0.13488426581831692
ACH-000210,-0.1543390477998324
ACH-000211,-0.055043059284263805
ACH-000215,-0.13912961352784306
ACH-000221,-0.2769407391830753
ACH-000222,-0.144074312753823
ACH-000223,0.06603851728361716
ACH-000226,-0.05630221486881731
ACH-000227,0.031037351503724237
ACH-000228,-0.0007120003655022758
ACH-000231,-0.012178943727698415
ACH-000232,0.021828017568702836
ACH-000233,-0.03998387423648293
ACH-000234,-0.040663295521461966
ACH-000235,-0.11120331525782903
ACH-000237,-0.07832476243333167
ACH-000238,-0.0958724879032672
ACH-000242,0.08041304488226964
ACH-000243,-0.03991685234777925
ACH-000244,0.13660303857940947
ACH-000246,-0.18435128991762426
ACH-000248,0.05818534359984679
ACH-000250,-0.06028559073675576
ACH-000251,0.08081337893046561
ACH-000252,0.03802003551697149
ACH-000253,-0.02641769692261137
ACH-000255,-0.1973193816748961
ACH-000256,-0.13031323807451348
ACH-000257,-0.21410510312836126
ACH-000258,-0.21034371605661856
ACH-000259,-0.08592999775564872
ACH-000260,-0.03053407555821155
ACH-000261,-0.10031386872268376
ACH-000262,0.06274892273831027
ACH-000263,-0.06591232329878052
ACH-000264,-0.08115810824095374
ACH-000265,-0.17713068264166434
ACH-000266,-0.06052386885064821
ACH-000272,-0.06458522899404015
