,SCAP (22937)
ACH-000004,-1.2445037254946238
ACH-000005,-1.5417049742720983
ACH-000007,-1.0484783077612343
ACH-000009,-1.459116397418479
ACH-000011,-1.2927699854384016
ACH-000012,-1.0101505637145338
ACH-000013,-0.39933379771684974
ACH-000014,-1.319509467069092
ACH-000015,-1.3509369065299115
ACH-000017,-0.8120214350181572
ACH-000018,-1.1977007666611017
ACH-000019,-0.7868597214087775
ACH-000021,-0.8543386130655769
ACH-000022,-1.503699263750444
ACH-000025,-1.1453555583800172
ACH-000028,-0.8875246786410221
ACH-000030,-1.3457232748957586
ACH-000035,-1.0149371384821633
ACH-000036,-1.0836741801977223
ACH-000037,-0.5234036263984291
ACH-000039,-0.5876400740615041
ACH-000040,-1.0431957330887358
ACH-000041,-0.2375732213825277
ACH-000042,-0.6045236859747437
ACH-000045,-0.8630485244353042
ACH-000047,-1.1038994886342821
ACH-000052,-1.2887399158641293
ACH-000053,-0.1874470793386445
ACH-000054,-1.1112665070609025
ACH-000055,-0.6934431781488885
ACH-000060,-1.1191577816864635
ACH-000067,-1.2804519753981871
ACH-000070,-1.0409199143980756
ACH-000075,-0.8689825218232453
ACH-000078,-0.0955972583919739
ACH-000082,-0.4025683679975393
ACH-000085,-1.317129238226615
ACH-000086,-1.1797682166253338
ACH-000087,-0.6570998778192882
ACH-000092,-1.1896889306611338
ACH-000095,-0.4947355829658978
ACH-000097,-1.1778454951798103
ACH-000098,-1.3810565979933815
ACH-000099,0.05332415450066248
ACH-000108,-1.2447785107058509
ACH-000113,-0.7979450603346251
ACH-000116,-1.15825516785655
ACH-000118,-1.1549759872573138
ACH-000120,-0.16791106023394886
ACH-000123,-0.8342962130719095
ACH-000127,-1.3303230020675234
ACH-000128,-0.7672531781902758
ACH-000132,-0.3166888854389882
ACH-000133,-1.2679167493667038
ACH-000137,-0.3838254526615423
ACH-000138,-1.3474032660969126
ACH-000142,-1.0587920019019792
ACH-000143,-0.42653236623173707
ACH-000146,-1.6095876018820667
ACH-000148,-0.5791794224090678
ACH-000150,-1.4952181378473661
ACH-000152,-0.5945180213251647
ACH-000153,-1.2888049724724118
ACH-000159,-0.7105845307483795
ACH-000160,-0.7255211761418339
ACH-000163,-1.1821448995897428
ACH-000167,-1.2268846744351003
ACH-000168,-0.959760175564818
ACH-000169,-1.165690532608324
ACH-000178,-0.9698463907194846
ACH-000183,-1.0300792662686244
ACH-000188,-0.6469940798890528
ACH-000189,-0.5236767384232144
ACH-000190,-1.314150255468275
ACH-000198,-0.8258423430230746
ACH-000203,-1.0551285459137425
ACH-000204,-0.9816891575076004
ACH-000206,-1.0832230187858796
ACH-000207,-1.3877581829754142
ACH-000208,-0.857683106385692
ACH-000210,-0.7174072579137251
ACH-000211,-0.4000600112407294
ACH-000215,-1.08279865280607
ACH-000221,-1.5291406860262202
ACH-000222,-0.8805026649189117
ACH-000223,-0.5427335051478293
ACH-000226,-0.4065842038904568
ACH-000227,-0.4717791780926046
ACH-000228,-0.2140906703538617
ACH-000231,-0.825940732098439
ACH-000232,-0.8923197199894708
ACH-000233,-0.5167794073203285
ACH-000234,-0.5886588279574213
ACH-000235,-0.5640542540652743
ACH-000237,-0.4119013508566884
ACH-000238,-1.1049535648226942
ACH-000242,-1.106230208963825
ACH-000243,-1.2289882581518927
ACH-000244,-0.992595209540014
ACH-000246,-0.519973279509311
ACH-000248,-1.0068276412982915
ACH-000250,-1.1844324202604677
ACH-000251,-1.07590562337853
ACH-000252,-1.2955286529531935
ACH-000253,-1.1173586685911718
ACH-000255,-1.2298616159657187
ACH-000256,-0.672512321686171
ACH-000257,-0.7671645333836828
ACH-000258,-1.1878146202044424
ACH-000259,-0.5280289343640538
ACH-000260,-1.2008225449469436
ACH-000261,-0.4718705700506468
ACH-000262,-1.7475717474254946
ACH-000263,-1.273146682769818
ACH-000264,-0.2883857731520001
ACH-000265,-1.1222788353451043
ACH-000266,-1.0680896502726744
ACH-000272,-1.2836752247801422
ACH-000274,-0.30782801835297563
ACH-000277,-0.7625375844789914
ACH-000278,-0.4327267653899055
ACH-000279,-1.2804827147383595
ACH-000280,-0.3385982043288948
ACH-000281,-1.2172664011419518
ACH-000288,-0.7008090811940988
ACH-000291,-1.3527342396314006
ACH-000293,-0.5147323834607973
ACH-000294,-1.880528485725352
ACH-000295,-1.3826906498277234
ACH-000296,-1.3857267644509712
ACH-000302,-0.3013145698457451
ACH-000304,-0.7121753730687038
ACH-000307,-1.2902178662457318
ACH-000308,-0.25234922418270084
