,SCAPER (49855)
ACH-000004,-0.2635750291634837
ACH-000005,0.1419968361933561
ACH-000007,0.24276118021446336
ACH-000009,-0.10826846902464878
ACH-000011,0.15842639722842294
ACH-000012,0.12756677843702022
ACH-000013,0.016632440106082495
ACH-000014,-0.0557186682684686
ACH-000015,0.13392181358513947
ACH-000017,0.006490163140837549
ACH-000018,0.2426340774178213
ACH-000019,0.0955150723009898
ACH-000021,0.04384996382529728
ACH-000022,-0.15591407718842107
ACH-000025,0.05100374329748613
ACH-000028,-0.022820821906328264
ACH-000030,0.11113920887731632
ACH-000035,0.06382185484997636
ACH-000036,0.004615704169291575
ACH-000037,0.07129779176422495
ACH-000039,-0.1100359218654162
ACH-000040,0.06494863412198768
ACH-000041,-0.08840385724755774
ACH-000042,0.07130447029000501
ACH-000045,0.02425015524230665
ACH-000047,0.05308160232549071
ACH-000052,0.008536249672475255
ACH-000053,0.10540450442847196
ACH-000054,0.14792681082845247
ACH-000055,0.055966208032437015
ACH-000060,-0.05666230838937459
ACH-000067,0.012377907608968943
ACH-000070,0.009384221273738386
ACH-000075,0.2464363897087119
ACH-000078,-0.2380357020220313
ACH-000082,0.03506286458601577
ACH-000085,0.14422742392218502
ACH-000086,-0.04897245599697615
ACH-000087,-0.07441230556063454
ACH-000092,-0.06492946304815016
ACH-000095,0.007283279527901813
ACH-000097,-0.03225237058239297
ACH-000098,0.08849973508894386
ACH-000099,-0.17398862923606473
ACH-000108,0.055864875345050635
ACH-000113,-0.07363855421858853
ACH-000116,0.10693406880040043
ACH-000118,0.15157419426835608
ACH-000120,-0.07193443025963947
ACH-000123,-0.0828821398203177
ACH-000127,0.03856416627794091
ACH-000128,0.062408068361905274
ACH-000132,0.02605660109040403
ACH-000133,-0.07815826906676995
ACH-000137,-0.02862307931223775
ACH-000138,-0.13735257204274545
ACH-000142,0.03104508468290228
ACH-000143,0.010947168469329223
ACH-000146,-0.19121410670575967
ACH-000148,0.11276977512314194
ACH-000150,0.17719734287898026
ACH-000152,0.12941833497910765
ACH-000153,0.3802492781475029
ACH-000159,0.0215756307133752
ACH-000160,-0.0735181895933878
ACH-000163,0.0445228358774916
ACH-000167,-0.06359510454438486
ACH-000168,0.07809522008272565
ACH-000169,0.0258730176176138
ACH-000178,0.15808563897030325
ACH-000183,-0.2250678748186296
ACH-000188,0.13948239727672848
ACH-000189,0.16808938244197394
ACH-000190,-0.047374036537274636
ACH-000198,0.023370357744754416
