,CALN1 (83698)
ACH-000004,-0.283819484846754
ACH-000005,-0.1957676088453424
ACH-000007,-0.13286667157564327
ACH-000009,-0.12767544240957807
ACH-000011,-0.34539290556440466
ACH-000012,-0.19835131046585655
ACH-000013,-0.0934487719567126
ACH-000014,-0.29119021810024764
ACH-000015,-0.2922741337311287
ACH-000017,-0.15347266045809707
ACH-000018,0.008070795299717905
ACH-000019,-0.4673196901850411
ACH-000021,-0.27995753639144616
ACH-000022,-0.2638006880919194
ACH-000025,-0.29852915378912
ACH-000028,-0.0979123313984932
ACH-000030,-0.18267496912073236
ACH-000035,-0.24194500810611194
ACH-000036,-0.09030354187735633
ACH-000037,-0.18013190715120128
ACH-000039,-0.059918810790746624
ACH-000040,-0.19223568619395515
ACH-000041,-0.34089389084467225
ACH-000042,-0.18251219633660773
ACH-000045,-0.10003727970578814
ACH-000047,-0.17587567362097345
ACH-000052,-0.2629726639067955
ACH-000053,-0.2040364814979714
ACH-000054,-0.27108153864120604
ACH-000055,-0.18342889851744268
ACH-000060,-0.2727288330696283
ACH-000067,-0.12171487723402065
ACH-000070,-0.3038179603837558
ACH-000075,-0.13751133122019024
ACH-000078,-0.1896945639539417
ACH-000082,-0.23849511571184184
ACH-000085,-0.30082772581466344
ACH-000086,0.06254620187436119
ACH-000087,-0.27796851484299384
ACH-000092,-0.12850937197618112
ACH-000095,-0.18847415803654308
ACH-000097,-0.20165448707959888
ACH-000098,-0.22296862689864985
ACH-000099,-0.2273191535981697
ACH-000108,-0.17194985651171887
ACH-000113,-0.12939216176504534
ACH-000116,-0.1526173980696917
ACH-000118,-0.25299101502253624
ACH-000120,-0.2496937971501339
ACH-000123,-0.19758620904749694
ACH-000127,-0.18403735086335973
ACH-000128,-0.3868754430354552
ACH-000132,-0.3258897938507666
ACH-000133,-0.19351187644564846
ACH-000137,-0.057237243256024486
ACH-000138,-0.148455817954065
ACH-000142,-0.22724927879533435
ACH-000143,-0.17539739963900255
ACH-000146,-0.19592029238920608
ACH-000148,-0.2720218052482916
ACH-000150,-0.3848856164980436
ACH-000152,-0.1585693960850313
ACH-000153,-0.035869484043804176
ACH-000159,-0.32900669436265456
ACH-000160,-0.0559066122527798
ACH-000163,-0.2204297601830352
ACH-000167,-0.1988567788016188
ACH-000168,-0.2317974655783029
ACH-000169,-0.2513909112667338
ACH-000178,-0.10870889530978928
ACH-000183,-0.12294715195774092
ACH-000188,-0.09479081979577456
ACH-000189,-0.213403929111218
ACH-000190,-0.3241384338223239
ACH-000198,-0.1811718423453736
ACH-000203,-0.22963938616617116
ACH-000204,-0.14418026131775255
ACH-000206,-0.2129816655699345
ACH-000207,-0.20814708095701048
ACH-000208,-0.20318469748528156
