,GIGYF1 (64599)
ACH-000004,-0.29213163824004473
ACH-000005,-0.33287420954649605
ACH-000007,-0.3100948995336302
ACH-000009,-0.251797485725717
ACH-000011,-0.17608180009337546
ACH-000012,-0.17626484178941554
ACH-000013,-0.1121935894492787
ACH-000014,-0.3006413229493866
ACH-000015,-0.21944419304468135
ACH-000017,-0.16130581649851547
ACH-000018,-0.3754025937718639
ACH-000019,-0.11448117407522715
ACH-000021,-0.4035225579845665
ACH-000022,-0.25133048423424154
ACH-000025,-0.2003807488414772
ACH-000028,-0.019585482322251702
ACH-000030,-0.1138930858925383
ACH-000035,-0.3398712434583722
ACH-000036,-0.5093742409383456
ACH-000037,-0.21497559018783455
ACH-000039,-0.3194574914315816
ACH-000040,-0.2895052020184273
ACH-000041,-0.0921201116192404
ACH-000042,-0.3045294582815519
ACH-000045,-0.2064690054938022
ACH-000047,-0.23977362948784256
ACH-000052,-0.1886360073637072
ACH-000053,-0.28197672599706525
ACH-000054,-0.2490468854921453
ACH-000055,-0.0362112154709748
ACH-000060,-0.18643934041029048
ACH-000067,-0.3664876764266755
ACH-000070,-0.21469461248526997
ACH-000075,-0.3435830663188532
ACH-000078,-0.12595465049746804
ACH-000082,-0.4345839211707706
ACH-000085,-0.3603142339094585
ACH-000086,-0.003699905061739125
ACH-000087,-0.12728882353725984
ACH-000092,-0.21675096611501266
ACH-000095,-0.255676540621397
ACH-000097,-0.07552745788345819
ACH-000098,-0.4287576317676582
ACH-000099,-0.2088692333337672
ACH-000108,-0.1790789754322527
ACH-000113,-0.2348039546826417
ACH-000116,-0.17778101348654998
ACH-000118,-0.12815190259559334
ACH-000120,-0.14130416762912956
ACH-000123,0.016936381828645517
ACH-000127,-0.1564916284025413
ACH-000128,-0.1980876693766057
ACH-000132,-0.16562256265872613
ACH-000133,-0.22461266524495602
ACH-000137,-0.24342069692737664
ACH-000138,-0.1193940695675263
ACH-000142,-0.2899384737997157
ACH-000143,-0.009507026934026677
ACH-000146,-0.3141810718440768
ACH-000148,-0.1987889005677668
ACH-000150,-0.284314657687628
ACH-000152,-0.3956635962137449
ACH-000153,-0.04846293499431434
ACH-000159,-0.30946352403552346
ACH-000160,-0.3080190682239309
ACH-000163,-0.24837685224129366
ACH-000167,-0.457553014362197
ACH-000168,-0.3654293204809218
ACH-000169,-0.1519826015103795
ACH-000178,-0.2702810057651764
ACH-000183,-0.3025845381242438
ACH-000188,-0.15302893593835384
ACH-000189,0.07878369815374824
ACH-000190,-0.1547040181922858
ACH-000198,-0.5054440464599873
ACH-000203,-0.15805796304769426
ACH-000204,-0.1927189338959905
ACH-000206,-0.536131363913252
ACH-000207,-0.3325336908426303
ACH-000208,-0.21196076537275224
ACH-000210,0.007788907569642619
ACH-000211,-0.32747155545412104
ACH-000215,-0.2820700543949002
ACH-000221,-0.546878418106309
ACH-000222,-0.3204575629572359
ACH-000223,-0.1390222558717272
ACH-000226,-0.18175633881978007
ACH-000227,-0.06341862967051476
ACH-000228,-0.09230622732525973
ACH-000231,-0.11714947957894685
ACH-000232,-0.36567699155568195
ACH-000233,-0.29390896795834565
ACH-000234,-0.15393933314136649
ACH-000235,-0.2508407472705876
ACH-000237,-0.20597510414179795
ACH-000238,-0.27615912466127424
ACH-000242,0.16760922144728885
ACH-000243,-0.3065929296703526
ACH-000244,-0.11618644054105474
ACH-000246,-0.1720315357502064
ACH-000248,-0.11949017205020634
ACH-000250,-0.29607279811184195
ACH-000251,-0.5173617516592206
ACH-000252,-0.4948760106833048
