,TEFM (79736)
ACH-000004,-0.22483811293808886
ACH-000005,-0.34261376531738386
ACH-000007,-0.5266149923868468
ACH-000009,-0.4758397122811715
ACH-000011,-0.28903975279803196
ACH-000012,-0.3359801709860882
ACH-000013,-0.4440937076588192
ACH-000014,-0.35909704651284824
ACH-000015,-0.28925629179009704
ACH-000017,-0.4174714823079431
ACH-000018,-0.32992890482100995
ACH-000019,-0.4073023194042228
ACH-000021,-0.2376770466578918
ACH-000022,-0.5235000724465305
ACH-000025,-0.30454006089866464
ACH-000028,-0.6597172918275865
ACH-000030,-0.29154306730644475
ACH-000035,-0.5659975032607802
ACH-000036,-0.21947200218050034
ACH-000037,-0.3189996809933149
ACH-000039,-0.21713937162905808
ACH-000040,-0.2868403129730364
ACH-000041,-0.3230441899197561
ACH-000042,-0.18291614541343146
ACH-000045,-0.4220744495025536
ACH-000047,-0.32563606468419376
ACH-000052,-0.13382565549710732
ACH-000053,-0.30740297670087113
ACH-000054,-0.3241489918524069
ACH-000055,-0.4431756420087469
ACH-000060,-0.3587180832097129
ACH-000067,-0.3342491661102717
ACH-000070,-0.4539784041709941
ACH-000075,-0.24794719700850945
ACH-000078,-0.30723303147105746
ACH-000082,-0.2760760574544581
ACH-000085,-0.3847492520329236
ACH-000086,-0.5095905922124048
ACH-000087,-0.4697977130638944
ACH-000092,-0.276450228486827
ACH-000095,-0.09517647753700678
ACH-000097,-0.2521292169862562
ACH-000098,-0.30163309281162376
ACH-000099,-0.4007114330809353
ACH-000108,-0.3928722387404901
ACH-000113,-0.4137660774211955
ACH-000116,-0.3604380050952088
ACH-000118,-0.6242190311064834
ACH-000120,-0.32901891759263346
ACH-000123,-0.3301518284959324
ACH-000127,-0.29658584079049355
ACH-000128,-0.4701851739912519
ACH-000132,-0.3505163683536002
ACH-000133,-0.3169900470911824
ACH-000137,-0.4350963752677463
ACH-000138,-0.2531074077016909
ACH-000142,-0.37825272442310254
ACH-000143,-0.4307609145939911
ACH-000146,-0.3059452986536165
ACH-000148,-0.42880619572327344
ACH-000150,-0.5174739698288465
ACH-000152,-0.4358184360361013
ACH-000153,-0.17814903393858955
ACH-000159,-0.2581258607750862
ACH-000160,-0.3941447835531273
ACH-000163,-0.4547347074062672
ACH-000167,-0.167683607108413
ACH-000168,-0.2840366778977869
ACH-000169,-0.4438774006381881
ACH-000178,-0.3863817964663255
ACH-000183,-0.3700022801654564
ACH-000188,-0.3974619071224037
ACH-000189,-0.4769381159339498
ACH-000190,-0.529462729060046
ACH-000198,-0.29548148144587993
ACH-000203,0.367773189951694
ACH-000204,-0.568827526565787
ACH-000206,-0.6053442377316776
ACH-000207,-0.361061600613542
ACH-000208,-0.1060935363107906
ACH-000210,-0.6688973043790706
ACH-000211,-0.3795795842703679
ACH-000215,-0.1865229860225928
ACH-000221,-0.5437110237445814
ACH-000222,-0.18096647826098985
ACH-000223,-0.42938564978524535
ACH-000226,-0.4803550490361741
ACH-000227,-0.3473568150787129
ACH-000228,-0.3681272450324076
ACH-000231,-0.5861894333687908
ACH-000232,-0.4002585103211412
ACH-000233,-0.3504259930997465
ACH-000234,-0.37984436099193664
ACH-000235,-0.26983694179688383
ACH-000237,-0.14473173960823627
ACH-000238,-0.4398589621197349
ACH-000242,-0.2579776798092841
ACH-000243,-0.4200493063749504
ACH-000244,-0.6088138101450808
ACH-000246,-0.3019797002006003
ACH-000248,-0.5702875690092792
ACH-000250,-0.3303568153892259
ACH-000251,-0.4087179240217366
ACH-000252,-0.1995471466145224
ACH-000253,-0.12528435027722026
ACH-000255,-0.5062178410404365
ACH-000256,-0.2915144330549322
ACH-000257,-0.16004229911535142
ACH-000258,-0.2604571854836568
