,CHKB (1120)
ACH-000004,-0.13997601821356678
ACH-000005,-0.032409188277834865
ACH-000007,-0.1838333180750312
ACH-000009,-0.10175033309394274
ACH-000011,-0.2444375756574415
ACH-000012,-0.060942231645711824
ACH-000013,-0.13298712097651166
ACH-000014,-0.08706724808678408
ACH-000015,-0.1080037319340893
ACH-000017,-0.10457241776083216
ACH-000018,-0.12564223178423514
ACH-000019,-0.13550193481635792
ACH-000021,-0.141166941986057
ACH-000022,-0.010115872322440456
ACH-000025,-0.3344001992600701
ACH-000028,-0.08420951732141088
ACH-000030,-0.2383046619613846
ACH-000035,-0.04234384085329456
ACH-000036,-0.03239384962658031
ACH-000037,-0.07511020224209819
ACH-000039,-0.27069555504634835
ACH-000040,-0.1238032597553728
ACH-000041,-0.2183413901357282
ACH-000042,-0.08140004818902223
ACH-000045,0.025955906018026297
ACH-000047,-0.1802414573395376
ACH-000052,0.0518382224239675
ACH-000053,-0.17096742911517554
ACH-000054,-0.182171762883965
ACH-000055,-0.16800248337148352
ACH-000060,-0.29951766343212266
ACH-000067,-0.16163778011228358
ACH-000070,-0.07821216868078426
ACH-000075,0.07789478740430343
ACH-000078,-0.3276556241820475
ACH-000082,-0.16354301262728885
ACH-000085,-0.2928844717960383
ACH-000086,-0.028063420238060632
ACH-000087,0.05566306226631417
ACH-000092,-0.07184465606041654
ACH-000095,-0.13485408745106234
ACH-000097,-0.1775599638614948
ACH-000098,-0.23788167258444526
ACH-000099,-0.22038127301806426
ACH-000108,-0.16573843361730864
ACH-000113,0.18643439381316626
ACH-000116,-0.0929788267574749
ACH-000118,-0.1055577252541096
ACH-000120,-0.14917835195044027
ACH-000123,-0.26994067041704856
ACH-000127,-0.09690685554494337
ACH-000128,-0.24913478163243946
ACH-000132,-0.05124362391324165
ACH-000133,-0.011884211299572409
ACH-000137,-0.189698582193952
ACH-000138,-0.0942091546117217
ACH-000142,-0.11314016208392932
ACH-000143,-0.3273615796003885
ACH-000146,-0.16340301400513654
ACH-000148,-0.07904223270127331
ACH-000150,-0.10733648476989363
ACH-000152,-0.038012924558567765
ACH-000153,0.1438161928286648
ACH-000159,-0.07194579504082291
ACH-000160,-0.1839564827200777
ACH-000163,-0.16278607063507372
ACH-000167,0.009183963765773758
ACH-000168,-0.008478466320204173
ACH-000169,-0.1612071777195624
ACH-000178,-0.07288555309125783
ACH-000183,-0.08093015765725316
ACH-000188,0.013913112769866294
ACH-000189,-0.010292519458114631
ACH-000190,-0.0061368402927963325
ACH-000198,-0.10769031351193732
ACH-000203,-0.4230169899154843
ACH-000204,-0.0956124385341351
ACH-000206,-0.05629355466837198
ACH-000207,-0.1750100812992217
ACH-000208,-0.2959737170981228
ACH-000210,0.03804762638367306
ACH-000211,-0.20273034971825785
ACH-000215,-0.22577654833089286
ACH-000221,-0.12319156162849568
ACH-000222,-0.018351317901441563
ACH-000223,-0.12588362890438193
ACH-000226,-0.055912994903398516
ACH-000227,-0.1625829458258245
ACH-000228,-0.09223320409533284
ACH-000231,-0.24307035506509586
ACH-000232,-0.2936114732090748
ACH-000233,-0.15897683748226762
ACH-000234,-0.18663624193260844
ACH-000235,-0.09722739452891267
ACH-000237,-0.1688337236054111
ACH-000238,-0.2509221179686413
ACH-000242,-0.3489353107987317
ACH-000243,-0.030848954016824994
ACH-000244,-0.21557101687655256
ACH-000246,-0.004494916301216479
ACH-000248,-0.007066252191810085
ACH-000250,-0.11246030811759157
ACH-000251,-0.0010697699774206565
ACH-000252,-0.10107743351756336
ACH-000253,-0.19918863074928286
ACH-000255,0.002249534124968869
ACH-000256,-0.2673439019163209
ACH-000257,-0.01846010301450045
ACH-000258,0.05502655102314608
ACH-000259,-0.06494967915395644
ACH-000260,-0.07612632480610569
ACH-000261,-0.15347683534743425
ACH-000262,-0.19660162015156105
ACH-000263,0.13804598082066966
ACH-000264,-0.15251348501133108
ACH-000265,-0.08919283740646929
ACH-000266,-0.18046720330363736
ACH-000272,-0.13507160738796767
ACH-000274,-0.26590065916871586
ACH-000277,-0.11137108271394128
ACH-000278,-0.059991313011129435
ACH-000279,-0.1222457603796668
ACH-000280,-0.1910056711259724
ACH-000281,-0.2357306614700333
ACH-000288,-0.18011465862700524
ACH-000291,-0.05593040608594236
ACH-000293,-0.17760281893198102
ACH-000294,0.09214911497993207
ACH-000295,-0.3085742781696852
ACH-000296,-0.16381047427883694
ACH-000302,-0.1118676065136417
ACH-000304,-0.04584283230601016
ACH-000307,-0.14253839524944353
ACH-000308,-0.1367516062442541
ACH-000310,-0.208062191788143
ACH-000311,-0.10620730806805163
ACH-000312,-0.16862878159717518
ACH-000315,-0.052507022761753605
ACH-000316,-0.0620346032819584
ACH-000317,-0.2127108243955605
ACH-000318,-0.2724285860998014
ACH-000319,-0.1619237054719877
ACH-000320,-0.17147291599948827
ACH-000322,-0.052334050374438036
ACH-000323,-0.18085643390151987
ACH-000324,-0.07992249124432298
ACH-000329,-0.18576097692916896
ACH-000330,-0.07324989439323833
ACH-000331,-0.013239179162421844
ACH-000332,-0.10027417309024196
ACH-000334,-0.09918282005098693
ACH-000335,-0.2242957617665699
ACH-000336,-0.2323963721207388
ACH-000337,-0.4098359105722187
ACH-000338,0.03375917207646933
ACH-000339,-0.18925514499946666
ACH-000341,-0.12544713525131346
ACH-000348,-0.15138435930366187
ACH-000350,-0.16626987477925004
ACH-000352,-0.05719835923675288
ACH-000356,-0.03757400718054129
ACH-000361,-0.07364173959233282
ACH-000362,-0.11850022500298353
ACH-000363,-0.24713474080463135
ACH-000364,-0.01639099698758232
ACH-000365,-0.15284352566190307
ACH-000366,-0.1514918589047794
ACH-000368,0.054413507820611565
ACH-000374,-0.08619137836227092
ACH-000375,-0.32253297554346
ACH-000376,-0.17053057336581395
ACH-000381,-0.1354022178477351
ACH-000383,-0.17390962306977498
ACH-000387,-0.1753828483480219
ACH-000389,-0.2057950901753416
ACH-000390,-0.19272704438387087
ACH-000393,-0.14352547161180004
ACH-000395,-0.1270327257071511
ACH-000396,0.08874444370664912
ACH-000397,-0.12886160454936002
ACH-000401,-0.059527205985308376
ACH-000402,-0.06278224418111919
ACH-000403,-0.183767245441325
ACH-000404,0.002917533361683835
ACH-000406,-0.13416459910283532
ACH-000407,-0.011667487485312666
ACH-000408,-0.2446205911987662
ACH-000410,-0.15111605838254705
ACH-000411,-0.03531134770528053
ACH-000414,-0.1510850366972005
ACH-000415,-0.054209598311162496
ACH-000416,-0.15193089053616576
ACH-000420,-0.11400028535159876
ACH-000421,-0.08480300140631153
ACH-000424,-0.03338158479329161
ACH-000425,-0.1955145294185283
ACH-000426,-0.04205998630764037
ACH-000427,-0.1228373299013621
ACH-000433,-0.2423322121914663
ACH-000435,0.0735120839681861
ACH-000436,-0.059423081581280714
ACH-000444,-0.10580583092601806
ACH-000445,-0.18259016734980948
ACH-000448,-0.12784615905541155
ACH-000450,-0.06786811903213794
ACH-000452,-0.13700083394602325
ACH-000454,-0.1568721779719344
ACH-000458,-0.10651861115654752
ACH-000459,-0.14217830696160494
ACH-000460,-0.1538794969304584
ACH-000461,-0.04526805961057221
ACH-000463,-0.03817932201637289
ACH-000464,-0.11406743740323015
ACH-000466,-0.030125518625867168
ACH-000467,-0.1954569573680388
ACH-000468,-0.11101634402358157
ACH-000469,-0.24550177068556814
ACH-000470,-0.12579150834956385
ACH-000471,-0.30054551343984165
ACH-000472,-0.17344355201010853
ACH-000473,-0.3418533223658739
ACH-000475,-0.12216387031923227
ACH-000476,-0.049307009829869235
ACH-000477,-0.1518032039944634
ACH-000479,-0.2053285881358302
ACH-000480,-0.1010913875386291
ACH-000481,-0.10304787337528584
ACH-000483,0.002422372490587829
ACH-000484,-0.2851874325738842
ACH-000485,-0.17972456472700993
ACH-000486,-0.15461465289014986
ACH-000487,-0.21596315113840875
ACH-000488,-0.15676525396543267
ACH-000490,-0.22378634346996096
ACH-000491,-0.029886102052852127
ACH-000495,0.03268877621324927
ACH-000496,-0.10290933512689482
ACH-000499,-0.2277512539057262
ACH-000500,0.1916120575420173
ACH-000502,-0.13700407167329465
ACH-000503,-0.0381958565048185
ACH-000505,-0.07846097615337655
ACH-000507,-0.025680857776224756
ACH-000510,-0.058629540843651275
ACH-000511,-0.07969630926864978
ACH-000512,0.01827150286958385
ACH-000516,-0.06381125117112739
ACH-000517,-0.20687770219806226
ACH-000518,0.03891737514027424
ACH-000520,-0.021882692756120162
ACH-000521,-0.2266203477811922
ACH-000522,0.012319269603042372
ACH-000524,-0.18194883511427384
ACH-000527,-0.17378192134109013
ACH-000528,-0.08055623791984559
ACH-000537,-0.18620174291328712
ACH-000541,-0.12289686100548013
ACH-000542,-0.07224964116095269
