,MAPK1IP1L (93487)
ACH-000004,-0.1664682779444805
ACH-000005,-0.21374616743217992
ACH-000007,-0.12855565510763975
ACH-000009,-0.11416191062851977
ACH-000011,-0.07348271368390727
ACH-000012,-0.04150900133971471
ACH-000013,-0.09717742689697204
ACH-000014,-0.012497228930840844
ACH-000015,-0.007609751591385405
ACH-000017,-0.1208886477605339
ACH-000018,-0.22208841235770865
ACH-000019,-0.10838438050118887
ACH-000021,-0.04262391600662295
ACH-000022,-0.08663466138290711
ACH-000025,-0.10298814711144497
ACH-000028,-0.07210495412198065
ACH-000030,-0.1395523214828104
ACH-000035,-0.06705785067679268
ACH-000036,0.018393692534740002
ACH-000037,-0.11080459635862916
ACH-000039,-0.3926342497092926
ACH-000040,-0.08905043958233637
ACH-000041,-0.036550366578852286
ACH-000042,-0.1070772260811035
ACH-000045,-0.06850960431473256
ACH-000047,-0.14015453573687878
ACH-000052,-0.124268662827752
ACH-000053,-0.1648928994931859
ACH-000054,-0.15601372045063538
ACH-000055,-0.2598050534716528
ACH-000060,-0.22515336285429452
ACH-000067,-0.015582705901055253
ACH-000070,-0.02979944091049402
ACH-000075,-0.016771281194528052
ACH-000078,-0.05720915960321545
ACH-000082,-0.2538375542162175
ACH-000085,-0.08349431268853418
ACH-000086,-0.24640292932326555
ACH-000087,-0.1006909257096861
ACH-000092,-0.18593607324705966
ACH-000095,-0.15697421231997494
ACH-000097,-0.06626450613373441
ACH-000098,-0.03674124136907162
ACH-000099,-0.21734617255967228
ACH-000108,-0.09044638786758846
ACH-000113,-0.299014472419364
ACH-000116,-0.09022827590359067
ACH-000118,-0.07137420731658667
ACH-000120,-0.05280006059417968
ACH-000123,-0.09812598851192736
ACH-000127,-0.04673293149341043
ACH-000128,-0.2780386542926533
ACH-000132,-0.24547198980170576
ACH-000133,-0.1711517611286937
ACH-000137,-0.10027098641305712
ACH-000138,-0.02598386293082416
ACH-000142,-0.0038100321220925076
ACH-000143,-0.19807808304130445
ACH-000146,-0.17090241215027968
ACH-000148,-0.16034942937158975
ACH-000150,-0.1186363251055771
ACH-000152,-0.14021905132656542
ACH-000153,-0.07800555595837191
ACH-000159,-0.11280992260364485
ACH-000160,-0.04641658198574094
ACH-000163,-0.2205651845799348
ACH-000167,-0.200028794894272
ACH-000168,0.01484754074770298
ACH-000169,-0.08915064310800733
ACH-000178,-0.11888082565218222
ACH-000183,-0.13060193289264851
ACH-000188,0.023582104663262483
ACH-000189,-0.07305300917851104
ACH-000190,0.06619856759902022
ACH-000198,-0.1401034462986721
ACH-000203,0.1260716946953209
ACH-000204,-0.2455634343871673
ACH-000206,-0.158154706936962
ACH-000207,-0.14525468811811587
ACH-000208,-0.1771267340530351
ACH-000210,0.014627687320695337
