,NELFCD (51497)
ACH-000004,-0.5703757317538186
ACH-000005,-0.26450786532837506
ACH-000007,-0.4382913634827525
ACH-000009,-0.3787284178389641
ACH-000011,-0.33652858574132066
ACH-000012,-0.39202607581316656
ACH-000013,-0.1344646167983877
ACH-000014,-0.4126733929536889
ACH-000015,-0.5179133384002447
ACH-000017,-0.35036833355285263
ACH-000018,-0.5642969631578815
ACH-000019,-0.4128695766304888
ACH-000021,-0.3071170205440325
ACH-000022,-0.1374443952172318
ACH-000025,-0.7537583649055564
ACH-000028,-0.474306994015969
ACH-000030,-0.5515041361307914
ACH-000035,-0.4852054442820301
ACH-000036,-0.4953508821187669
ACH-000037,-0.28342889126646875
ACH-000039,-0.4837831884318334
ACH-000040,-0.412218665865826
ACH-000041,-0.1627547490740152
ACH-000042,-0.3600276348777731
ACH-000045,-0.6000396682084534
ACH-000047,-0.5027309614137029
ACH-000052,-0.6011008647021755
ACH-000053,-0.5624161229941325
ACH-000054,-0.5135205648067918
ACH-000055,-0.5363974513023542
ACH-000060,-0.4851109081852447
ACH-000067,-0.6009855447304993
ACH-000070,-0.5705354347468571
ACH-000075,-0.5574767273254886
ACH-000078,-0.25993843841733233
ACH-000082,-0.14671238499468992
ACH-000085,-0.3544042983542226
ACH-000086,-0.7550458498325197
ACH-000087,-0.6423632140942888
ACH-000092,-0.4507105129782105
ACH-000095,-0.3570562194159259
ACH-000097,-0.2441231002135092
ACH-000098,-0.4045760176812285
ACH-000099,-0.5081501907326803
ACH-000108,-0.389816994627936
ACH-000113,-0.4889743872200321
ACH-000116,-0.21229137054373148
ACH-000118,-0.36035980072943735
ACH-000120,-0.4634148960423968
ACH-000123,-0.5588571207810307
ACH-000127,-0.4792731476873723
ACH-000128,-0.7475295790193759
ACH-000132,-0.34821623088493703
ACH-000133,-0.6020795958913461
ACH-000137,-0.6003602706320658
ACH-000138,-0.42263093633122223
ACH-000142,-0.41393023733070855
ACH-000143,-0.5790303101923384
ACH-000146,-0.14156032962942205
ACH-000148,-0.5893789584236784
ACH-000150,-0.5836121288353571
ACH-000152,-0.5660427400208974
ACH-000153,-0.7336289560883084
ACH-000159,-0.4999161623287636
ACH-000160,-0.2150684734374728
ACH-000163,-0.3931427626042708
ACH-000167,-0.04200102562370316
ACH-000168,-0.5290472443257612
ACH-000169,-0.4255783672638479
ACH-000178,-0.2965016713973436
ACH-000183,-0.5884496754046059
ACH-000188,-0.3999807600074541
ACH-000189,-0.3455871433078634
ACH-000190,-0.3043875182747501
ACH-000198,-0.48307545099063104
ACH-000203,-0.12560556024942066
ACH-000204,-0.8014090567864992
ACH-000206,-0.5711100062898956
ACH-000207,-0.4739189342045077
ACH-000208,-0.548472771501346
ACH-000210,-0.8966877647596415
ACH-000211,-0.6701143586688056
ACH-000215,-0.6873127532316715
ACH-000221,-0.4997001553481991
ACH-000222,-0.3770007436523148
ACH-000223,-0.4952604850085103
ACH-000226,-0.5284907069601655
ACH-000227,-0.36019269840898666
ACH-000228,-0.3776812653079487
ACH-000231,-0.6796342782750089
ACH-000232,-0.5890704925585325
ACH-000233,-0.4740178451785425
ACH-000234,-0.3449255287327363
ACH-000235,-0.30671435952572296
ACH-000237,-0.4670516952837819
ACH-000238,-0.3993055910977737
ACH-000242,-0.761356097099379
ACH-000243,-0.4884252983749461
ACH-000244,-0.35689341474451025
ACH-000246,-0.4370545949524797
ACH-000248,-0.6428815749771238
ACH-000250,-0.2641543383219629
ACH-000251,-0.5321434652351237
ACH-000252,-0.5469219748344603
ACH-000253,-0.2314522928758549
ACH-000255,-0.7235197850521703
ACH-000256,-0.32937703057805584
ACH-000257,-0.5187514005676219
ACH-000258,-0.4360479641229353
ACH-000259,-0.3277034420697981
ACH-000260,-0.7055113303046187
ACH-000261,-0.5176572336560856
ACH-000262,-0.21614603968491372
ACH-000263,-0.2938788746919503
ACH-000264,-0.568407197316855
ACH-000265,-0.5434020722268906
ACH-000266,-0.5147169059308675
ACH-000272,-0.3618467073905307
ACH-000274,-0.31922337810907064
ACH-000277,-0.3168315137048519
ACH-000278,-0.4701952992640415
ACH-000279,-0.4149762580870517
ACH-000280,-0.3837006113451245
ACH-000281,-0.5754474420134386
ACH-000288,-0.5584508945387334
ACH-000291,-0.4456563149290285
ACH-000293,-0.4673684453429464
ACH-000294,-0.388051031199694
ACH-000295,-0.3084670749812661
ACH-000296,-0.6553321513900601
ACH-000302,-0.3651027062412617
ACH-000304,-0.4625534332126948
ACH-000307,-0.5225484335326832
ACH-000308,-0.43862304887098863
ACH-000310,-0.473256627945081
ACH-000311,-0.4016069077481911
ACH-000312,-0.5285483177330808
ACH-000315,-0.7679152266631795
ACH-000316,-0.4271196769464876
ACH-000317,-0.4619398868336347
ACH-000318,-0.3337019911198688
ACH-000319,-0.2597023374534822
ACH-000320,-0.2725500121582757
ACH-000322,-0.2647777924143134
ACH-000323,-0.5240430681270346
ACH-000324,-0.32164372394497937
ACH-000329,-0.35885049159769017
ACH-000330,-0.3638510493164879
ACH-000331,-0.5597146501542579
ACH-000332,-0.3991411051978666
ACH-000334,-0.5605497594456091
ACH-000335,-0.6246653303349133
ACH-000336,-0.15401778401101954
ACH-000337,-0.4140184473805135
ACH-000338,-0.6673949803383455
ACH-000339,-0.5955598121266115
ACH-000341,-0.23903564480121545
ACH-000348,-0.4063592730203491
ACH-000350,-0.2657583819414422
ACH-000352,-0.346636942083818
ACH-000356,-0.3748799795034649
ACH-000361,-0.6015931378494955
ACH-000362,-0.3637879388999527
ACH-000363,-0.3438518998777129
ACH-000364,-0.4892249250551358
ACH-000365,-0.6353972328569086
ACH-000366,-0.4041907095430188
ACH-000368,-0.5824072005761374
ACH-000374,-0.5381847489919624
ACH-000375,-0.2674156741464938
ACH-000376,-0.6680436283673722
ACH-000381,-0.6015673526151866
ACH-000383,-0.1017909013955384
ACH-000387,-0.5340283539456344
ACH-000389,-0.6901187655071598
ACH-000390,-0.5751402878708585
ACH-000393,-0.7605684551348162
ACH-000395,-0.7193675208600566
ACH-000396,-0.638644218566759
ACH-000397,-0.22732559557984866
ACH-000401,-0.5404508708289915
ACH-000402,-0.4793033626630446
ACH-000403,-0.1665481423188027
ACH-000404,-0.4102042694962007
ACH-000406,-0.4533343512556579
ACH-000407,-0.4934808391640093
ACH-000408,-0.6086041802015925
ACH-000410,-0.5112170598283489
ACH-000411,-0.3556248014910979
ACH-000414,-0.3105186090694988
ACH-000415,-0.3822112147277819
ACH-000416,-0.4906682913185951
ACH-000420,-0.42340536289700986
ACH-000421,-0.4851750775249341
ACH-000424,-0.5247596250804015
ACH-000425,-0.6434393095872746
ACH-000426,-0.4128951510805627
ACH-000427,-0.4400660453808603
ACH-000433,-0.3949066467156099
ACH-000435,-0.4479500923835145
ACH-000436,-0.4446545103711563
ACH-000444,-0.5704472819071666
ACH-000445,-0.38127701336843545
ACH-000448,-0.16962845034530066
ACH-000450,-0.4063051499092711
ACH-000452,-0.4982526863753775
ACH-000454,-0.5970387304260886
ACH-000458,-0.18452555927306255
ACH-000459,-0.2655925116544912
ACH-000460,-0.410144924062214
ACH-000461,-0.3575771961743343
