,CYB561D1 (284613)
ACH-000004,-0.20744576608074325
ACH-000005,-0.17708118786804172
ACH-000007,0.007652244883060261
ACH-000009,-0.09906199656471107
ACH-000011,-0.1855016699286665
ACH-000012,-0.15138849892156572
ACH-000013,-0.2621663939734954
ACH-000014,-0.454036561543005
ACH-000015,-0.13378447250326125
ACH-000017,-0.05871722722640529
ACH-000018,-0.04998803713202199
ACH-000019,-0.2316581232267971
ACH-000021,-0.11380126652907738
ACH-000022,-0.15055944694890794
ACH-000025,-0.2869058540468961
ACH-000028,-0.3735169404239915
ACH-000030,-0.1716817859116961
ACH-000035,-0.33178015974471314
ACH-000036,-0.040923535467676304
ACH-000037,-0.05043831796493661
ACH-000039,0.05553849014589463
ACH-000040,-0.21623387115513407
ACH-000041,-0.08043176928199959
ACH-000042,0.003773810065465231
ACH-000045,-0.1762243519025753
ACH-000047,-0.2820932030270451
ACH-000052,-0.07441357382487315
ACH-000053,-0.0959149155607715
ACH-000054,-0.11558985000908348
ACH-000055,0.02181585991201489
ACH-000060,-0.23123989174759035
ACH-000067,-0.24600445064262294
ACH-000070,0.08053945477159774
ACH-000075,-0.1943170993995956
ACH-000078,-0.11828877185702065
ACH-000082,-0.2564362607082848
ACH-000085,-0.023955293061929075
ACH-000086,-0.255245989675439
ACH-000087,-0.051693563956884805
ACH-000092,-0.2033121103759768
ACH-000095,-0.08819207550430383
ACH-000097,-0.12776069325200184
ACH-000098,0.035361293932026264
ACH-000099,-0.24105903260985234
ACH-000108,0.011624524128552732
ACH-000113,-0.13002832085230046
ACH-000116,-0.22411978711446967
ACH-000118,-0.03917736929018037
ACH-000120,-0.18430873880908466
ACH-000123,-0.16251076412302726
ACH-000127,-0.14720874601963094
ACH-000128,-0.06674656807664077
ACH-000132,-0.016617958102986767
ACH-000133,-0.15922767401681187
ACH-000137,-0.2747562713441231
ACH-000138,-0.05932184248442079
ACH-000142,-0.31494192423402445
ACH-000143,-0.13543027545457745
ACH-000146,-0.12227828237189775
ACH-000148,-0.08370975114620602
ACH-000150,-0.20399644572902384
