,CPOX (1371)
ACH-000004,-0.13542639460050473
ACH-000005,-0.4554970342871778
ACH-000007,-0.40352274507159375
ACH-000009,-0.2543260793884164
ACH-000011,-0.43071609397497823
ACH-000012,-0.4014219563166477
ACH-000013,-0.29081936536261643
ACH-000014,-0.514137799706922
ACH-000015,-0.29453489461490284
ACH-000017,-0.4891443559305326
ACH-000018,-0.5121962977101215
ACH-000019,-0.3640160984775793
ACH-000021,-0.4474278104916963
ACH-000022,-0.3587292561395304
ACH-000025,-0.5857476231003953
ACH-000028,-0.403447333465335
ACH-000030,-0.5639249005605216
ACH-000035,-0.275361514464356
ACH-000036,-0.4519544897926469
ACH-000037,-0.3293058083062043
ACH-000039,-0.3369792880388877
ACH-000040,-0.5737450760222708
ACH-000041,-0.3586293131274637
ACH-000042,-0.4509886558057074
ACH-000045,-0.5620940056126356
ACH-000047,-0.298282713419008
ACH-000052,-0.27042487774255
ACH-000053,-0.4613384884099331
ACH-000054,-0.3638387302804362
ACH-000055,-0.3894789366418953
ACH-000060,-0.5769719985721279
ACH-000067,-0.4258900899601172
ACH-000070,-0.6083318069033854
ACH-000075,-0.5009162274699828
ACH-000078,-0.4403803639440411
ACH-000082,-0.3944965689203269
ACH-000085,-0.4380987638222335
ACH-000086,-0.4422653740177513
ACH-000087,-0.25740258423287043
ACH-000092,-0.6074623393721456
ACH-000095,-0.44232268298224336
ACH-000097,-0.5086335180350454
ACH-000098,-0.4283119640370303
ACH-000099,-0.3879772644426234
ACH-000108,-0.4607727734830757
ACH-000113,-0.630084377899772
ACH-000116,-0.3383590450671609
ACH-000118,-0.5963780318598103
ACH-000120,-0.27546445937711106
ACH-000123,-0.22157652767883512
ACH-000127,-0.4353493775534761
ACH-000128,-0.5257797019459283
ACH-000132,-0.5199522883975208
ACH-000133,-0.2868989369246879
ACH-000137,-0.4753859335176024
ACH-000138,-0.5413348865916018
ACH-000142,-0.3621941232860277
ACH-000143,-0.4515031387803943
ACH-000146,-0.4573661001751294
ACH-000148,-0.23580300665255946
ACH-000150,-0.4726620907754217
ACH-000152,-0.4759971227008134
ACH-000153,-0.3062140603127496
ACH-000159,-0.477304589469787
ACH-000160,-0.4410793711691197
ACH-000163,-0.389586302724842
ACH-000167,-0.2126763785522698
ACH-000168,-0.5489240464075825
ACH-000169,-0.5172345479474242
ACH-000178,-0.34436184179914553
ACH-000183,-0.5165777833486264
ACH-000188,-0.31882042368304364
ACH-000189,-0.3100048766232794
ACH-000190,-0.5954006390065336
ACH-000198,-0.5635091888677825
ACH-000203,-0.22940938606725025
ACH-000204,-0.5442887968927058
ACH-000206,-0.3194770289635445
ACH-000207,-0.5951500718302128
ACH-000208,-0.31036334362385154
ACH-000210,-0.5954315790437446
ACH-000211,-0.4555720052767706
ACH-000215,-0.5028253019493939
ACH-000221,-0.7201458157636729
ACH-000222,-0.49067130621635
ACH-000223,-0.4291614539888093
ACH-000226,-0.7049606037720562
ACH-000227,-0.4493901535678654
ACH-000228,-0.4110953460964246
ACH-000231,-0.4663582581748785
ACH-000232,-0.5244473950153118
ACH-000233,-0.6664906784783107
ACH-000234,-0.5545152311941304
ACH-000235,-0.6134606252245063
ACH-000237,-0.18366957121361996
ACH-000238,-0.3151691536179087
ACH-000242,-0.2891044505332199
ACH-000243,-0.4295158109948869
ACH-000244,-0.2007146041443109
ACH-000246,-0.3672116039324637
ACH-000248,-0.4735355070666333
ACH-000250,-0.4602691363471689
ACH-000251,-0.4842804295754607
ACH-000252,-0.19953349005267826
ACH-000253,-0.4430453287738118
ACH-000255,-0.2761869963737109
ACH-000256,-0.4091656651687547
ACH-000257,-0.4462760285366716
ACH-000258,-0.42292276290469455
ACH-000259,-0.452450715858299
ACH-000260,-0.3281972415643121
ACH-000261,-0.4882011934908183
ACH-000262,-0.3202079675245804
ACH-000263,-0.3990832212193245
ACH-000264,-0.3964198296697802
ACH-000265,-0.4635247190718293
ACH-000266,-0.4628398401173607
ACH-000272,-0.5729820534357792
ACH-000274,-0.6035822266801375
ACH-000277,-0.3655065908857173
ACH-000278,-0.20605945096732786
ACH-000279,-0.6693163675740499
ACH-000280,-0.33413866982575463
ACH-000281,-0.4185374628139212
ACH-000288,-0.5030735015217033
ACH-000291,-0.2506274238173226
ACH-000293,-0.5494294270050151
ACH-000294,-0.6642061124455394
ACH-000295,-0.4127722254870263
ACH-000296,-0.371913479624042
ACH-000302,-0.5244440535332376
ACH-000304,-0.4610145745779474
ACH-000307,-0.39663033416836
ACH-000308,-0.4252949767052291
ACH-000310,-0.4831936764480797
ACH-000311,-0.4850570466441456
ACH-000312,-0.4167461351526828
ACH-000315,-0.3569016338079761
ACH-000316,-0.4838549341238978
ACH-000317,-0.7499148923036683
ACH-000318,-0.536554028401673
ACH-000319,-0.4026054576858163
ACH-000320,-0.3493099683760972
ACH-000322,-0.5866231265558699
ACH-000323,-0.4745896764508327
ACH-000324,-0.2838270922635733
ACH-000329,-0.44548785073854064
ACH-000330,-0.4987123053699508
ACH-000331,-0.4647476221885014
ACH-000332,-0.4415591310525458
ACH-000334,-0.4784977962118838
ACH-000335,-0.44716775635920347
ACH-000336,-0.6107605570989271
ACH-000337,-0.602719900262711
ACH-000338,-0.1351927443999437
ACH-000339,-0.61283462761436
ACH-000341,-0.6197601462859259
ACH-000348,-0.3038984114999877
ACH-000350,-0.3891373958799112
ACH-000352,-0.6130663655458594
ACH-000356,-0.21942922483717348
ACH-000361,-0.3101555377253191
ACH-000362,-0.6657286189207174
ACH-000363,-0.5781308879855548
ACH-000364,-0.4130570566092484
ACH-000365,-0.8532618485517299
