,CLEC4G (339390)
ACH-000004,-0.2252251627149497
ACH-000005,-0.13214920975579264
ACH-000007,-0.09345593485486348
ACH-000009,-0.11330780196099716
ACH-000011,0.027258005544200218
ACH-000012,-0.1084127051536607
ACH-000013,-0.14577532582845665
ACH-000014,-0.013969215508302754
ACH-000015,-0.23408059490020516
ACH-000017,-0.19286350103910194
ACH-000018,-0.22372021135365094
ACH-000019,-0.17502357453124892
ACH-000021,-0.1983280940673336
ACH-000022,-0.12956705025027512
ACH-000025,0.0937470307639816
ACH-000028,-0.13329689001913309
ACH-000030,-0.16681452333772648
ACH-000035,-0.1388090028802194
ACH-000036,0.08334578397857052
ACH-000037,-0.20344540524438148
ACH-000039,-0.2447024815464652
ACH-000040,-0.0048527817632997156
ACH-000041,-0.03404724903025942
ACH-000042,0.07428584812645082
ACH-000045,-0.20798611764077565
ACH-000047,-0.11190161036941808
ACH-000052,-0.2077146383252348
ACH-000053,-0.06607539704288662
ACH-000054,-0.009702489185443265
ACH-000055,-0.22712439232956205
ACH-000060,0.11393482044481207
ACH-000067,-0.11394482825821768
ACH-000070,-0.01768939778617358
ACH-000075,-0.07496153993560073
ACH-000078,-0.20632933704655496
ACH-000082,0.0999205201280928
ACH-000085,-0.14561503593521352
ACH-000086,-0.2290484422828908
ACH-000087,-0.2680830154591264
ACH-000092,-0.1381615456032786
ACH-000095,-0.07394264627232854
ACH-000097,0.061006168580559475
ACH-000098,-0.2762507175976368
ACH-000099,-0.12298074418445068
ACH-000108,-0.16344371123729226
ACH-000113,-0.08228005597993761
ACH-000116,-0.2722690573290239
ACH-000118,-0.2992443200997648
ACH-000120,-0.01591488792301517
ACH-000123,0.07228096650052425
ACH-000127,-0.09691082854013812
ACH-000128,-0.1948825444220378
ACH-000132,0.010585064197760341
ACH-000133,0.010865235615842038
ACH-000137,-0.13898141844501574
ACH-000138,-0.1866946521232072
ACH-000142,-0.3267414715561981
ACH-000143,-0.007983625498037899
ACH-000146,-0.02501776672210927
ACH-000148,-0.025774856262198484
ACH-000150,-0.220600004690018
ACH-000152,-0.20530071220488927
ACH-000153,0.04108212459437521
ACH-000159,-0.03801200762502626
ACH-000160,0.01548141150053976
ACH-000163,-0.120734024822736
ACH-000167,-0.5171682852407155
ACH-000168,-0.032507526148655805
ACH-000169,-0.12905227883604142
ACH-000178,-0.09983544855977088
ACH-000183,-0.2631997342635901
ACH-000188,-0.3153330742834974
ACH-000189,-0.08162617515155257
ACH-000190,0.1464851746631382
ACH-000198,-0.012506738039050426
ACH-000203,-0.2611920684505171
ACH-000204,-0.13018824430730722
ACH-000206,-0.1939188277537658
ACH-000207,-0.07462055534608386
ACH-000208,-0.0814943637301115
ACH-000210,-0.25359460122663063
ACH-000211,-0.1017740433227732
ACH-000215,-0.06138088917874807
ACH-000221,-0.10056622950581326
ACH-000222,-0.125039572562333
ACH-000223,-0.1067741197598192
ACH-000226,-0.0986137652540644
ACH-000227,0.030486974310651768
ACH-000228,-0.05091856463736122
ACH-000231,0.11074967104447264
ACH-000232,0.047171890458219685
ACH-000233,-0.2289254930475294
ACH-000234,-0.06227006635027268
ACH-000235,-0.055720771218922965
ACH-000237,-0.12678351069285534
ACH-000238,0.11350025640385135
ACH-000242,0.10477667410757817
ACH-000243,-0.08063130753147693
ACH-000244,0.07190442704093428
ACH-000246,-0.13263558587912186
