,EFR3A (23167)
ACH-000004,-0.743827410862024
ACH-000005,-0.6634043428464204
ACH-000007,-0.890451757710043
ACH-000009,-0.11839859215136887
ACH-000011,-0.6992121876085572
ACH-000012,-0.5221093557855241
ACH-000013,-0.009455813968126768
ACH-000014,-0.08115131550552686
ACH-000015,-0.007923682915305274
ACH-000017,-0.13689975966698978
ACH-000018,-0.6733727130455366
ACH-000019,0.09485358156311118
ACH-000021,-0.6455526752028722
ACH-000022,-0.4386511455493473
ACH-000025,-0.6786996094385052
ACH-000028,0.08210419803935129
ACH-000030,-0.7433079475492249
ACH-000035,-0.7062672736791106
ACH-000036,-0.15855116835054262
ACH-000037,-0.1796574577902497
ACH-000039,-0.3653042572019172
ACH-000040,-0.44785472185025305
ACH-000041,-0.3146586157751024
ACH-000042,-0.5994574498598803
ACH-000045,-0.1235504888250508
ACH-000047,-0.36007471079155984
ACH-000052,-0.705001840392921
ACH-000053,0.044363939485793744
ACH-000054,-0.7158537920234135
ACH-000055,-0.1755896016593544
ACH-000060,-0.5543090451170111
ACH-000067,-0.5702024881031468
ACH-000070,-0.3902268655485407
ACH-000075,-0.02520914146471515
ACH-000078,0.13803531829390642
ACH-000082,-0.2009619788650545
ACH-000085,-0.6093796259173057
ACH-000086,-0.26753388330607003
ACH-000087,-0.1341260539245686
ACH-000092,-0.2004973127489932
ACH-000095,-0.10192337687947622
ACH-000097,0.14572086101430254
ACH-000098,0.046332313123150816
ACH-000099,0.04957772404180688
ACH-000108,-0.8837142138748589
ACH-000113,-0.5109305345863228
ACH-000116,-0.1139103494416748
ACH-000118,-0.7597333807245855
ACH-000120,0.013310295134152527
ACH-000123,-0.08248189168250826
ACH-000127,-0.2719330322522414
ACH-000128,-0.07752264039210408
ACH-000132,-0.7016212322715941
ACH-000133,-0.3930178935122168
ACH-000137,-0.5454319246156444
ACH-000138,-0.8127462100340447
ACH-000142,-0.4584829946361516
ACH-000143,-0.11834839649543873
ACH-000146,-0.003107196416698036
ACH-000148,-0.2122352329687502
ACH-000150,-0.07022629032056317
ACH-000152,-0.7520418138346836
ACH-000153,-0.20911130484746496
ACH-000159,-0.12590124725695498
ACH-000160,-0.3093604402038801
ACH-000163,-0.08252079939907962
ACH-000167,-0.5414254461772883
ACH-000168,-0.389552056480648
