,PTPRZ1 (5803)
ACH-000004,-0.020934671509045242
ACH-000005,0.0640990701923505
ACH-000007,-0.14413558054815434
ACH-000009,-0.03634056343752435
ACH-000011,-0.11289079745617675
ACH-000012,0.07455279221764065
ACH-000013,-0.030081021984512082
ACH-000014,-0.3820965213170064
ACH-000015,-0.19846539857406986
ACH-000017,-0.017878520772669458
ACH-000018,-0.12097966499529746
ACH-000019,-0.23803443290026444
ACH-000021,-0.1818482243109879
ACH-000022,-0.01594974728149269
ACH-000025,0.04843995468485246
ACH-000028,-0.08479243480216442
ACH-000030,0.04355703496913409
ACH-000035,-0.17176354022882476
ACH-000036,0.043239963356680934
ACH-000037,-0.15426504585911047
ACH-000039,-0.19105507907472305
ACH-000040,0.07599828703040766
ACH-000041,-0.021334738240981685
ACH-000042,-0.005087533096851982
ACH-000045,0.07693047773768781
ACH-000047,-0.08638828933631315
ACH-000052,0.00033611036557776915
ACH-000053,-0.05702827326300412
ACH-000054,-0.16675587253083465
ACH-000055,-0.218566255152957
ACH-000060,-0.15640064925048136
ACH-000067,-0.06243065928474729
ACH-000070,-0.078688563359572
ACH-000075,-0.057165281455385686
ACH-000078,0.032404463331596
ACH-000082,-0.3160548322743407
ACH-000085,-0.036929395359482656
ACH-000086,0.004534552323347436
ACH-000087,-0.29897680813968985
ACH-000092,-0.1766434207898332
ACH-000095,-0.05397447396697895
ACH-000097,-0.13137119212339698
ACH-000098,-0.049705814314492114
ACH-000099,-0.08352964844118092
ACH-000108,-0.18378319981246008
ACH-000113,-0.16106630115008774
ACH-000116,-0.055477283279497
ACH-000118,0.056309552232440475
ACH-000120,-0.041464281761190255
ACH-000123,-0.190112356317796
ACH-000127,-0.012411518288022831
ACH-000128,-0.1285888092695996
ACH-000132,0.1081096344484608
ACH-000133,-0.09160184134185856
ACH-000137,0.0851573174414077
ACH-000138,-0.09662378676641144
ACH-000142,-0.13651251623189525
ACH-000143,0.04270154757330826
ACH-000146,-0.10156772152810103
ACH-000148,-0.02774724317654476
ACH-000150,-0.06851799912325568
ACH-000152,-0.24735203305740305
ACH-000153,-0.19629762350273933
ACH-000159,-0.11218789488575492
ACH-000160,-0.03535864015293931
ACH-000163,-0.15543387336594758
ACH-000167,-0.15626644377922502
ACH-000168,-0.026167021615185575
ACH-000169,-0.0033987500832149127
ACH-000178,-0.17472612179792374
ACH-000183,0.2445176029882681
ACH-000188,-0.04779286108240042
ACH-000189,-0.036002698727040164
ACH-000190,-0.06359063164155407
ACH-000198,-0.1929869939964355
ACH-000203,-0.4900822320408832
ACH-000204,-0.18841238145652395
ACH-000206,0.06487475959742592
ACH-000207,0.1117679806585344
ACH-000208,-0.12054122292342485
ACH-000210,-0.2530766594413644
ACH-000211,-0.11129468755747794
ACH-000215,-0.07993837882318403
ACH-000221,-0.0058011250068539105
ACH-000222,-0.15935365956132258
ACH-000223,-0.019055875152039256
ACH-000226,0.049630133337063516
ACH-000227,-0.05632950375667136
ACH-000228,0.09025224846704684
ACH-000231,-0.17329920042709218
ACH-000232,-0.09974435731635573
ACH-000233,-0.15810815005212112
ACH-000234,-0.04636309064165301
ACH-000235,-0.11369612608516827
ACH-000237,-0.04318486867443542
ACH-000238,-0.1055347643507837
ACH-000242,0.12040303850125927
ACH-000243,-0.16723703340260948
ACH-000244,-0.24510889653414303
ACH-000246,-0.2047277928226719
ACH-000248,-0.13968740442252645
ACH-000250,-0.09311312397551227
ACH-000251,-0.027713156700544132
