,CDAN1 (146059)
ACH-000004,-1.292425564823385
ACH-000005,-1.6923105540090249
ACH-000007,-0.9944571907148798
ACH-000009,-0.6084778726650817
ACH-000011,-1.2643564388109538
ACH-000012,-0.6928469548217203
ACH-000013,-0.3995899469775917
ACH-000014,-1.075868430609093
ACH-000015,-0.8711940238114378
ACH-000017,-1.4036965301315871
ACH-000018,-1.2249909970091726
ACH-000019,-0.5181462394762257
ACH-000021,-1.0951522672713108
ACH-000022,-0.9656192714192344
ACH-000025,-0.9357328829295224
ACH-000028,-0.8626755271754804
ACH-000030,-0.5496775398852645
ACH-000035,-0.4696351245742546
ACH-000036,-0.9536643407233172
ACH-000037,-0.9625917901538776
ACH-000039,-0.7280209440702672
ACH-000040,-0.7277300653277855
ACH-000041,-1.4691777821789358
ACH-000042,-0.7823344839781227
ACH-000045,-1.0849013333630264
ACH-000047,-0.8900002677351799
ACH-000052,-1.0336943913363486
ACH-000053,-1.3722176902926493
ACH-000054,-0.6651018555896887
ACH-000055,-0.7822352900013516
ACH-000060,-0.4709546745330047
ACH-000067,-0.7022802300696797
ACH-000070,-0.7764758305891819
ACH-000075,-0.8456420184067012
ACH-000078,-1.3828314130304262
ACH-000082,-0.7245588166110604
ACH-000085,-1.125997373151917
ACH-000086,-1.2197289206422164
ACH-000087,-1.1378465788933785
ACH-000092,-0.6249299278752342
ACH-000095,-1.1322970827450496
ACH-000097,-0.6133894319811861
ACH-000098,-0.7670584613487943
ACH-000099,-1.0199988879656463
ACH-000108,-0.7981421216054125
ACH-000113,-0.8842663662553123
ACH-000116,-0.3329109557246746
ACH-000118,-0.6108230109441283
ACH-000120,-1.1653836813273784
ACH-000123,-0.9469876330099012
ACH-000127,-1.0940118211682983
ACH-000128,-0.9679519069572692
ACH-000132,-0.6795346028909303
ACH-000133,-1.4423741893191129
ACH-000137,-0.4165592418195759
ACH-000138,-0.4987245150188238
ACH-000142,-0.3923914049696569
ACH-000143,-1.031527618647767
ACH-000146,-1.5938398754922465
ACH-000148,-1.49500499799189
ACH-000150,-0.7473344386339279
ACH-000152,-1.0678932837515716
ACH-000153,-0.6146800360975828
ACH-000159,-1.351636493101896
ACH-000160,-0.6674686303125685
ACH-000163,-1.4464339392258754
ACH-000167,-0.4948352259329501
ACH-000168,-1.4697468746247413
ACH-000169,-0.9477239287517653
